Wlan_Fc_Type_Subtype,Wlan_Fc_Type_Subtype_Description
0,Association Requests
1,Association Responses
2,Reassociation Requests
3,Reassociation Responses
4,Probe requests
5,Probe responses
6,6
7,7
8,Beacons
9,ATIMs
10,Disassociations
11,Authentications
12,Deauthentications
13,Actions
14,14
15,15
16,16
17,17
18,18
19,19
20,20
21,21
22,22
23,23
24,Block ACK Requests
25,Block ACKs
26,PS-Polls
27,Ready To Sends
28,Clear To Sends
29, ACKs
30,CF-Ends
31,CF-Ends_CF_Acks
32,Data
33,Data+CF-Ack
34,Data+CF-Poll
35,Data+CF-Ack+CF-Poll
36,Null
37,CF-Ack
38,CF-Poll
39,CF-Ack+CF-Poll
40,Qos Data
41,Qos Data+CF-Ack
42,Qos Data+CF-Poll
43,Qos Data+CF-Ack+CF-Poll
44,Qos Null
45,45
46,Qos CF-Poll
46,Qos CF-Ack+CF-Poll
