id,name
ffff,""
ffee,"FNK Tech	"
ffd2,""
ff00,"Power Delivery	"
feed,""
fc08,"Conrad Electronic SE	"
fa11,"DyingLight	"
f766,"Hama	"
f4ed,"Shenzhen Siglent Co., Ltd.	"
f4ec,"Atten Electronics / Siglent Technologies	"
f3f0,"CCT, Inc	"
f182,"Leap Motion	"
f007,"Teslong	"
f003,"Hewlett Packard	"
ef18,"SMART TECHNOLOGY INDUSTRIAL LTD.	"
eba4,""
eb57,""
eb2a,"KWorld	"
eb1a,"eMPIA Technology, Inc.	"
eb03,"MakingThings	"
e5b7,""
e4e4,"Xorcom Ltd.	"
e3b5,""
e2b7,"Jie Li	"
e2b5,""
d904,"LogiLink	"
d209,"Ultimarc	"
d208,"Ultimarc	"
d13e,""
cd12,"SMART TECHNOLOGY INDUSTRIAL LTD.	"
cace,"CACE Technologies Inc.	"
c5cb,""
c580,""
c502,"AGPTek	"
c251,"Keil Software, Inc.	"
c216,"Card Device Expert Co., LTD	"
c0f4,""
c07c,""
c069,""
ba77,"Clockmaker	"
b711,""
b58e,"Blue Microphones	"
abcd,"LogiLink	"
ab12,"aplic	"
aaaa,"MXT	"
a88a,"Clas Ohlsson	"
a727,"3Com	"
a600,"ASIX s.r.o.	"
a466,"Haikou Xingong Electronics Co.,Ltd	"
a168,"AnMo Electronics Corporation	"
a128,"AnMo Electronics Corp. / Dino-Lite (?)	"
a108,"Ingenic Semiconductor Co.,Ltd	"
a014,"Insignia (Best Buy)	"
9e8f,""
9e88,"Marvell Semiconductor, Inc.	"
9ac4,"J. Westhues	"
99fa,"Grandtec	"
9999,"Odeon	"
9886,"Astro Gaming	"
9849,"Bestmedia CD Recordable GmbH & Co. KG	"
9710,"MosChip Semiconductor	"
9516,"Studiologic	"
9148,"GeoLab, Ltd	"
9048,""
9022,"TeVii Technology Ltd.	"
9016,"Sitecom	"
8ea3,"Doosl	"
8e06,"CH Products, Inc.	"
8644,"Intenso GmbG	"
8564,"Transcend Information, Inc.	"
8347,""
8341,"EGO Systems, Inc.	"
8301,"Hapurs	"
8282,"Keio	"
80ee,"VirtualBox	"
8087,"Intel Corp.	"
8086,"Intel Corp.	"
8070,"ACCES I/O Products, Inc.	"
7825,"Other World Computing	"
7669,"Venable Instruments	"
73d8,"Progeny Dental Equipment Specialists	"
7392,"Edimax Technology Co., Ltd	"
7374,""
7373,"Beijing STONE Technology Co. Ltd.	"
734c,"TBS Technologies China	"
7302,"Solinftec	"
726c,"StackFoundry LLC	"
7104,"CME (Central Music Co.)	"
6a75,"Shanghai Jujo Electronics Co., Ltd	"
6993,"Yealink Network Technology Co., Ltd.	"
6964,""
695c,"Opera1	"
6891,"3Com	"
675d,"Humanscale	"
6677,"WiseGroup, Ltd.	"
6666,"Prototype product Vendor ID	"
6615,"IRTOUCHSYSTEMS Co. Ltd.	"
6557,"Emtec	"
6547,"Arkmicro Technologies Inc.	"
6495,""
6472,"Sony Corp.	"
636c,"CoreLogic, Inc.	"
6253,"TwinHan Technology Co., Ltd	"
6244,"LightingSoft AG	"
6189,"Sitecom	"
6022,"Xektek	"
601a,"Ingenic Semiconductor Ltd.	"
6005,""
6004,""
6000,"Beholder International Ltd.	"
5a57,"Zinwell	"
59e3,"Nonolith Labs	"
5986,"Bison Electronics Inc.	"
595a,"IRTOUCHSYSTEMS Co. Ltd.	"
5888,""
5656,"Uni-Trend Group Limited	"
5654,"Gotview	"
55aa,"OnSpec Electronic, Inc.	"
5555,"Epiphan Systems Inc.	"
5543,"UC-Logic Technology Corp.	"
544d,"Transmeta Corp.	"
5354,"Meyer Instruments (MIS)	"
534d,"MacroSilicon	"
534c,"SatoshiLabs	"
5345,"Owon	"
5332,"Clearly Superior Technologies, Inc.	"
5325,""
5246,""
5219,"I-Tetra	"
5173,"Sweex	"
5131,"MSR	"
50c2,"Averatec (?)	"
5041,""
5032,"Grandtec	"
4d46,"Musical Fidelity	"
4c4a,""
4971,"SimpleTech	"
4855,"Memorex	"
4816,""
4766,"Aceeca	"
4757,"GW Instek	"
4752,"Miditech	"
46f4,"QEMU	"
4670,"EMS Production	"
4586,"Panram	"
4572,"Shuttle, Inc.	"
4348,"WinChipHead	"
4317,"Broadcom Corp.	"
4255,"GoPro	"
4242,"USB Design by Example	"
4168,"Targus	"
4146,"USBest Technology	"
413d,""
413c,"Dell Computer Corp.	"
4102,"iRiver, Ltd.	"
4101,"i-rocks	"
40bb,"I-O Data	"
3c93,""
3938,""
3923,"National Instruments Corp.	"
3842,""
3838,"WEM	"
3767,"Fanatec	"
3636,"InVibro	"
35f0,""
35b6,""
357d,"Sharkoon	"
3579,"DIVA	"
3544,""
3542,""
3538,"Power Quotient International Co., Ltd	"
3504,"Micro Star	"
348f,"ISY	"
346d,""
345f,""
3455,""
344f,""
33ff,""
33f7,""
33dd,""
33c8,""
33c4,""
33be,""
3384,"System76	"
335e,""
3344,"Leaguer Microelectronics (LME)	"
3340,"Yakumo	"
3334,"AEI	"
3333,"InLine	"
3310,"MUDITA Sp. z o.o.	"
32e6,""
32cd,""
32b3,"TEXA	"
3297,""
3293,"Unhuman Inc.	"
3285,""
3275,"VidzMedia Pte Ltd	"
3274,""
326d,"Agile Display Solutions Co., Ltd	"
324c,"CUPRIS Ltd.	"
3232,""
321c,"Premio, Inc.	"
3219,"Smak Tecnologia e Automacao LTDA	"
3200,"Alcatel-Lucent Enterprise	"
31e3,""
31c9,"BeiJing LanXum Computer Technology Co., Ltd.	"
