host,Name,ServiceState,latest(time),,img
DTCADEVMCA03,CacheListenerService#1,Running,2016-18-10 17:56,,http://www.freeiconspng.com/uploads/service-icon-24.png
DTCADEVMCA02,CacheListenerService#2,Unknown,2016-18-10 17:56,,http://www.pngall.com/wp-content/uploads/2016/04/Database-PNG.png
DTCADEVMCA01,CacheListenerService#3,Stopped,2016-18-10 17:56,,http://www.freeiconspng.com/uploads/service-icon-24.png
DTCADEVMCA04,CacheListenerService#4,Running,2016-18-10 17:56,,https://cdn2.iconfinder.com/data/icons/metro-uinvert-dock/256/Security_Approved.png
DTCADEVMCA05,CacheListenerService#5,Running,2016-18-10 17:56,,http://www.pngall.com/wp-content/uploads/2016/04/Database-PNG.png
DTCADEVMCA06,CacheListenerService#6,Stopped,2016-18-10 17:56,,http://www.freeiconspng.com/uploads/service-icon-24.png
DTCAPRDMCA01,CacheListenerService#1,Running,2016-18-10 17:55,,http://www.freeiconspng.com/uploads/service-icon-24.png
DTCAPRDMCA02,CacheListenerService#2,Running,2016-18-10 17:55,,https://cdn2.iconfinder.com/data/icons/metro-uinvert-dock/256/Security_Approved.png
DTCAPRDMCA03,CacheListenerService#3,Unknown,2016-18-10 17:55,,http://www.freeiconspng.com/uploads/service-icon-24.png
DTCAPRDMCA04,CacheListenerService#4,Unknown,2016-18-10 17:55,,http://www.pngall.com/wp-content/uploads/2016/04/Database-PNG.png
DTCAPRDMCA05,CacheListenerService#5,Stopped,2016-18-10 17:55,,http://www.pngall.com/wp-content/uploads/2016/04/Database-PNG.png
DTCAPRDMCA06,CacheListenerService#6,Running,2016-18-10 17:55,,https://cdn2.iconfinder.com/data/icons/metro-uinvert-dock/256/Security_Approved.png
DTCAPRDMCA07,CacheListenerService#1,Running,2016-18-10 17:56,,https://cdn2.iconfinder.com/data/icons/metro-uinvert-dock/256/Security_Approved.png
DTCAPRDMCA08,CacheListenerService#2,Running,2016-18-10 17:56,,http://www.freeiconspng.com/uploads/service-icon-24.png
DTCAPRDMCA09,CacheListenerService#3,Running,2016-18-10 17:56,,http://www.freeiconspng.com/uploads/service-icon-24.png
DTCAHOMMCA01,CacheListenerService#4,Unknown,2016-18-10 17:56,,https://cdn2.iconfinder.com/data/icons/metro-uinvert-dock/256/Security_Approved.png
DTCAHOMMCA02,CacheListenerService#5,Running,2016-18-10 17:56,,http://www.freeiconspng.com/uploads/service-icon-24.png
DTCAHOMMCA03,CacheListenerService#6,Stopped,2016-18-10 17:56,,https://cdn2.iconfinder.com/data/icons/metro-uinvert-dock/256/Security_Approved.png
DTCAHOMMCA04,CacheListenerService#5,Running,2016-18-10 17:56,,http://www.pngall.com/wp-content/uploads/2016/04/Database-PNG.png
DTCAHOMMCA05,CacheListenerService#6,Running,2016-18-10 17:56,,http://www.freeiconspng.com/uploads/service-icon-24.png
