risk,sAMAccountName,"_timediff"
61,"jack.bauer",
31,hhernandez,
31,ppeterson,
21,wwilliams,
21,wwhite,
21,rrobinson,
21,mmoore,
21,eevans,
21,rramirez,
21,pparker,
21,pphillips,
18,cclark,
11,wwalker,
11,ssmith,
11,wwilson,
11,wwright,
11,ccooper,
11,ttorres,
8,hhall,
8,eedwards,
8,hhill,
8,mmartinez,
8,llopez,
8,mmartin,
8,tturner,
8,jjackson,
8,mmitchell,
8,yyoung,
8,fflores,
1,rroberts,
1,ccollins,
1,rrogers,
1,mmiller,
1,bbrown,
1,ggomez,
1,ccarter,
1,mmargaret,
1,mmorris,
1,aadams,
1,mmurphy,
1,llee,
1,bbell,
1,hharris,
1,tthomas,
1,jjones,
1,nnguyen,
1,jsmith,
1,pperez,
1,nnelson,
1,aanderson,
1,ssanchez,
1,ggarcia,
1,ccook,
1,rrodriguez,
1,rreed,
1,mmorgan,
1,aallen,
1,sstewart,
1,bbailey,
1,dveuve,
1,ggreen,
1,rrivera,
1,kking,
1,bbaker,
1,llewis,
1,ggonzalez,
1,tthompson,
1,sscott,
1,ttaylor,
1,ccampbell,
1,jjohnson,
