dest,priority
"COREDEV-005",3
"BUSDEV-002",5
"ops-sys-003",5
"SE-005",1
"HOST-001",4
"COREDEV-004",2
"PROD-POS-006",3
"PROD-MFS-004",5
"PROD-MFS-001",4
"PROD-POS-001",1
"HOST-005",2
"ops-sys-002",3
"COREDEV-002",1
"PROD-MFS-003",1
"ops-sys-006",5
"PROD-POS-003",5
"BUSDEV-004",4
"SE-004",5
"ops-sys-005",4
"PROD-POS-005",3
"PROD-MFS-002",2
"ACME-002",2
"PROD-MFS-005",5
"BUSDEV-008",4
"PROD-POS-002",5
"ACME-003",2
"HOST-004",2
"HOST-003",2
"ACME-005",2
"SE-003",1
"BUSDEV-003",1
"COREDEV-001",1
"SE-001",3
"ACME-006",1
"PROD-POS-004",4
"COREDEV-003",2
"HOST-006",2
"COREDEV-006",4
"PROD-MFS-006",5
"BUSDEV-007",4
"SE-006",2
"HOST-002",3
"ACME-001",2
"ops-sys-004",3
"SE-002",3
"BUSDEV-001",5
"ops-sys-001",3
"ACME-004",4
"BUSDEV-006",2
"BUSDEV-005",5
