lv,cKey,objId,objName,objHealth,objBlink,objAlarmType,objTime,objUrl,objTableAttr,objTableMetric
2,ud_app,cat1_menu1_submenu_1,,RED,yes,box,1468556527,,table,"Metric=Item1,Value=val 1,_COLOR=GREEN;Metric=Item2,Value=val 2,_COLOR=RED;Metric=Item3,Value=val 3,_COLOR=YELLOW"
2,ud_app,cat1_menu2_submenu_3,,YELLOW,yes,box,1468556527,,table,"Metric=Item1,Value=val 1,_COLOR=GREEN;Metric=Item2,Value=val 2,_COLOR=GREEN;Metric=Item3,Value=val 3,_COLOR=YELLOW"
2,ud_app,cat1_menu3_submenu_1,,GREEN,no,box,1468556527,,table,"Metric=Item1,Value=val 1,_COLOR=GREEN;Metric=Item2,Value=val 2,_COLOR=GREEN;Metric=Item3,Value=val 3,_COLOR=GREEN"
2,ud_app,cat1_menu4_submenu_2,,RED,yes,box,1468556527,,table,"Metric=Item1,Value=val 1,_COLOR=GREEN;Metric=Item2,Value=val 2,_COLOR=RED;Metric=Item3,Value=val 3,_COLOR=YELLOW"
2,ud_app,cat2_menu1_submenu_2,,RED,yes,wave,1468556527,,table,"Metric=Item1,Value=val 1,_COLOR=GREEN;Metric=Item2,Value=val 2,_COLOR=RED;Metric=Item3,Value=val 3,_COLOR=YELLOW"
2,ud_app,cat2_menu2_submenu_4,,YELLOW,yes,wave,1468556527,,table,"Metric=Item1,Value=val 1,_COLOR=GREEN;Metric=Item2,Value=val 2,_COLOR=GREEN;Metric=Item3,Value=val 3,_COLOR=YELLOW"
2,ud_app,cat2_menu3_submenu_2,,GREEN,no,wave,1468556527,,table,"Metric=Item1,Value=val 1,_COLOR=GREEN;Metric=Item2,Value=val 2,_COLOR=GREEN;Metric=Item3,Value=val 3,_COLOR=GREEN"
2,ud_app,cat2_menu4_submenu_3,,RED,yes,wave,1468556527,,table,"Metric=Item1,Value=val 1,_COLOR=GREEN;Metric=Item2,Value=val 2,_COLOR=RED;Metric=Item3,Value=val 3,_COLOR=YELLOW"
2,ud_app,cat3_menu3_submenu_1,,RED,yes,box,1468556527,,table,"Metric=Item1,Value=val 1,_COLOR=GREEN;Metric=Item2,Value=val 2,_COLOR=RED;Metric=Item3,Value=val 3,_COLOR=YELLOW"
2,ud_app,cat3_menu4_submenu_3,,RED,yes,box,1468556527,,table,"Metric=Item1,Value=val 1,_COLOR=GREEN;Metric=Item2,Value=val 2,_COLOR=RED;Metric=Item3,Value=val 3,_COLOR=YELLOW"
2,ud_app,cat4_menu1_submenu_3,,RED,yes,wave,1468556527,,table,"Metric=Item1,Value=val 1,_COLOR=GREEN;Metric=Item2,Value=val 2,_COLOR=RED;Metric=Item3,Value=val 3,_COLOR=YELLOW"
2,ud_app,cat4_menu4_submenu_4,,RED,yes,wave,1468556527,,table,"Metric=Item1,Value=val 1,_COLOR=GREEN;Metric=Item2,Value=val 2,_COLOR=RED;Metric=Item3,Value=val 3,_COLOR=YELLOW"
