host,tenant,facility,app,devicegroup,count,latest
"010-Router-01.example.com",PMERouter,PMELAB,BocchinoLabWebtop,"010-Router-01.example.com",3250,1481504340
"010-Router-01.example.com",PMERouter,PMELAB,"Client-Windows-01-RDP","010-Router-01.example.com",3250,1481504340
"010-Router-01.example.com",PMERouter,PMELAB,"Forward-IPv4-Any","010-Router-01.example.com",3250,1481504340
"010-Router-01.example.com",PMERouter,PMELAB,"Forward-Splunk-Collector","010-Router-01.example.com",3250,1481504340
"010-Router-01.example.com",PMERouter,PMELAB,"Forward-Splunk-Collector-AWS","010-Router-01.example.com",3250,1481504340
"010-Router-01.example.com",PMERouter,PMELAB,"Forward-Splunk-Collector-Interop","010-Router-01.example.com",3250,1481504340
"010-Router-01.example.com",PMERouter,PMELAB,"Forward_Proxy_3128","010-Router-01.example.com",3250,1481504340
"010-Router-01.example.com",PMERouter,PMELAB,"Splunk-hec-forwarder-snmptrap-stage1","010-Router-01.example.com",3250,1481504340
"010-Router-01.example.com",PMERouter,PMELAB,"Splunk-hec-forwarder-snmptrap-stage2","010-Router-01.example.com",3250,1481504340
"010-Router-01.example.com",PMERouter,PMELAB,"Splunk-hec-forwarder-syslog-stage1","010-Router-01.example.com",3250,1481504340
"010-Router-01.example.com",PMERouter,PMELAB,"Splunk-hec-forwarder-syslog-stage2","010-Router-01.example.com",3250,1481504340
"010-Router-01.example.com",PMERouter,PMELAB,"Splunk-hec-forwarder-tcp-log-stage1","010-Router-01.example.com",3250,1481504340
"010-Router-01.example.com",PMERouter,PMELAB,"Splunk-hec-forwarder-tcp-log-stage2","010-Router-01.example.com",3250,1481504340
"010-Router-01.example.com",PMERouter,PMELAB,am,"010-Router-01.example.com",3250,1481504340
"BigIP-NYC.Company.com","company.com","New York City","blog.company.com","BigIP-NYC.Company.com",78058,1481504341
"BigIP-NYC.Company.com","company.com","New York City","intranet.company.com","BigIP-NYC.Company.com",117087,1481504341
"BigIP-NYC.Company.com","company.com","New York City","ns20.company.com","BigIP-NYC.Company.com",39029,1481504341
"BigIP-NYC.Company.com","company.com","New York City","owa.company.com","BigIP-NYC.Company.com",117087,1481504341
"BigIP-NYC.Company.com","company.com","New York City","promo.company.com","BigIP-NYC.Company.com",78058,1481504341
"BigIP-NYC.Company.com","company.com","New York City","rewards.company.com","BigIP-NYC.Company.com",78058,1481504341
"BigIP-NYC.Company.com","company.com","New York City","servicehelper.company.com","BigIP-NYC.Company.com",78058,1481504341
"BigIP-NYC.Company.com","company.com","New York City","splunk-hec-forwarder","BigIP-NYC.Company.com",156116,1481504341
"BigIP-NYC.Company.com","company.com","New York City","splunk-hec-forwarder-tcp","BigIP-NYC.Company.com",78058,1481504341
"BigIP-NYC.Company.com","company.com","New York City","vpn.company.com","BigIP-NYC.Company.com",39029,1481504341
"BigIP-NYC.Company.com",tenanta,"New York City","www.company.com","BigIP-NYC.Company.com",117087,1481504341
"BigIP-NYC.Company.com",tenantb,"New York City","account.company.com","BigIP-NYC.Company.com",117087,1481504341
"BigIP-SFO-01.Company.com","company.com",SFO,"","BigIP-SFO.Company.com",273028,1481504340
"BigIP-SFO-01.Company.com","company.com",SFO,"blog.company.com","BigIP-SFO.Company.com",39004,1481504340
"BigIP-SFO-01.Company.com","company.com",SFO,"intranet.company.com","BigIP-SFO.Company.com",78008,1481504340
"BigIP-SFO-01.Company.com","company.com",SFO,"ns10.company.com","BigIP-SFO.Company.com",39004,1481504340
"BigIP-SFO-01.Company.com","company.com",SFO,"owa.company.com","BigIP-SFO.Company.com",78008,1481504340
"BigIP-SFO-01.Company.com","company.com",SFO,"promo.company.com","BigIP-SFO.Company.com",39004,1481504340
