Name,Racing Team,Year Won
Nino Farina,Alfa Romeo,1950
Juan Manuel Fangio,Alfa Romeo,1951
Juan Manuel Fangio,Maserati,1954
Juan Manuel Fangio,Mercedes-Benz,1955
Juan Manuel Fangio,Ferrari,1956
Juan Manuel Fangio,Ferrari,1957
Alberto Ascari,Ferrari,1952
Alberto Ascari,Ferrari,1953
Mike Hawthorn,Ferrari,1958
Jack Brabham,Cooper,1959
Jack Brabham,Cooper,1960
Jack Brabham,Brabham,1966
Phil Hill,Ferrari,1961
Graham Hill,BRM,1962
Graham Hill,Lotus,1968
Jim Clark,Lotus,1963
Jim Clark,Lotus,1965
John Surtees,Ferrari,1964
Denny Hulme,Brabham,1967
Jackie Stewart,Matra,1969
Jackie Stewart,Tyrrell,1971
Jackie Stewart,Tyrrell,1973
Jochen Rindt,Lotus,1970
Emerson Fittipaldi,Lotus,1972
Emerson Fittipaldi,McLaren,1974
Niki Lauda,Ferrari,1975
Niki Lauda,Ferrari,1977
Niki Lauda,McLaren,1984
James Hunt,McLaren,1976
Mario Andretti,Lotus,1978
Jody Scheckter,Ferrari,1979
Alan Jones,Williams,1980
Nelson Piquet,Brabham,1981
Nelson Piquet,Brabham,1983
Nelson Piquet,Williams,1987
Keke Rosberg,Williams,1982
Alain Prost,McLaren,1985
Alain Prost,McLaren,1986
Alain Prost,McLaren,1989
Alain Prost,Williams,1993
Ayrton Senna,McLaren,1988
Ayrton Senna,McLaren,1990
Ayrton Senna,McLaren,1991
Nigel Mansell,Williams,1992
Michael Schumacher,Benetton,1994
Michael Schumacher,Benetton,1995
Michael Schumacher,Ferrari,2000
Michael Schumacher,Ferrari,2001
Michael Schumacher,Ferrari,2002
Michael Schumacher,Ferrari,2003
Michael Schumacher,Ferrari,2004
Damon Hill,Williams,1996
Jacques Villeneuve,Williams,1997
Mika Hakkinen,McLaren,1998
Mika Hakkinen,McLaren,1999
Fernando Alonso,Renault,2005
Fernando Alonso,Renault,2006
Kimi Raikkonen,Ferrari,2007
Lewis Hamilton,McLaren,2008
Lewis Hamilton,Mercedes,2014
Lewis Hamilton,Mercedes,2015
Lewis Hamilton,Mercedes,2017
Lewis Hamilton,Mercedes,2018
Lewis Hamilton,Mercedes,2019
Lewis Hamilton,Mercedes,2020
Jenson Button,Brawn GP,2009
Jenson Button,McLaren,2009
Sebastian Vettel,Red Bull Racing,2010
Sebastian Vettel,Red Bull Racing,2011
Sebastian Vettel,Red Bull Racing,2012
Sebastian Vettel,Red Bull Racing,2013
Nico Rosberg,Mercedes,2016
Max Verstappen,Red Bull Racing,2021
Max Verstappen,Red Bull Racing,2022
Max Verstappen,Red Bull Racing,2023
