_time, dvc_name, proto, src_ip, src_port, dest_ip, dest_port, file_name, file_hash
2018-07-24T10:38:01.937412+0200, WS1, ftp, 172.17.12.44, 20, 10.22.12.5, 8492, pocorgtfo16.pdf, 077321dc32ba752a1b52039649e9bf31
2018-07-24T10:38:01.937412+0200, WS1, ftp, 172.17.12.45, 20, 10.22.12.5, 8492, pocorgtfo15.pdf, 8363161248b01cc83bc7b437c423ce70
2018-07-24T10:38:01.937412+0200, WS1, ftp, 172.17.12.52, 20, 10.22.12.5, 8492, corporate-arch-network.pptx, e95884c163e9896a76c8ffc280ce7978
2018-07-24T10:38:01.937412+0200, PLC1, telnet, 10.43.21.4, 8392, 172.18.2.6, 23,,
2018-07-24T10:38:01.937412+0200, PLC1, smb, 10.43.21.4, 5728, 172.18.2.6, 445, architecture.docx, 151be54cd44b9bb2d083f40e40b85765
2018-07-24T10:38:01.937412+0200, SCADA1, rdp, 10.43.10.8, 10273, 172.18.2.6, 3389,, 
2018-07-24T10:38:01.937412+0200, SCADA1, rdp, 10.43.10.10, 7829, 172.18.2.6, 3389,,
2018-07-24T10:38:01.937412+0200, SCADA1, rdp, 10.43.10.8, 10749, 172.18.2.6, 3389,,
2018-07-24T10:38:01.937412+0200, GW1, ssh, 10.43.10.8, 23942, 172.16.1.1, 22,,
2018-07-24T10:38:01.937412+0200, GW1, ssh, 10.43.10.8, 36281, 172.16.1.1, 22,,
2018-07-24T10:38:01.937412+0200, GW1, ssh, 10.12.34.3, 37281, 172.16.1.1, 22,,
2018-07-24T10:38:01.937412+0200, GW1, ssh, 10.12.34.3, 6182, 172.16.1.1, 22,,
2018-07-24T10:38:01.937412+0200, GW1, ssh, 10.12.34.5, 8394, 172.16.1.1, 22,,
2018-07-24T10:38:01.937412+0200, GW1, ssh, 10.12.34.8, 9213, 172.16.1.1, 22,,
2018-07-24T10:38:01.937412+0200, SCADA1, openvpn, 10.12.34.1, 35261, 172.16.1.1, 1194,,
2018-07-24T10:38:01.937412+0200, PLC8, openvpn, 10.12.34.1, 36282, 172.17.12.44, 1194,,
