_time, dvc_name, protocol, auth_type, src_ip, src_port, dest_ip, dest_port, username
2018-07-26T07:19:01.912312+0200, ad1, ssh, success, 10.8.29.3, 8485, 172.18.21.1, 22, root
2018-07-26T15:12:01.923412+0200, ad1, ssh, success, 10.8.29.3, 8486, 172.18.21.2, 22, root
2018-07-26T15:32:01.937415+0200, ad1, ssh, failed, 10.8.29.3, 8490, 172.18.21.6, 22, root
2018-07-26T15:43:01.937415+0200, ad1, ssh, failed, 10.8.29.3, 8491, 172.18.21.7, 22, root
2018-07-26T15:50:01.937417+0200, ad1, ssh, failed, 10.8.29.3, 8492, 172.18.21.8, 22, root
2018-07-26T16:01:01.937424+0200, ad1, telnet, failed, 10.8.29.3, 8493, 172.18.21.9, 23, ubnt
2018-07-26T23:02:01.876432+0200, ad1, rdp, failed, 10.8.29.3, 10126, 172.17.1.8, 3389, admin
2018-07-26T23:02:02.328754+0200, ad1, rdp, failed, 10.8.29.3, 8421, 172.17.1.8, 3389, admin
2018-07-26T23:02:03.423987+0200, ad1, rdp, success, 10.8.29.3, 42938, 172.17.1.8, 3389, admin
2018-07-26T23:02:03.423987+0200, ad1, openvpn, success, 10.8.29.8, 10234, 172.17.1.8, 1194, root
2018-07-26T16:02:03.537384+0200, ad1, ssh, failed, 10.8.29.3, 8494, 172.18.21.10, 22, root
2018-07-26T17:04:03.537385+0200, ad1, ssh, failed, 10.8.29.3, 8497, 172.18.21.10, 22, root
2018-07-26T17:22:03.537386+0200, ad1, ssh, failed, 10.8.29.3, 8498, 172.18.21.10, 22, root
2018-07-26T17:32:03.537387+0200, ad1, ssh, failed, 10.8.29.3, 8499, 172.18.21.10, 22, root
2018-07-26T17:34:03.537388+0200, ad1, ssh, failed, 10.8.29.3, 8500, 172.18.21.10, 22, root
2018-07-26T18:38:03.537388+0200, ad1, ssh, failed, 10.8.29.3, 8501, 172.18.21.10, 22, root
2018-07-26T18:38:22.537388+0200, ad1, ssh, success, 172.16.21.1, 9321, 172.18.21.10, 22, root
2018-07-26T23:00:03.537391+0200, ad1, telnet, failed, 10.8.29.3, 8503, 172.18.21.19, 23, ubnt
2018-07-26T23:15:03.537391+0200, ad1, telnet, failed, 10.8.29.3, 8503, 172.18.21.19, 23, pi
2018-07-26T23:52:03.537391+0200, ad1, telnet, success, 10.8.29.3, 8503, 172.18.21.19, 23, pi
