sourcetype,exclude,exclude_reason,reviewed_by,reviewed_date
cribl:internal,yes,Data pipeline internal,AI Analysis,3/25/2026
mongod,yes,Splunk internal - MongoDB/KV store logs,AI Analysis,3/25/2026
kvstore,yes,Splunk internal - KV store logs,MDI Default,3/25/2026
scheduler,yes,Splunk internal - search scheduler logs,AI Analysis,3/25/2026
splunk_disk_objects,yes,Splunk internal - disk monitoring,MDI Default,3/25/2026
splunk_python,yes,Splunk internal - Python logs,MDI Default,3/25/2026
splunk_resource_usage,yes,Splunk internal - resource usage,MDI Default,3/25/2026
splunk_web_access,yes,Splunk internal - web UI access logs,AI Analysis,3/25/2026
splunk_web_service,yes,Splunk internal - web service logs,AI Analysis,3/25/2026
splunkd,yes,Splunk internal - daemon logs,AI Analysis,3/25/2026
splunkd_access,yes,Splunk internal - REST API access logs,AI Analysis,3/25/2026
splunkd_conf,yes,Splunk internal - configuration change logs,MDI Default,3/25/2026
splunkd_stderr,yes,Splunk internal - daemon error output,MDI Default,3/25/2026
splunkd_ui_access,yes,Splunk internal - UI access logs,MDI Default,3/25/2026
stash,yes,Splunk internal - summary index stash,MDI Default,3/25/2026
too_small,yes,Splunk internal - truncated events,MDI Default,3/25/2026
