model,object_name,parentName,owner,dataset,field_name,display_name,type,required,recommended,extracted_type,calculation_type,expression,base_search,constraints,prescribed_values,description
Alerts,Alerts,BaseEvent,BaseEvent.Alerts,Alerts,body,body,string,False,False,extracted,,,,(`cim_Alerts_indexes`) tag=alert,,This field is deprecated in favor of 'description'.
Alerts,Alerts,BaseEvent,BaseEvent.Alerts,Alerts,description,description,string,False,False,extracted,,,,(`cim_Alerts_indexes`) tag=alert,,The description of the alert event.
Alerts,Alerts,BaseEvent,BaseEvent.Alerts,Alerts,dest_bunit,dest_bunit,string,False,False,extracted,,,,(`cim_Alerts_indexes`) tag=alert,,The business unit associated with the destination. This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.
Alerts,Alerts,BaseEvent,BaseEvent.Alerts,Alerts,dest_category,dest_category,string,False,False,extracted,,,,(`cim_Alerts_indexes`) tag=alert,,The category of the destination. This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.
Alerts,Alerts,BaseEvent,BaseEvent.Alerts,Alerts,dest_priority,dest_priority,string,False,False,extracted,,,,(`cim_Alerts_indexes`) tag=alert,,The priority of the destination. This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.
Alerts,Alerts,BaseEvent,BaseEvent.Alerts,Alerts,dest_type,dest_type,string,False,False,extracted,,,,(`cim_Alerts_indexes`) tag=alert,,"The type of the destination object, such as 'instance', 'storage', 'firewall'."
Alerts,Alerts,BaseEvent,BaseEvent.Alerts,Alerts,id,id,string,False,False,extracted,,,,(`cim_Alerts_indexes`) tag=alert,,The unique identifier of the alert event.
Alerts,Alerts,BaseEvent,BaseEvent.Alerts,Alerts,mitre_technique_id,mitre_technique_id,string,False,False,extracted,,,,(`cim_Alerts_indexes`) tag=alert,,"The MITRE ATT&CK technique ID of the alert event, searchable at https://attack.mitre.org/techniques"
Alerts,Alerts,BaseEvent,BaseEvent.Alerts,Alerts,severity_id,severity_id,string,False,False,extracted,,,,(`cim_Alerts_indexes`) tag=alert,,The numeric or vendor specific severity indicator corresponding to the event severity.
Alerts,Alerts,BaseEvent,BaseEvent.Alerts,Alerts,signature,signature,string,False,False,extracted,,,,(`cim_Alerts_indexes`) tag=alert,,"The human-friendly title of the alert event, such as 'API GetAccountPasswordPolicy was invoked using root credentials.' Split by signature_id when aggregating alert events by types."
Alerts,Alerts,BaseEvent,BaseEvent.Alerts,Alerts,src_bunit,src_bunit,string,False,False,extracted,,,,(`cim_Alerts_indexes`) tag=alert,,The business unit associated with the source. This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.
Alerts,Alerts,BaseEvent,BaseEvent.Alerts,Alerts,src_category,src_category,string,False,False,extracted,,,,(`cim_Alerts_indexes`) tag=alert,,The category of the source. This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.
Alerts,Alerts,BaseEvent,BaseEvent.Alerts,Alerts,src_priority,src_priority,string,False,False,extracted,,,,(`cim_Alerts_indexes`) tag=alert,,The priority of the source. This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.
Alerts,Alerts,BaseEvent,BaseEvent.Alerts,Alerts,src_type,src_type,string,False,False,extracted,,,,(`cim_Alerts_indexes`) tag=alert,,"The type of the source object, such as 'instance', 'storage', 'firewall'."
