sourcetype,tech_category,scope,security_classification,security_relevance,data_models,vendor,description,expanded_desc
389ds,linux,security,IAM,med,Authentication.Authentication,389 Directory Server,389 Directory Server logs,"389 Directory Server access/audit log - bind, search, modify, delete operations on the LDAP directory. Authentication and Identity_Management data model contributor on Red Hat IdM hosts."
access,app,security,,med,Web.Web,Apache,Web access logs,Generic web access log sourcetype - default for HTTP servers when no vendor-specific routing exists. Should be re-routed to apache:access / iis / nginx etc. for proper CIM mapping.
access_combined,linux,security,,med,Web.Web,Apache,Web access logs,NCSA combined log format access log - the classic Apache CombinedLogFormat (with referer and user-agent). Feeds the Web data model.
access_combined_wcookie,linux,security,,med,Web.Web,Apache,Web access logs,NCSA combined log format extended with a cookie field - a Splunk-prebuilt variant of the Apache combined format including Cookie header. Feeds the Web data model.
access_log,app,security,,med,Web.Web,,Web/SSL access logs,Generic web/SSL access log catch-all - should be routed to apache:access / nginx:access / iis as appropriate. Feeds the Web data model when properly typed.
activedirectory,windows,security,IAM,high,"Authentication.Authentication, Change.All_Changes",Microsoft,Active Directory logs,"Active Directory logs collected from domain controllers - covers directory service, replication, and authentication events depending on auditing scope."
activemq,app,operational,,low,Change.All_Changes,Apache,Apache ActiveMQ message broker logs,"Apache ActiveMQ message broker log - broker startup, queue/topic activity, connection events. Operational messaging telemetry."
adfs:admin,windows,security,IAM,high,Authentication.Authentication,Microsoft,Active Directory Federation Services,"Active Directory Federation Services admin event log - service configuration changes, certificate updates, relying-party trust modifications."
adfs:audit,windows,security,IAM,high,"Authentication.Authentication, Change.All_Changes",Microsoft,ADFS audit event log,"Active Directory Federation Services audit event log - federated authentication outcomes (success/failure), token issuance, claim rules evaluated."
agent.console,azure,operational,,low,,Microsoft,Azure VM agent/handler logs,Azure VM agent console output captured during extension execution - stdout/stderr from extension handler scripts.
agentlauncher,azure,operational,,low,,Microsoft,Azure VM agent/handler logs,Azure VM extension agent launcher log - extension handler process startup events.
aide,security,security,EPP,med,"Change.All_Changes, Endpoint.Filesystem",AIDE,AIDE file integrity monitoring logs,AIDE (Advanced Intrusion Detection Environment) report log - filesystem integrity scan diff output. Feeds the Change data model for Linux baseline drift.
airwatch,security,operational,,med,"Compute_Inventory.All_Inventory, Authentication.Authentication",VMware,VMware Workspace ONE (AirWatch) logs,"VMware Workspace ONE UEM (formerly AirWatch) management events - device enrollment, policy state, compliance posture. MDM-grade telemetry."
akamai:cm:json,security,security,WAF,high,"Web.Web, Network_Traffic.All_Traffic",Akamai,Akamai SIEM connector events,Akamai Connector for SIEM JSON output - WAF/Kona/Bot Manager events delivered via the Cloud Monitor connector. Feeds the Web and IDS data models.
akamai:siem,security,security,WAF,high,"Alerts.Alerts, Web.Web",Akamai,Akamai security event interface,Akamai SIEM connector event stream - WAF and bot-management security events delivered via the SIEM Integration API.
akamaisiem,security,security,WAF,high,"Web.Web, Alerts.Alerts",Akamai,Akamai SIEM connector events,Concatenated form of akamai:siem produced by older add-on versions - same Akamai WAF/Bot Manager event payload.
alternatives,linux,operational,,low,Updates.Updates,Linux,Package manager logs,"Linux /etc/alternatives update-alternatives logs - tracks symbolic-link based switches between equivalent packages (e.g., default JDK, default editor). Low-value operational telemetry."
am:cw:agent,aws,operational,,low,,Amazon Web Services,AWS CloudWatch agent logs,"AWS CloudWatch agent operational and diagnostic logs from EC2 or on-premises servers - agent startup, metric/log collection cycles, configuration reloads, and errors."
amazon:ecs:events,aws,operational,,low,Application_State.All_Application_State,Amazon Web Services,Amazon ECS task events,"Amazon ECS task and service lifecycle events (start, stop, fail, scale, deployment) emitted via EventBridge or the ECS event stream."
amazon-ssm-agent.log,aws,operational,,low,,Amazon Web Services,AWS SSM agent logs,"AWS SSM agent operational log written on managed instances - agent startup, command and association processing, plugin execution, and communication errors with the SSM service."
ansible,app,operational,,med,Change.All_Changes,Ansible,Ansible automation logs,"Ansible automation log - playbook run results, task status, host facts. Operational with Change data model overlap when configuration changes are applied."
apache,app,security,,med,Web.Web,Apache,Apache web server logs,Generic Apache HTTPD log catch-all - typically pre-dates the apache:access/apache:error split. Prefer the specific subtypes for parsed extractions.
apache:access,app,security,,med,Web.Web,Apache,Apache access logs,"Apache HTTPD access log (parsed) - per-request method, URI, status, bytes, user-agent, referer, client IP. Primary Web data model source for Apache deployments."
apache:error,app,security,,med,Web.Web,Apache,Apache error logs,"Apache HTTPD error log (parsed) - module-level errors, configuration warnings, mod_security alerts, and process failures."
apache_error,linux,operational,,low,Web.Web,Apache,Apache web server error logs,Underscore-named variant of apache:error - same parsed content; choice depends on add-on version installed.
