lowerBound,upperBound,HourOfDay,BucketMinuteOfHour,DayOfWeek
0,"185858.68496359792",00,00,Friday
"6467.828880256493","185198.2123568569",00,00,Monday
0,"186613.52169821068",00,00,Saturday
0,"182985.31269308657",00,00,Sunday
"16795.875152798602","183883.19892127547",00,00,Thursday
0,"169676.55891252006",00,00,Tuesday
"14845.708108919993","181392.2770762652",00,00,Wednesday
0,"179470.41967089384",00,15,Friday
"21964.659200251015","170408.1519108601",00,15,Monday
"6981.972287763638","193627.93396223636",00,15,Saturday
0,"174746.72722041106",00,15,Sunday
"11423.635278802773","184827.63353840154",00,15,Thursday
0,"162357.38613854762",00,15,Tuesday
"16358.11307407495","179749.78322222136",00,15,Wednesday
0,"250501.7433234469",00,30,Friday
"17395.803782481715","186072.95177307382",00,30,Monday
"13283.543163243856","186676.54474884405",00,30,Saturday
0,"155614.43498340942",00,30,Sunday
0,"784307.0007889023",00,30,Thursday
0,"176718.1601890299",00,30,Tuesday
0,"354458.3521160661",00,30,Wednesday
"6303.668742272464","181522.05347994977",00,45,Friday
"27909.409174474407","167073.4130477478",00,45,Monday
"19401.93231709214","173787.3135845472",00,45,Saturday
"7553.449565394199","181121.0693535247",00,45,Sunday
"17798.739071766526","182282.64611341865",00,45,Thursday
"19955.58164709987","184442.06279734458",00,45,Tuesday
"17064.36654697507","179943.9964159879",00,45,Wednesday
"18349.378201320113","180878.54402090213",01,00,Friday
"30081.407837978317","176096.59216202167",01,00,Monday
"9533.547316417098","177525.81532094555",01,00,Saturday
"16009.929692635313","175059.003640698",01,00,Sunday
"23206.914436386156","180210.9522302805",01,00,Thursday
"18602.505914018984","179713.78297486992",01,00,Tuesday
"19367.069033116117","180785.54806725564",01,00,Wednesday
"15847.531397287457","180440.51304715697",01,15,Friday
"13641.776647387422","174058.19001927925",01,15,Monday
"20572.832902329814","184606.1670976702",01,15,Saturday
"20136.66635034472","181742.54476076638",01,15,Sunday
"25768.944414876954","178220.26299253045",01,15,Thursday
"22384.104967018604","180177.01725520362",01,15,Tuesday
"24099.501272974478","176553.11865322478",01,15,Wednesday
"15864.147533448413","177706.21913321826",01,30,Friday
"18900.597413749812","180702.95814180575",01,30,Monday
"10017.775070249147","180754.03604086197",01,30,Saturday
"20526.921135700773","187657.81219763256",01,30,Sunday
"15120.893680200723","181228.16557905852",01,30,Thursday
"16281.438080078558","175578.5285865881",01,30,Tuesday
"14672.090442020155","182837.68733575763",01,30,Wednesday
"12602.774680215953","176375.5586531174",01,45,Friday
"24388.038621036612","171929.91668622597",01,45,Monday
"16784.683032278394","188684.6026820073",01,45,Saturday
"18584.632422324285","185382.38979989797",01,45,Sunday
"11822.042735849187","180507.6683752619",01,45,Thursday
"20339.341423794613","187211.36968731647",01,45,Tuesday
"18375.38746595617","177789.84673478734",01,45,Wednesday
"17849.22726990386","180340.37273009616",02,00,Friday
"15017.955375744656","183922.73351314425",02,00,Monday
"20877.799842342603","174050.24485039484",02,00,Saturday
"13036.773226998397","173732.09343966827",02,00,Sunday
"18229.02238814447","174558.09613037406",02,00,Thursday
"24024.448137858635","183586.61852880806",02,00,Tuesday
"11869.198375478853","181561.98680970634",02,00,Wednesday
"17127.6121625221","174840.098948589",02,15,Friday
"13596.393874409841","179406.75529686088",02,15,Monday
"14327.59414364041","183529.11303868005",02,15,Saturday
"15729.813656888844","190808.15300977783",02,15,Sunday
"18484.51202495172","180921.17686393717",02,15,Thursday
"18851.549432504282","191777.3283452735",02,15,Tuesday
"15323.671945822105","187236.08360973344",02,15,Wednesday
"9962.734146963994","184904.18807525822",02,30,Friday
"14247.618018194553","186933.31531513878",02,30,Monday
"22441.049782810966","180775.99466163348",02,30,Saturday
"17660.610557256718","180409.64499829884",02,30,Sunday
"11887.89885087825","179537.98263060325",02,30,Thursday
"13364.863307666295","178195.65891455594",02,30,Tuesday
"23019.275129261267","179274.14922498225",02,30,Wednesday
"20015.036763683675","177824.88545853854",02,45,Friday
"16917.27715582197","182882.19770451324",02,45,Monday
"16122.8245036062","188534.95327417157",02,45,Saturday
"16326.691225702874","178056.14210763047",02,45,Sunday
"10577.130529795293","182987.2768776121",02,45,Thursday
"11107.555491362262","182436.1000641933",02,45,Tuesday
"15364.69500640675","186543.2752538163",02,45,Wednesday
"16872.83563395949","188938.7421438183",03,00,Friday
"17849.364674512704","181498.00549123314",03,00,Monday
"23414.104220354595","177024.28684109793",03,00,Saturday
"7514.932107713568","181450.0567811753",03,00,Sunday
"24107.466618894192","181232.84449221691",03,00,Thursday
"21718.40893393135","184110.7355105131",03,00,Tuesday
"21379.85008392045","180580.09065682028",03,00,Wednesday
"20024.64342352515","179958.32324314152",03,15,Friday
"24790.462670098408","184325.70399656825",03,15,Monday
"13773.404384722424","178905.2033500842",03,15,Saturday
"19955.173392083132","192951.35994125018",03,15,Sunday
"18609.079037637784","180436.11355495482",03,15,Thursday
"11422.959290077342","166452.00737658935",03,15,Tuesday
"21005.990240901185","181037.12827761733",03,15,Wednesday
