hex,cipher
66,DHE-DSS-RC4-SHA
67,DHE-RSA-AES128-SHA256
68,DH-DSS-AES256-SHA256
69,DH-RSA-AES256-SHA256
6a,DHE-DSS-AES256-SHA256
6b,DHE-RSA-AES256-SHA256
6c,ADH-AES128-SHA256
6d,ADH-AES256-SHA256
84,CAMELLIA256-SHA
85,DH-DSS-CAMELLIA256-SHA
86,DH-RSA-CAMELLIA256-SHA
87,DHE-DSS-CAMELLIA256-SHA
88,DHE-RSA-CAMELLIA256-SHA
89,ADH-CAMELLIA256-SHA
8a,PSK-RC4-SHA
8b,PSK-3DES-EDE-CBC-SHA
8c,PSK-AES128-CBC-SHA
8d,PSK-AES256-CBC-SHA
96,SEED-SHA
97,DH-DSS-SEED-SHA
98,DH-RSA-SEED-SHA
99,DHE-DSS-SEED-SHA
9a,DHE-RSA-SEED-SHA
9b,ADH-SEED-SHA
9c,AES128-GCM-SHA256
9d,AES256-GCM-SHA384
9e,DHE-RSA-AES128-GCM-SHA256
9f,DHE-RSA-AES256-GCM-SHA384
a0,DH-RSA-AES128-GCM-SHA256
a1,DH-RSA-AES256-GCM-SHA384
a2,DHE-DSS-AES128-GCM-SHA256
a3,DHE-DSS-AES256-GCM-SHA384
a4,DH-DSS-AES128-GCM-SHA256
a5,DH-DSS-AES256-GCM-SHA384
a6,ADH-AES128-GCM-SHA256
a7,ADH-AES256-GCM-SHA384
ba,CAMELLIA128-SHA256
bb,DH-DSS-CAMELLIA128-SHA256
bc,DH-RSA-CAMELLIA128-SHA256
bd,DHE-DSS-CAMELLIA128-SHA256
be,DHE-RSA-CAMELLIA128-SHA256
bf,ADH-CAMELLIA128-SHA256
5600,TLS_FALLBACK_SCSV
1301,TLS_AES_128_GCM_SHA256
1302,TLS_AES_256_GCM_SHA384
1303,TLS_CHACHA20_POLY1305_SHA256
1304,TLS_AES_128_CCM_SHA256
1305,TLS_AES_128_CCM_8_SHA256
c001,ECDH-ECDSA-NULL-SHA
c002,ECDH-ECDSA-RC4-SHA
c003,ECDH-ECDSA-DES-CBC3-SHA
c004,ECDH-ECDSA-AES128-SHA
c005,ECDH-ECDSA-AES256-SHA
c006,ECDHE-ECDSA-NULL-SHA
c007,ECDHE-ECDSA-RC4-SHA
c008,ECDHE-ECDSA-DES-CBC3-SHA
c009,ECDHE-ECDSA-AES128-SHA
c00a,ECDHE-ECDSA-AES256-SHA
c00b,ECDH-RSA-NULL-SHA
c00c,ECDH-RSA-RC4-SHA
c00d,ECDH-RSA-DES-CBC3-SHA
c00e,ECDH-RSA-AES128-SHA
c00f,ECDH-RSA-AES256-SHA
c010,ECDHE-RSA-NULL-SHA
c011,ECDHE-RSA-RC4-SHA
c012,ECDHE-RSA-DES-CBC3-SHA
c013,ECDHE-RSA-AES128-SHA
c014,ECDHE-RSA-AES256-SHA
c015,AECDH-NULL-SHA
c016,AECDH-RC4-SHA
c017,AECDH-DES-CBC3-SHA
c018,AECDH-AES128-SHA
c019,AECDH-AES256-SHA
c01a,SRP-3DES-EDE-CBC-SHA
c01b,SRP-RSA-3DES-EDE-CBC-SHA
c01c,SRP-DSS-3DES-EDE-CBC-SHA
c01d,SRP-AES-128-CBC-SHA
c01e,SRP-RSA-AES-128-CBC-SHA
c01f,SRP-DSS-AES-128-CBC-SHA
c020,SRP-AES-256-CBC-SHA
c021,SRP-RSA-AES-256-CBC-SHA
c022,SRP-DSS-AES-256-CBC-SHA
c023,ECDHE-ECDSA-AES128-SHA256
c024,ECDHE-ECDSA-AES256-SHA384
c025,ECDH-ECDSA-AES128-SHA256
c026,ECDH-ECDSA-AES256-SHA384
c027,ECDHE-RSA-AES128-SHA256
c028,ECDHE-RSA-AES256-SHA384
c029,ECDH-RSA-AES128-SHA256
c02a,ECDH-RSA-AES256-SHA384
c02b,ECDHE-ECDSA-AES128-GCM-SHA256
c02c,ECDHE-ECDSA-AES256-GCM-SHA384
c02d,ECDH-ECDSA-AES128-GCM-SHA256
c02e,ECDH-ECDSA-AES256-GCM-SHA384
c02f,ECDHE-RSA-AES128-GCM-SHA256
c030,ECDHE-RSA-AES256-GCM-SHA384
c031,ECDH-RSA-AES128-GCM-SHA256
c032,ECDH-RSA-AES256-GCM-SHA384
c033,ECDHE-PSK-RC4-SHA
c034,ECDHE-PSK-3DES-EDE-CBC-SHA
c035,ECDHE-PSK-AES128-CBC-SHA
c036,ECDHE-PSK-AES256-CBC-SHA
c037,ECDHE-PSK-AES128-CBC-SHA256
c038,ECDHE-PSK-AES256-CBC-SHA384
c039,ECDHE-PSK-NULL-SHA
c03,ECDHE-PSK-NULL-SHA256
c03,ECDHE-PSK-NULL-SHA384
c072,ECDHE-ECDSA-CAMELLIA128-SHA256
c073,ECDHE-ECDSA-CAMELLIA256-SHA38
c074,ECDH-ECDSA-CAMELLIA128-SHA256
c075,ECDH-ECDSA-CAMELLIA256-SHA384
c076,ECDHE-RSA-CAMELLIA128-SHA256
c077,ECDHE-RSA-CAMELLIA256-SHA384
c078,ECDH-RSA-CAMELLIA128-SHA256
c079,ECDH-RSA-CAMELLIA256-SHA384
c094,PSK-CAMELLIA128-SHA256
c095,PSK-CAMELLIA256-SHA384
c096,DHE-PSK-CAMELLIA128-SHA256
c097,DHE-PSK-CAMELLIA256-SHA384
c098,RSA-PSK-CAMELLIA128-SHA256
c099,RSA-PSK-CAMELLIA256-SHA384
c09,ECDHE-PSK-CAMELLIA128-SHA25
c09,ECDHE-PSK-CAMELLIA256-SHA38
c09c,AES128-CCM
c09d,AES256-CCM
c09e,DHE-RSA-AES128-CCM
c09f,DHE-RSA-AES256-CCM
c0a0,AES128-CCM8
c0a1,AES256-CCM8
c0a2,DHE-RSA-AES128-CCM8
c0a3,DHE-RSA-AES256-CCM8
c0a4,PSK-AES128-CCM
c0a5,PSK-AES256-CCM
c0a6,DHE-PSK-AES128-CCM
c0a7,DHE-PSK-AES256-CCM
c0a8,PSK-AES128-CCM8
c0a9,PSK-AES256-CCM8
c0aa,DHE-PSK-AES128-CCM8
c0ab,DHE-PSK-AES256-CCM8
c0ac,ECDHE-ECDSA-AES128-CCM
c0ad,ECDHE-ECDSA-AES256-CCM
c0ae,ECDHE-ECDSA-AES128-CCM8
c0af,ECDHE-ECDSA-AES256-CCM8
cc13,ECDHE-RSA-CHACHA20-POLY1305-OLD
cc14,ECDHE-ECDSA-CHACHA20-POLY1305-OLD
cc15,DHE-RSA-CHACHA20-POLY1305-OLD
