"query_time","result_time",pattern,finding
"1621597692.256844",1621368000,"555.166.30.6","Unencrypted Traffic Spike"
"1621597761.180326",1621465200,"555.122.221.144","Multiple Authentication Ports Identified"
"1621597906.685205",1621072800,"10 Tracked Threats","Multiple Threats Identified"
"1621598155.220487",1619085600,"1261 % of Average","Irregular Packet Spike"
"1621598158.446081",1619096400,"204 % of Average","Irregular BytesPerPacket Spike"
"1621598177.855590",1619740800,"935 % of Average","Irregular Daily Beacon Count"
"1621598167.888401",1621429200,"555.129.129.531","Increased Focus on IP"
"1621598168.613001",1621141200,"555.555.0.554","Increased Focus on IP"
"1621598169.465331",1620828000,"555.555.75.187","Increased Focus on IP"
"1621598300.009531",1620792000,"1319 % of Average","Irregular DNS Outbound Spike"
