"_time","dest_ip",duration,"http_method","http_status","http_user_agent","src_ip","src_port","uri_path","uri_query",user
"1720807620","192.168.2.102",160,GET,200,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15","103.20.168.187",443,"/vehicles/details.aspx","id=%27%20OR%20%271%27%3D%271",AlexJohnson
"1720807560","192.168.2.101",295,GET,400,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:89.0) Gecko/20100101 Firefox/89.0","45.100.160.189",443,"/vehicles/details.aspx","id=' OR 1=1;",EmmaDavis
"1720807500","192.168.2.100",310,GET,200,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:89.0) Gecko/20100101 Firefox/89.0","45.100.160.189",443,"/vehicles/details.aspx","id=' OR 1=1;",EmmaDavis
"1720807860","192.168.2.105",300,POST,200,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0 Mobile/15E148 Safari/604.1","198.51.100.1",443,"/auth/login.aspx","-",AvaLewis
"1720807920","192.168.2.105",160,GET,200,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0 Mobile/15E148 Safari/604.1","198.51.100.1",443,"/maintenance/logs.aspx","-",AvaLewis
"1720808640","192.168.2.115",185,GET,200,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0 Mobile/15E148 Safari/604.1","198.51.100.1",443,"/maintenance/schedule.aspx","-",AvaLewis
"1720808220","192.168.2.108",160,GET,200,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15","131.152.102.45",443,"/maintenance/schedule.aspx","-",BenjaminWhite
"1720808880","192.168.2.118",215,GET,200,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15","131.152.102.45",443,"/vehicles/list.aspx","-",BenjaminWhite
"1720808400","192.168.2.111",210,GET,200,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15","183.107.90.48",443,"/vehicles/list.aspx","-",CharlotteTaylor
"1720809120","192.168.2.121",180,GET,200,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15","183.107.90.48",443,"/maintenance/schedule.aspx","-",CharlotteTaylor
