_time,USB,abs,adas_hw_version,adas_id,adas_sw_version,alarm,altitude,applications,audio,automatic_cruise_control,automatic_emergency_braking,battery_pack,bcm_hw_version,bcm_id,bcm_sw_version,bearing,blind_spot_monitor,bluetooth,boost_pressure,brake_input,bssid,carrier,charge_level,charge_port_door_locked,charge_port_door_open,collision_warning,coolant_pressure,coolant_temperature,crash_sensors,daytime_running_lights,display,driver_mirror_camera,electric_motor,engine_speed,foglights,front_camera,front_left_door_locked,front_left_door_open,front_left_seatbelt,front_left_turn_signal,front_left_window,front_middle_seatbelt,front_right_door_locked,front_right_door_open,front_right_seatbelt,front_right_turn_signal,front_right_window,front_wipers,fuel_door_locked,fuel_door_open,fuel_level,gauge_cluster,gnss_type,hazard_lights,heading,headlights_highbeam,headlights_lowbeam,hood_open,horn,hvac,hybrid_motor_status,iccid,ignition_state,interior_lighting,ivi_hw_version,ivi_id,ivi_sw_version,lane_keep_assist,latitude,left_brake_light,left_mirror_light,left_taillight,liftgate_locked,liftgate_open,longitude,make,mileage,mirrors,model,moonroof,night_vision,obc,object_detection,oil_pressure,oil_temperature,park_assist,parking_lights,passenger_mirror_camera,pcm_hw_version,pcm_id,pcm_sw_version,pcu_hw_version,pcu_id,pcu_sw_version,phone,powertrain,radio,range,rear_camera,rear_glass,rear_left_door_locked,rear_left_door_open,rear_left_turn_signal,rear_left_window,rear_right_door_locked,rear_right_door_open,rear_right_window,rear_wiper,reverse_lights,right_brake_light,right_mirror_light,right_taillight,seats,second_row_left_seatbelt,second_row_middle_seatbelt,second_row_right_seatbelt,speed,ssid,steering_input,sunroof,surround_view,suspension_state,tcu_hw_version,tcu_id,tcu_sw_version,temperature,third_brake_light,third_row_left_seatbelt,third_row_midle_seatbelt,third_row_right_seatbelt,throttle_input,tire_pressure,tpms,transmission_state,trim,vin,year
1718112600,on,off,1.4.1,14-9273-,1.0.5,off,259,"spotify,apple_maps",on,off,-,-,5.0.1,50-05582,1.5.0,w,on,on,-,0,"-
-",att,-,-,-,-,10,180,off,on,on,-,-,4500,off,-,yes,no,on,on,open,-,yes,no,on,off,closed,off,yes,no,42,no_fault,gps,off,176,off,on,no,off,on,-,89311390922943521755,on,off,2.6.0,26-84851,1.0.1,-,41.10524,off,on,on,yes,no,-80.679788,acme,51216,no_fault,coyote,-,-,-,-,55,195,-,off,-,2.2.5,22-58460,1.1.5,-,-,-,on,ice,off,202,off,-,yes,no,"on
off",closed,yes,no,closed,-,off,off,off,on,no_fault,off,off,off,68,"-
-",-5,-,-,normal,1.1.1,76052-406-8112-378,2.5.0,200,off,-,-,-,45,"28,20,28,28",on,D,base,3C8FY68B82T297664,2020
1718112660,on,off,1.4.1,14-9273-,1.0.5,off,259,"spotify,apple_maps",on,off,-,-,5.0.1,50-05582,1.5.0,n,on,on,-,15,"-
-",att,-,-,-,-,10,180,off,on,on,-,-,3100,off,-,yes,no,on,off,open,-,yes,no,on,off,closed,off,yes,no,42,no_fault,gps,off,10,off,on,no,off,on,-,89311390922943521755,on,off,2.6.0,26-84851,1.0.1,-,41.11646,on,off,on,yes,no,-80.6929,acme,51217,no_fault,coyote,-,-,-,-,55,195,-,off,-,2.2.5,22-58460,1.1.5,-,-,-,on,ice,off,201,off,-,yes,no,"off
off",closed,yes,no,closed,-,off,on,off,on,no_fault,off,off,off,49,"-
-",5,-,-,normal,1.1.1,76052-406-8112-378,2.5.0,200,on,-,-,-,0,"28,20,28,28",on,D,base,3C8FY68B82T297664,2020
1718112780,on,off,1.4.1,14-9273-,1.0.5,off,258,"spotify,apple_maps",on,off,-,-,5.0.1,50-05582,1.5.0,n,off,on,-,0,"-
-",att,-,-,-,-,10,180,off,on,on,-,-,3200,off,-,yes,no,on,off,open,-,yes,no,on,off,closed,off,yes,no,42,no_fault,gps,off,12,off,on,no,off,on,-,89311390922943521755,on,off,2.6.0,26-84851,1.0.1,-,41.13415,off,off,on,yes,no,-80.6771,acme,51219,no_fault,coyote,-,-,-,-,55,195,-,off,-,2.2.5,22-58460,1.1.5,-,-,-,on,ice,off,199,off,-,yes,no,"off
off",closed,yes,no,closed,-,off,off,off,on,no_fault,off,off,off,55,"-
-",5,-,-,normal,1.1.1,76052-406-8112-378,2.5.0,200,off,-,-,-,10,"28,20,28,28",on,D,base,3C8FY68B82T297664,2020
1718112840,off,off,1.4.1,14-9273-,1.0.5,off,258,"spotify,apple_maps",off,off,-,-,5.0.1,50-05582,1.5.0,w,off,off,-,0,"-
-",att,-,-,-,-,0,135,off,off,off,-,-,0,off,-,no,yes,off,off,open,-,no,no,off,off,closed,off,yes,no,42,no_fault,gps,off,270,off,off,no,off,on,-,89311390922943521755,off,off,2.6.0,26-84851,1.0.1,-,41.13561,off,off,off,no,no,-80.6658,acme,51220,no_fault,coyote,-,-,-,-,0,150,-,off,-,2.2.5,22-58460,1.1.5,-,-,-,off,ice,off,198,off,-,no,no,"off
off",closed,no,no,closed,-,off,off,off,off,no_fault,off,off,off,0,"-
-",0,-,-,normal,1.1.1,76052-406-8112-378,2.5.0,190,off,-,-,-,0,"28,20,28,28",on,P,base,3C8FY68B82T297664,2020
1718113740,off,off,1.4.1,14-9273-,1.0.5,off,255,"spotify,apple_maps",off,off,-,-,5.0.1,50-05582,1.5.0,w,off,off,-,0,"-
-",att,-,-,-,-,0,100,off,off,off,-,-,0,off,-,no,yes,off,off,open,-,no,no,off,off,closed,off,yes,no,42,no_fault,gps,off,270,off,off,no,off,on,-,89311390922943521755,acc,off,2.6.0,26-84851,1.0.1,-,41.13561,off,off,off,no,no,-80.6658,acme,21220,no_fault,coyote,-,-,-,-,0,115,-,off,-,2.2.5,22-58460,1.1.5,-,-,-,off,ice,off,198,off,-,no,no,"off
off",closed,no,no,closed,-,off,off,off,off,no_fault,off,off,off,0,"-
-",0,-,-,normal,1.1.1,76052-406-8112-378,2.5.0,118,off,-,-,-,0,"28,20,28,28",on,P,base,3C8FY68B82T297664,2020
1718112600,off,off,-,-,-,off,50,-,off,-,-,-,5.0.5,50-48851,1.5.0,w,-,off,-,0,"-
-",mts,-,-,-,-,0,45,off,off,off,-,-,0,off,-,yes,no,off,off,closed,-,yes,no,off,off,closed,off,yes,no,81,no_fault,glonass,off,160,off,off,no,off,off,-,89250017226201090278,off,off,2.6.0,26-14609,1.0.2,-,68.959754,off,off,off,yes,no,33.0769584,acme,19602,no_fault,taz,-,-,-,-,0,60,-,off,-,2.1.0,21-65115,1.0.5,-,-,-,off,ice,off,159,off,closed,yes,no,"off
off",closed,yes,no,closed,off,off,off,off,off,no_fault,off,off,off,0,"-
-",0,-,-,normal,2.0.0,76052-406-8415-408,3.0.1,42,off,-,-,-,0,"30,30,28,28",off,P,warthog,JH4DB1650MS013392,2022
1718112600,off,off,2.0.0,20-00246,1.0.5,off,46,"apple_music.apple_maps,microsoft_teams",off,off,off,-,2.0.1,20-85158,1.5.9,se,off,off,-,0,"DF-53-66-69-8P-FA
-",vodafone,-,-,-,off,0,60,off,off,off,off,no_fault,0,off,off,yes,no,off,on,closed,-,yes,no,off,on,closed,off,yes,no,67,no_fault,gps,on,270,off,off,no,off,off,off,89505037432067637094,off,off,3.0.0,30-58482,1.1.0,off,-31.95112,off,on,off,yes,no,115.876183,acme,15694,no_fault,coyote,closed,-,-,-,0,75,off,off,off,1.5.5,15-88545,1.1.0,1.2.0,12-98052,1.0.5,off,hybrid,off,243,off,-,yes,no,"on
on",closed,yes,no,closed,-,off,off,on,off,no_fault,off,off,off,0,"acme_net_au
-",0,-,off,normal,2.0.0,76052-406-4846-004,3.0.1,65,off,-,-,-,0,"29.28.28,29",off,P,hybrid,JTDAT1230Y5017131,2022
1718113260,off,off,2.0.0,20-00246,1.0.5,on,46,"apple_music.apple_maps,microsoft_teams",off,off,off,-,2.0.1,20-85158,1.5.9,s,off,off,-,0,"DF-53-66-69-8P-FA
-",vodafone,-,-,-,off,0,60,off,off,off,off,no_fault,0,off,off,yes,no,off,on,closed,-,yes,no,off,on,closed,off,yes,no,67,no_fault,gps,on,270,off,off,no,off,off,off,89311390879751241951,off,off,3.0.0,30-58482,1.1.0,off,-31.95112,off,on,off,yes,no,115.876183,acme,15694,no_fault,coyote,closed,-,-,-,0,75,off,off,off,1.5.5,15-88545,1.1.0,1.2.0,12-98052,1.0.5,off,hybrid,off,243,off,-,yes,no,"on
on",closed,yes,no,closed,-,off,off,on,off,no_fault,off,off,off,0,"acme_net_au
-",0,-,off,normal,3.0.0,76052-406-9999-999,0.0.5,65,off,-,-,-,0,"29.28.28,29",off,P,hybrid,JTDAT1230Y5017131,2022
1718112600,off,off,1.5.0,15-84531,1.0.1,off,281,google_maps,on,off,off,-,2.0.1,20-58215,1.5.9,se,on,off,12,24,"DF-53-66-68-6F-FA
-",att,-,-,-,off,12,175,off,on,on,-,-,2100,off,-,yes,no,on,off,closed,-,yes,no,off,off,closed,on,yes,no,62,no_fault,gps,off,120,off,off,no,off,on,-,893113901553427468110,on,off,2.6.0,26-54162,1.0.1,off,33.588416,on,off,off,yes,no,-84.39632,acme,24770,no_fault,coyote-v,-,-,-,-,60,188,off,off,-,1.5.0,15-00065,1.1.0,-,-,-,on,ice,On,195,off,-,yes,no,"off
off",closed,yes,no,closed,-,off,on,off,off,no_fault,on,off,off,26,"acme_net
-",1,closed,off,comfort,1.1.1,76052-406-6254-885,2.5.0,189,on,-,-,-,0,"27,28,25,25",off,D,premium,2T1BR30E46C595221,2021
1718112660,off,off,1.5.0,15-84531,1.0.1,off,281,google_maps,on,off,off,-,2.0.1,20-58215,1.5.9,e,on,off,0,0,"DF-53-66-68-6F-FA
-",att,-,-,-,off,12,175,off,on,on,-,-,1200,off,-,yes,no,on,off,closed,-,yes,no,off,off,closed,on,yes,no,61,no_fault,gps,off,75,off,off,no,off,on,-,893113901553427468110,on,off,2.6.0,26-54162,1.0.1,off,33.58329,on,off,off,yes,no,-84.38959,acme,24771,no_fault,coyote-v,-,-,-,-,65,190,off,off,-,1.5.0,15-00065,1.1.0,-,-,-,on,ice,On,193,off,-,yes,no,"off
off",closed,yes,no,closed,-,off,on,off,off,no_fault,on,off,off,0,"acme_net
-",0,closed,off,comfort,1.1.1,76052-406-6254-885,2.5.0,189,on,-,-,-,0,"27,28,25,25",off,P,premium,2T1BR30E46C595221,2021
1718112600,on,off,1.4.5,14-88104,1.1.0,off,30,-,on,off,off,-,2.1.2,21-90056,1.2.2,e,off,on,-,0,"-
-",att,-,-,-,off,15,195,off,on,on,-,-,1100,off,off,no,yes,off,on,closed,off,no,no,off,on,closed,off,yes,no,85,no_fault,gps,on,0,off,off,no,off,on,-,89311390556549808842,on,on,2.5.0,25-97155,1.2.0,off,29.654515,off,on,off,no,yes,-95.276824,acme,48390,no_fault,yosemite,-,-,-,-,58,201,off,on,-,1.8.6,18-88442,1.0.2,-,-,-,on,ice,off,417,off,closed,no,no,"on
on",closed,no,no,closed,-,off,off,on,off,no_fault,off,off,off,0,"-
-",0,closed,off,normal,1.1.0,76052-406-9451-987,2.4.5,204,off,-,-,-,0,"34,34,35,35",off,P,premium,1GTEK14K5NZ533840,2019
1718112600,on,off,2.5.0,25-86671,1.0.0,off,6,"spotify,google_maps,webex",off,off,off,no_fault,1.0.00,10-51005,2.0.0,ne,off,on,-,0,"-
3B-24-83-6D-51-F9",att,19,no,yes,off,-,-,off,on,on,off,no_fault,0,off,off,no,yes,off,off,closed,-,no,no,off,off,closed,off,-,-,-,no_fault,gps,off,60,off,off,no,off,on,-,89311390879751241951,acc,on,3.0.1,30-81260,1.1.0,off,37.53278,off,off,off,no,no,-122.03862,acme,4015,no_fault,roadrunner,-,off,on,off,-,-,off,on,off,-,-,-,2.0.0,20-15484,1.1.0,on,ev,off,58,off,-,no,no,"off
off",closed,no,no,closed,-,off,off,off,off,no_fault,off,off,off,0,#NAME?,0,open,off,normal,2.1.0,76052-406-9457-851,3.0.1,90,off,-,-,-,0,"26,26,25,25",off,P,gt,2G2FV22G5X2221544,2024
