"tag","name","framework","description","url"
"cis7-1","CIS 7 - Inventory and Control of Hardware Assets","CIS v7","Actively manage (inventory, track, and correct) all hardware devices on the network so that only authorized devices are given access, and unauthorized and unmanaged devices are found and prevented from gaining access.","https://csf.tools/reference/critical-security-controls/version-7-1/csc-1/"
"cis7-2","CIS 7 - Inventory and Control of Software Assets","CIS v7","Actively manage (inventory, track, and correct) all software on the network so that only authorized software is installed and can execute, and that all unauthorized and unmanaged software is found and prevented from installation or execution.","https://csf.tools/reference/critical-security-controls/version-7-1/csc-2/"
"cis7-3","CIS 7 - Continuous Vulnerability Management","CIS v7","Continuously acquire, assess, and take action on new information in order to identify vulnerabilities, remediate, and minimize the window of opportunity for attackers.","https://csf.tools/reference/critical-security-controls/version-7-1/csc-3/"
"cis7-4","CIS 7 - Controlled Use of Administrative Privileges","CIS v7","The processes and tools used to track/control/prevent/correct the use, assignment, and configuration of administrative privileges on computers, networks, and applications.","https://csf.tools/reference/critical-security-controls/version-7-1/csc-4/"
"cis7-5","CIS 7 - Secure Configuration","CIS v7","Establish, implement, and actively manage (track, report on, correct) the security configuration of mobile devices, laptops, servers, and workstations using a rigorous configuration management and change control process in order to prevent attackers from exploiting vulnerable services and settings.","https://csf.tools/reference/critical-security-controls/version-7-1/csc-5/"
"cis7-6","CIS 7 - Maintenance, Monitoring and Analysis of Audit Logs","CIS v7","Collect, manage, and analyze audit logs of events that could help detect, understand, or recover from an attack.","https://csf.tools/reference/critical-security-controls/version-7-1/csc-6/"
"cis7-7","CIS 7 - Email and Web Browser Protections","CIS v7","Minimize the attack surface and the opportunities for attackers to manipulate human behavior through their interaction with web browsers and email systems.","https://csf.tools/reference/critical-security-controls/version-7-1/csc-7/"
"cis7-8","CIS 7 - Malware Defenses","CIS v7","Control the installation, spread, and execution of malicious code at multiple points in the enterprise, while optimizing the use of automation to enable rapid updating of defense, data gathering, and corrective action.","https://csf.tools/reference/critical-security-controls/version-7-1/csc-8/"
"cis7-9","CIS 7 - Limitation and Control of Network Ports, Protocols, and Services","CIS v7","Manage (track/control/correct) the ongoing operational use of ports, protocols, and services on networked devices in order to minimize windows of vulnerability available to attackers.","https://csf.tools/reference/critical-security-controls/version-7-1/csc-9/"
"cis7-10","CIS 7 - Data Recovery Capabilities","CIS v7","The processes and tools used to properly back up critical information with a proven methodology for timely recovery of it.","https://csf.tools/reference/critical-security-controls/version-7-1/csc-10/"
"cis7-11","CIS 7 - Secure Configuration for Network Devices","CIS v7","Establish, implement, and actively manage (track, report on, correct) the security configuration of network infrastructure devices using a rigorous configuration management and change control process in order to prevent attackers from exploiting vulnerable services and settings.","https://csf.tools/reference/critical-security-controls/version-7-1/csc-11/"
"cis7-12","CIS 7 - Boundary Defense","CIS v7","Detect/prevent/correct the flow of information transferring across networks of different trust levels with a focus on security-damaging data.","https://csf.tools/reference/critical-security-controls/version-7-1/csc-12/"
"cis7-13","CIS 7 - Data Protection","CIS v7","The processes and tools used to prevent data exfiltration, mitigate the effects of exfiltrated data, and ensure the privacy and integrity of sensitive information.","https://csf.tools/reference/critical-security-controls/version-7-1/csc-13/"
"cis7-14","CIS 7 - Controlled Access Based on the Need to Know","CIS v7"," The processes and tools used to track/control/prevent/correct secure access to critical assets (e.g., information, resources, systems) according to the formal determination of which persons, computers, and applications have a need and right to access these critical assets based on an approved classification.","https://csf.tools/reference/critical-security-controls/version-7-1/csc-14/"
"cis7-15","CIS 7 - Wireless Access Control","CIS v7","The processes and tools used to track/control/prevent/correct the secure use of wireless local area networks (WLANs), access points, and wireless client systems.","https://csf.tools/reference/critical-security-controls/version-7-1/csc-15/"
"cis7-16","CIS 7 - Account Monitoring and Control","CIS v7","Actively manage the life cycle of system and application accounts – their creation, use, dormancy, deletion – in order to minimize opportunities for attackers to leverage them.","https://csf.tools/reference/critical-security-controls/version-7-1/csc-16/"
"cis7-17","CIS 7 - Implement a Security Awareness and Training Program","CIS v7","For all functional roles in the organization (prioritizing those mission-critical to the business and its security), identify the specific knowledge, skills, and abilities needed to support defense of the enterprise; develop and execute an integrated plan to assess, identify gaps, and remediate through policy, organizational planning, training, and awareness programs.","https://csf.tools/reference/critical-security-controls/version-7-1/csc-17/"
"cis7-18","CIS 7 - Application Software Security","CIS v7","Manage the security life cycle of all in-house developed and acquired software in order to prevent, detect, and correct security weaknesses.","https://csf.tools/reference/critical-security-controls/version-7-1/csc-18/"
"cis7-19","CIS 7 - Incident Response and Management","CIS v7","Protect the organization’s information, as well as its reputation, by developing and implementing an incident response infrastructure (e.g., plans, defined roles, training, communications, management oversight) for quickly discovering an attack and then effectively containing the damage, eradicating the attacker’s presence, and restoring the integrity of the network and systems.","https://csf.tools/reference/critical-security-controls/version-7-1/csc-19/"
"cis7-20","CIS 7 - Penetration Testing","CIS v7","Test the overall strength of an organization’s defense (the technology, the processes, and the people) by simulating the objectives and actions of an attacker.","https://csf.tools/reference/critical-security-controls/version-7-1/csc-20/"
