source,"source_desc",field,"field_desc",notes
"ssef_admin_eventtypes","eventtypes.conf","Splunk_Instance","Specifies the individual Splunk instance (e.g., a member of a cluster or standalone instance). In standalone mode, matches label.",
"ssef_admin_eventtypes","eventtypes.conf","acl_perms_read","Read permissions for the knowledge object, indicating who can view or access the object.",
"ssef_admin_eventtypes","eventtypes.conf","acl_perms_write","Write permissions for the knowledge object, indicating who can modify the object.",
"ssef_admin_eventtypes","eventtypes.conf","acl_removable","Indicates whether the knowledge object can be removed or deleted.",
"ssef_admin_eventtypes","eventtypes.conf",app,"Splunk app context associated with data, showing which app generated or is associated with the data.",
"ssef_admin_eventtypes","eventtypes.conf",author,"Owner of the Splunk knowledge object, e.g., owner of a scheduled job.",
"ssef_admin_eventtypes","eventtypes.conf",color,"Color code or color assignment",
"ssef_admin_eventtypes","eventtypes.conf",description,"Human-readable description or documentation of the object",
"ssef_admin_eventtypes","eventtypes.conf",disabled,"Flag indicating whether the object is disabled or enabled",
"ssef_admin_eventtypes","eventtypes.conf",label,"Represents the Splunk instance group or cluster, identifying the logical grouping or cluster such as a search head cluster, indexer cluster, or standalone instance.",
"ssef_admin_eventtypes","eventtypes.conf",name,"Redacted identifier (host_role_id) for the Splunk instance or label, such as es-01, itsi-01, shc-01.",
"ssef_admin_eventtypes","eventtypes.conf",priority,"Execution or processing priority level",
"ssef_admin_eventtypes","eventtypes.conf",role,"Role of the Splunk instance (e.g., cluster_manager, cluster_peer, indexer, search_head, deployment_server, etc.).",
"ssef_admin_eventtypes","eventtypes.conf",search,"SPL search query or search expression",
"ssef_admin_eventtypes","eventtypes.conf",sharing,"Permission level (system, global, app, user) of the knowledge object. Indicates scope of the object.",
"ssef_admin_eventtypes","eventtypes.conf",tags,"List of tags or labels",
"ssef_admin_eventtypes","eventtypes.conf",title,"A user-friendly display name or title for the knowledge object",
"ssef_admin_eventtypes","eventtypes.conf",updated,"The timestamp when the knowledge object was last updated or modified",
"ssef_admin_lookup_table_files","Splunk REST API Reference","Splunk_Instance","Specifies the individual Splunk instance (e.g., a member of a cluster or standalone instance). In standalone mode, matches label.",
"ssef_admin_lookup_table_files","Splunk REST API Reference","acl_perms_read","Read permissions for the knowledge object, indicating who can view or access the object.",
"ssef_admin_lookup_table_files","Splunk REST API Reference","acl_perms_write","Write permissions for the knowledge object, indicating who can modify the object.",
"ssef_admin_lookup_table_files","Splunk REST API Reference","acl_removable","Indicates whether the knowledge object can be removed or deleted.",
"ssef_admin_lookup_table_files","Splunk REST API Reference",app,"Splunk app context associated with data, showing which app generated or is associated with the data.",
"ssef_admin_lookup_table_files","Splunk REST API Reference",author,"Owner of the Splunk knowledge object, e.g., owner of a scheduled job.",
"ssef_admin_lookup_table_files","Splunk REST API Reference",disabled,"Flag indicating whether the object is disabled or enabled",
"ssef_admin_lookup_table_files","Splunk REST API Reference",filename,Filename,
"ssef_admin_lookup_table_files","Splunk REST API Reference",label,"Represents the Splunk instance group or cluster, identifying the logical grouping or cluster such as a search head cluster, indexer cluster, or standalone instance.",
"ssef_admin_lookup_table_files","Splunk REST API Reference","lookup_file_path","Lookup File Path",
"ssef_admin_lookup_table_files","Splunk REST API Reference",name,"Redacted identifier (host_role_id) for the Splunk instance or label, such as es-01, itsi-01, shc-01.",
"ssef_admin_lookup_table_files","Splunk REST API Reference",role,"Role of the Splunk instance (e.g., cluster_manager, cluster_peer, indexer, search_head, deployment_server, etc.).",
"ssef_admin_lookup_table_files","Splunk REST API Reference",sharing,"Permission level (system, global, app, user) of the knowledge object. Indicates scope of the object.",
"ssef_admin_lookup_table_files","Splunk REST API Reference",updated,"The timestamp when the knowledge object was last updated or modified",
"ssef_admin_saml_groups","authorize.conf","Splunk_Instance","Specifies the individual Splunk instance (e.g., a member of a cluster or standalone instance). In standalone mode, matches label.",
"ssef_admin_saml_groups","authorize.conf",label,"Represents the Splunk instance group or cluster, identifying the logical grouping or cluster such as a search head cluster, indexer cluster, or standalone instance.",
"ssef_admin_saml_groups","authorize.conf",name,"Redacted identifier (host_role_id) for the Splunk instance or label, such as es-01, itsi-01, shc-01.",
"ssef_admin_saml_groups","authorize.conf",role,"Role of the Splunk instance (e.g., cluster_manager, cluster_peer, indexer, search_head, deployment_server, etc.).",
"ssef_admin_saml_groups","authorize.conf",roles,"List of role assignments",
"ssef_admin_saml_groups","authorize.conf",signature,Signature,
"ssef_admin_saml_groups","authorize.conf",title,"A user-friendly display name or title for the knowledge object",
"ssef_admin_search_concurrency_settings_handler","limits.conf","Splunk_Instance","Specifies the individual Splunk instance (e.g., a member of a cluster or standalone instance). In standalone mode, matches label.",
"ssef_admin_search_concurrency_settings_handler","limits.conf","auto_summary_perc","Auto Summary Perc",
"ssef_admin_search_concurrency_settings_handler","limits.conf","base_max_searches","Maximum limit for base searches",
"ssef_admin_search_concurrency_settings_handler","limits.conf",label,"Represents the Splunk instance group or cluster, identifying the logical grouping or cluster such as a search head cluster, indexer cluster, or standalone instance.",
"ssef_admin_search_concurrency_settings_handler","limits.conf","max_auto_summary_searches","Maximum limit for auto summary searches",
"ssef_admin_search_concurrency_settings_handler","limits.conf","max_hist_scheduled_searches","Maximum limit for hist scheduled searches",
