"data_descriptor","data_type","url"
Amazon,,"https://lantern.splunk.com/@go/page/5735"
"Antivirus and antimalware data",,"https://lantern.splunk.com/@go/page/384"
Apache,,"https://lantern.splunk.com/@go/page/1714"
AppDynamics,,"https://lantern.splunk.com/@go/page/2196"
"Application data",,"https://lantern.splunk.com/@go/page/385"
"Application server data",,"https://lantern.splunk.com/@go/page/435"
Atlassian,,"https://lantern.splunk.com/@go/page/2199"
"Authentication data",,"https://lantern.splunk.com/@go/page/383"
"Backup data",,"https://lantern.splunk.com/@go/page/950"
"Carbon Black",,"https://lantern.splunk.com/@go/page/866"
"Change events data",,"https://lantern.splunk.com/@go/page/897"
"Change Management data",,"https://lantern.splunk.com/@go/page/760"
"Check Point",,"https://lantern.splunk.com/@go/page/1784"
Cisco,,"https://lantern.splunk.com/@go/page/5742"
"Configuration Management data",,"https://lantern.splunk.com/@go/page/898"
"CrowdStrike Falcon data",,"https://lantern.splunk.com/@go/page/3526"
CyberArk,,"https://lantern.splunk.com/@go/page/7938"
"Database data",,"https://lantern.splunk.com/@go/page/385"
Dell,,"https://lantern.splunk.com/@go/page/871"
"DNS data",,"https://lantern.splunk.com/@go/page/474"
Docker,,"https://lantern.splunk.com/@go/page/7069"
"Email data",,"https://lantern.splunk.com/@go/page/426"
"Endpoint detection and response (EDR) data",,"https://lantern.splunk.com/@go/page/469"
"Firewall data",,"https://lantern.splunk.com/@go/page/470"
Fortinet,,"https://lantern.splunk.com/@go/page/3777"
GitHub,,"https://lantern.splunk.com/@go/page/3805"
GitLab,,"https://lantern.splunk.com/@go/page/6414"
Google,,"https://lantern.splunk.com/@go/page/5744"
"Intrusion detection and prevention data (IDS and IPS)",,"https://lantern.splunk.com/@go/page/472"
"IP Address Assignment data",,"https://lantern.splunk.com/@go/page/381"
JupiterOne,,"https://lantern.splunk.com/@go/page/5913"
"Kubernetes data",,"https://lantern.splunk.com/@go/page/2194"
"Linux and Unix data",,"https://lantern.splunk.com/@go/page/5621"
"Load Balancer data",,"https://lantern.splunk.com/@go/page/473"
"Mac OS",,"https://lantern.splunk.com/@go/page/6655"
"Malware data",,"https://lantern.splunk.com/@go/page/384"
Microsoft,,"https://lantern.splunk.com/@go/page/5743"
MOVEit,,"https://lantern.splunk.com/@go/page/7904"
Netscout,,"https://lantern.splunk.com/Data_Descriptors/Netscout"
"Network Communication data",,"https://lantern.splunk.com/@go/page/894"
"Network Firewall data",,"https://lantern.splunk.com/@go/page/470"
"Network Resolution data",,"https://lantern.splunk.com/@go/page/474"
Okta,,"https://lantern.splunk.com/@go/page/4822"
OpenAI,,"https://lantern.splunk.com/@go/page/7964"
"Palo Alto Networks",,"https://lantern.splunk.com/@go/page/884"
"Patch management data",,"https://lantern.splunk.com/@go/page/953"
"Physical security data",,"https://lantern.splunk.com/@go/page/947"
"Salesforce data",,"https://lantern.splunk.com/@go/page/885"
SAP,,"https://lantern.splunk.com/@go/page/4419"
Symantec,,"https://lantern.splunk.com/@go/page/887"
Syslog,,"https://lantern.splunk.com/@go/page/4334"
Tenable,,"https://lantern.splunk.com/@go/page/1789"
"Trend Micro",,"https://lantern.splunk.com/@go/page/5708"
"Vendor-Specific data",,"https://lantern.splunk.com/@go/page/387"
"VMware data",,"https://lantern.splunk.com/@go/page/3906"
"Vulnerability Detection data",,"https://lantern.splunk.com/@go/page/424"
"Web Proxy data",,"https://lantern.splunk.com/@go/page/895"
"Web Server data",,"https://lantern.splunk.com/@go/page/434"
Websense,,"https://lantern.splunk.com/@go/page/3905"
Zeek,,"https://lantern.splunk.com/@go/page/3495"
"Zoom data",,"https://lantern.splunk.com/@go/page/3753"
Zscaler,,"https://lantern.splunk.com/@go/page/2127"
