Description,"Nist-Code","Primary-Control",PrimaryTotal,"Sub-Control",SubTotal,"Third-Level-Control",ThirdTotal,"is-required"
"Physical devices and systems within the organization are inventoried","ID.AM-1","ID: Identify",21,"ID.AM: Asset Management",7,"ID.AM-1: Asset Inventory",1,1
"Software platforms and applications within the organization are inventoried","ID.AM-2","ID: Identify",21,"ID.AM: Asset Management",7,"ID.AM-2: Software Inventory",1,1
"Organizational communication and data flows are mapped","ID.AM-3","ID: Identify",21,"ID.AM: Asset Management",7,"ID.AM-3: Communication and Data Flow Mapping",1,1
"External information systems are cataloged","ID.AM-4","ID: Identify",21,"ID.AM: Asset Management",7,"ID.AM-4: External System Cataloging",1,1
"Resources are prioritized based on classification criticality and business value","ID.AM-5","ID: Identify",21,"ID.AM: Asset Management",7,"ID.AM-5: Resource Prioritization",1,1
"Inventories of data and Metadata are maintained","ID.AM-7","ID: Identify",21,"ID.AM: Asset Management",7,"ID.AM-7: Data Designation",1,1
"Systems, hardware, software, services, and data are managed throughout their life cycles","ID.AM-8","ID: Identify",21,"ID.AM: Asset Management",7,"ID.AM-8: Lifecycle Management",1,1
"Improvements are identified from evaluations","ID.IM-1","ID: Identify",21,"ID.IM: Improvements",4,"ID.IM-1: Self Assesments",1,1
"Improvements are identified from security tests and exercises","ID.IM-2","ID: Identify",21,"ID.IM: Improvements",4,"ID.IM-2: Security Tests",1,1
"Improvements are identified from execution of operational processes, procedures, and activities","ID.IM-3","ID: Identify",21,"ID.IM: Improvements",4,"ID.IM-3: Operational Processes",1,1
"Incident response plans are established, communicated, maintained, and improved","ID.IM-4","ID: Identify",21,"ID.IM: Improvements",4,"ID.IM-4: Incident Response",1,1
"Asset vulnerabilities are identified and documented","ID.RA-1","ID: Identify",21,"ID.RA: Risk Assessment",10,"ID.RA-1: Asset Vulnerabilities Identification",1,1
"Cyber threat intelligence is received from information sharing forums","ID.RA-2","ID: Identify",21,"ID.RA: Risk Assessment",10,"ID.RA-2: Cyber Threat Intelligence",1,1
"Threats are identified and documented","ID.RA-3","ID: Identify",21,"ID.RA: Risk Assessment",10,"ID.RA-3: Threats Documentation",1,1
"Potential business impacts and likelihoods are identified","ID.RA-4","ID: Identify",21,"ID.RA: Risk Assessment",10,"ID.RA-4: Business Impact Analysis",1,1
"Risk analysis is conducted based on threats vulnerabilities and impacts","ID.RA-5","ID: Identify",21,"ID.RA: Risk Assessment",10,"ID.RA-5: Risk Determination",1,1
"Risk responses are identified and prioritized","ID.RA-6","ID: Identify",21,"ID.RA: Risk Assessment",10,"ID.RA-6: Risk Response Prioritization",1,1
"Changes and exceptions are managed, assessed for risk impact","ID.RA-7","ID: Identify",21,"ID.RA: Risk Assessment",10,"ID.RA-7: Changes Managed",1,1
"Processes for receiving, analyzing, and responding to vulnerability disclosures ","ID.RA-8","ID: Identify",21,"ID.RA: Risk Assessment",10,"ID.RA-8: Vulnerability Disclosures",1,1
"The authenticity and integrity of hardware and software are assessed prior to acquisition and use","ID.RA-9","ID: Identify",21,"ID.RA: Risk Assessment",10,"ID.RA-9: Hardware Integrity and Authenticity",1,1
"Critical suppliers are assessed prior to acquisition","ID.RA-10","ID: Identify",21,"ID.RA: Risk Assessment",10,"ID.RA-10: Suppliers Reviewed",1,1
