signature_id,signature
377-10000,Gateway application status
377-1000046,Gateway application status - Application has started
377-1000049,Gateway application status - Application was terminated due to an invalid argument
377-1000050,Gateway application status - Argument was missing a value
377-1000051,Gateway application status - Unable to create a process
377-1000057,Gateway application status - Unable to set the process to run as the specific user
377-1000058,Gateway application status - Unable to set the process to run as the specific group
377-1000056,Gateway application status - Unable to obtain the user identification
377-1000052,Gateway application status - Network application was started
377-1000053,Gateway application status - Network application has finished
377-1000054,Gateway application status - Process that listens for protocol requests was started
377-1000055,Gateway application status - Process that listens for protocol requests has terminated
377-1000071,Gateway application status - Process has handled its maximum number of connections
377-1000070,Gateway application status - Process exceeded its maximum memory size
377-1000059,Gateway application status - Process that listens for protocol requests cannot start
377-10001,Gateway network listener
377-1000163,Gateway network listener - Attempting to create a network listener port
377-1000160,Gateway network listener - Unable to create a network listener port
377-1000161,Gateway network listener - Successfully created a network listener port
377-1000162,Gateway network listener - Listener port was shutdown
377-10002,Failed to create connection
377-1000264,Failed to create connection - Unable to create a new connection object
377-10003,Connection status
377-1000365,Connection status - New connection data set up
377-1000366,Connection status - Connection queued for processing
377-1000368,Connection status - Connection is being processed
377-1000369,Connection status - Connection processing complete
377-12000,Connection failed
377-12000114,Connection failed - Unable to obtain network socket
377-120006,Connection failed - Timed out
377-120007,Connection failed - No one listening on the remote address
377-120009,Connection failed - Network is unreachable
377-1200010,Connection failed - Multiple routes to remote address
377-1200011,Connection failed - Unable to resolve remote host name
377-1200034,Connection failed - Operation now in progress
377-1200012,Connection failed - Connection loop detected
377-1200035,Connection failed - Connection has been closed by the remote host
377-120008,Connection failed - The application has failed
377-12002,Information dump
377-1200272,Information dump - State of an object
377-1200273,Information dump - Writing data to the network
377-1200274,Information dump - Reading data from the network
377-15000,Policy
377-15000211,Policy - Message has matched multiple policies
377-15000212,Policy - Selecting base policy. Message exceeded the maximum number of policies that can be matched
377-15001,LDAP Query failed
377-15001378,LDAP Query failed - Unable to get the results from the group query
377-15001379,LDAP Query failed - Unable to get the results for an identity import
377-15001531,LDAP Query failed - Protocol error
377-15001532,LDAP Query failed - Time limit exceeded
377-15001533,LDAP Query failed - Size limit exceeded
377-15001534,LDAP Query failed - Compare false
377-15001535,LDAP Query failed - Compare true
377-15001536,LDAP Query failed - Authentication method not supported
377-15001537,LDAP Query failed - Strong authentication required
377-15001538,LDAP Query failed - Partial results and referral received
377-15001539,LDAP Query failed - Referral
377-15001540,LDAP Query failed - Administration limit exceeded
377-15001541,LDAP Query failed - Critical extension is unavailable
377-15001542,LDAP Query failed - Confidentiality required
377-15001543,LDAP Query failed - SASL bind in progress
377-15001544,LDAP Query failed - No such attribute
377-15001545,LDAP Query failed - Undefined attribute type
377-15001546,LDAP Query failed - Inappropriate matching
377-15001547,LDAP Query failed - Constraint violation
377-15001548,LDAP Query failed - Type or value exists
377-15001549,LDAP Query failed - Invalid syntax
377-15001550,LDAP Query failed - No such object
377-15001551,LDAP Query failed - Alias problem
377-15001552,LDAP Query failed - Invalid DN syntax
377-15001553,LDAP Query failed - Is leaf
377-15001554,LDAP Query failed - Alias dereference problem
377-15001555,LDAP Query failed - Inappropriate authentication
377-15001556,LDAP Query failed - Invalid credentials
377-15001557,LDAP Query failed - Insufficient access
377-15001558,LDAP Query failed - Server is busy
377-15001530,LDAP Query failed - Operations error
377-15001559,LDAP Query failed - Server is unavailable
377-15001560,LDAP Query failed - Server is unwilling to perform
377-15001561,LDAP Query failed - Loop detect
377-15001562,LDAP Query failed - Naming violation
377-15001563,LDAP Query failed - Object class violation
377-15001564,LDAP Query failed - Not allowed on non-leaf
377-15001565,LDAP Query failed - Not allowed on RDN
377-15001566,LDAP Query failed - Already exists
377-15001567,LDAP Query failed - No object class mods
377-15001568,LDAP Query failed - Results too large
377-15001569,LDAP Query failed - Affects multiple DSAS
377-15001570,LDAP Query failed - Other
377-15001571,LDAP Query failed - Cannot contact LDAP server
377-15001572,LDAP Query failed - Local error
377-15001573,LDAP Query failed - Encoding error
377-15001574,LDAP Query failed - Decoding error
377-15001575,LDAP Query failed - Timeout
377-15001576,LDAP Query failed - Unknown authentication method
377-15001577,LDAP Query failed - Search filter error
377-15001578,LDAP Query failed - User cancelled
377-15001579,LDAP Query failed - Parameter error
377-15001580,LDAP Query failed - Out of memory
377-15001581,LDAP Query failed - Connect error
377-15001582,LDAP Query failed - Not supported
377-15001583,LDAP Query failed - Control not found
377-15001584,LDAP Query failed - No results returned
377-15001585,LDAP Query failed - More results to return
377-15001586,LDAP Query failed - Client loop
377-15001587,LDAP Query failed - Referral limit exceeded
377-15003,Failed to generate a list of identities
377-15003378,Failed to generate a list of identities - Unable to get the results from the group query
377-15003379,Failed to generate a list of identities - Unable to get the results for an identity import
377-15007,LDAP directory synchronisation status
377-15007764,LDAP directory synchronisation status - Directory Sync has started
377-15007765,LDAP directory synchronisation status - Directory Sync has finished
377-15007771,LDAP directory synchronisation status - LDAP Sync group query failed
377-15007772,LDAP directory synchronisation status - Failed to sync the mail list
377-15007773,LDAP directory synchronisation status - Failed to sync the web list
377-15007774,LDAP directory synchronisation status - Failed to obtain information for an email address
377-15007775,LDAP directory synchronisation status - Failed to obtain information for a web user
377-15008,LDAP directory sync failed
377-15008378,LDAP directory sync failed - Unable to get the results from the group query
377-15008379,LDAP directory sync failed - Unable to get the results for an identity import
377-15008531,LDAP directory sync failed - Protocol error
377-15008532,LDAP directory sync failed - Time limit exceeded
377-15008533,LDAP directory sync failed - Size limit exceeded
377-15008534,LDAP directory sync failed - Compare false
377-15008535,LDAP directory sync failed - Compare true
377-15008536,LDAP directory sync failed - Authentication method not supported
377-15008537,LDAP directory sync failed - Strong authentication required
377-15008538,LDAP directory sync failed - Partial results and referral received
377-15008539,LDAP directory sync failed - Referral
377-15008540,LDAP directory sync failed - Administration limit exceeded
377-15008541,LDAP directory sync failed - Critical extension is unavailable
377-15008542,LDAP directory sync failed - Confidentiality required
377-15008543,LDAP directory sync failed - SASL bind in progress
377-15008544,LDAP directory sync failed - No such attribute
377-15008545,LDAP directory sync failed - Undefined attribute type
377-15008546,LDAP directory sync failed - Inappropriate matching
377-15008547,LDAP directory sync failed - Constraint violation
377-15008548,LDAP directory sync failed - Type or value exists
377-15008549,LDAP directory sync failed - Invalid syntax
377-15008550,LDAP directory sync failed - No such object
377-15008551,LDAP directory sync failed - Alias problem
377-15008552,LDAP directory sync failed - Invalid DN syntax
377-15008553,LDAP directory sync failed - Is leaf
377-15008554,LDAP directory sync failed - Alias dereference problem
377-15008555,LDAP directory sync failed - Inappropriate authentication
377-15008556,LDAP directory sync failed - Invalid credentials
377-15008557,LDAP directory sync failed - Insufficient access
377-15008558,LDAP directory sync failed - Server is busy
377-15008530,LDAP directory sync failed - Operations error
377-15008559,LDAP directory sync failed - Server is unavailable
377-15008560,LDAP directory sync failed - Server is unwilling to perform
377-15008561,LDAP directory sync failed - Loop detect
377-15008562,LDAP directory sync failed - Naming violation
377-15008563,LDAP directory sync failed - Object class violation
377-15008564,LDAP directory sync failed - Not allowed on non-leaf
377-15008565,LDAP directory sync failed - Not allowed on RDN
377-15008566,LDAP directory sync failed - Already exists
377-15008567,LDAP directory sync failed - No object class mods
377-15008568,LDAP directory sync failed - Results too large
377-15008569,LDAP directory sync failed - Affects multiple DSAS
377-15008570,LDAP directory sync failed - Other
377-15008571,LDAP directory sync failed - Cannot contact LDAP server
377-15008572,LDAP directory sync failed - Local error
377-15008573,LDAP directory sync failed - Encoding error
377-15008574,LDAP directory sync failed - Decoding error
377-15008575,LDAP directory sync failed - Timeout
