state,city,lat,lon
PA,Springfield,39.9305556,-75.3205556
AL,Abanda,33.091627,-85.527029
AL,Abbeville,31.564689,-85.259124
AL,Adamsville,33.605750,-86.974650
AL,Addison,34.202681,-87.178004
AL,Akron,32.879495,-87.741679
AL,Alabaster,33.244761,-86.846132
AL,Albertville,34.263130,-86.210660
AL,Alexander City,32.927240,-85.937122
AL,Alexandria,33.760819,-85.872008
AL,Aliceville,33.123686,-88.159364
AL,Allgood,33.907623,-86.516109
AL,Altoona,34.039204,-86.305697
AL,Andalusia,31.309436,-86.478031
AL,Anderson,34.915675,-87.274274
AL,Anniston,33.673440,-85.810918
AL,Arab,34.332387,-86.501167
AL,Ardmore,34.987838,-86.829022
AL,Argo,33.691576,-86.503766
AL,Ariton,31.597772,-85.713061
AL,Arley,34.076234,-87.217831
AL,Ashford,31.185284,-85.236236
AL,Ashland,33.269892,-85.833706
AL,Ashville,33.835197,-86.270015
AL,Athens,34.779021,-86.950799
AL,Atmore,31.127936,-87.457643
AL,Attalla,33.986189,-86.121037
AL,Auburn,32.607722,-85.489545
AL,Autaugaville,32.432563,-86.658752
AL,Avon,31.179727,-85.279211
AL,Axis,30.922563,-88.021850
AL,Babbie,31.302083,-86.319437
AL,Baileyton,34.260858,-86.608788
AL,Bakerhill,31.776923,-85.295408
AL,Ballplay,34.023046,-85.801481
AL,Banks,31.813264,-85.836434
AL,Bay Minette,30.894436,-87.791306
AL,Bayou La Batre,30.407586,-88.263271
AL,Bear Creek,34.255481,-87.713399
AL,Beatrice,31.733309,-87.209046
AL,Beaverton,33.935411,-88.021778
AL,Belgreen,34.474665,-87.861685
AL,Belk,33.651647,-87.928609
AL,Bellamy,32.463658,-88.131481
AL,Belle Fontaine,30.489492,-88.105940
AL,Benton,32.307931,-86.817546
AL,Berry,33.666702,-87.609311
AL,Bessemer,33.370789,-86.971596
AL,Billingsley,32.665220,-86.706673
AL,Birmingham,33.527444,-86.799047
AL,Black,31.010249,-85.742791
AL,Blountsville,34.075728,-86.583728
AL,Blue Ridge,32.498900,-86.182436
AL,Blue Springs,31.663516,-85.503526
AL,Boaz,34.199020,-86.155151
AL,Boligee,32.768100,-88.028579
AL,Bon Air,33.259370,-86.327148
AL,Bon Secour,30.318246,-87.724390
AL,Boykin,32.068375,-87.294343
AL,Brantley,31.581992,-86.256784
AL,Brantleyville,33.219303,-86.882522
AL,Brent,32.944893,-87.172088
AL,Brewton,31.109175,-87.076583
AL,Bridgeport,34.949312,-85.723765
AL,Brighton,33.439229,-86.945385
AL,Brilliant,34.025353,-87.769145
AL,Bristow Cove,34.109216,-86.240993
AL,Brook Highland,33.442208,-86.686656
AL,Brookside,33.636966,-86.896080
AL,Brookwood,33.239844,-87.331494
AL,Broomtown,34.365728,-85.532112
AL,Brundidge,31.717639,-85.817550
AL,Bucks,31.016881,-88.026385
AL,Butler,32.095113,-88.213970
AL,Calera,33.122319,-86.745644
AL,Calvert,31.154470,-88.010460
AL,Camden,31.998493,-87.288950
AL,Camp Hill,32.797327,-85.655833
AL,Carbon Hill,33.894991,-87.522078
AL,Cardiff,33.647188,-86.930557
