_raw,host,index,source,sourcetype,_time
"current_time=2020-08-26T11:26:49Z	mso_host=x.x.x.x	mso_api_endpoint=msoAuditRecords	user_lastName=User	user_domainName=Local	user_userId=0000ffff0000000000000020	user_domainId=0000ffff0000000000000090	user_username=admin	user_firstName=Admin	timestamp=2020-08-26T11:26:49	event=logged-in	id=5f4646f9a91b00955700c113	type=user-auth",SPLUNK,main,/opt/splunk/etc/apps/TA_cisco-ACI/bin/collect_mso.py -mso audit user,cisco:mso,2020-08-26T11:26:49

"current_time=2020-08-26T11:26:49Z	mso_host=x.x.x.x	mso_api_endpoint=msoAuditRecords	user_lastName=User	user_domainName=Local	user_userId=	user_domainId=0000ffff0000000000000090	user_username=admin	user_firstName=Admin	timestamp=2020-08-26T11:26:49	event=logged-in	id=5f4646f9a91b00955700c113	type=user-auth",SPLUNK,main,/opt/splunk/etc/apps/TA_cisco-ACI/bin/collect_mso.py -mso audit user,cisco:mso,2020-08-26T11:26:49

"current_time=2020-08-26T06:45:05Z	mso_host=x.x.x.x	mso_api_endpoint=msoAuditRecords	user_domainId=0000ffff0000000000000090	user_username=admin	user_domainName=Local	user_userId=	timestamp=2020-08-26T06:45:05	event=login-failed	id=5f4604f1a91b00624800bffd	type=user-auth",SPLUNK,main,/opt/splunk/etc/apps/TA_cisco-ACI/bin/collect_mso.py -mso audit user,cisco:mso,2020-08-26T06:45:05

"current_time=2020-08-26T06:45:05Z	mso_host=x.x.x.x	mso_api_endpoint=msoAuditRecords	user_domainId=0000ffff0000000000000090	user_username=admin	user_domainName=Local	user_userId=0000ffff0000000000000020	timestamp=2020-08-26T06:45:05	event=login-failed	id=5f4604f1a91b00624800bffd	type=user-auth",SPLUNK,main,/opt/splunk/etc/apps/TA_cisco-ACI/bin/collect_mso.py -mso audit user,cisco:mso,2020-08-26T06:45:05

"current_time=2020-08-26T10:51:53Z	mso_host=x.x.x.x	mso_api_endpoint=msoAuditRecords	name=site_23	user_lastName=User	user_domainName=Local	user_userId=0000ffff0000000000000020	user_domainId=0000ffff0000000000000090	user_username=admin	user_firstName=Admin	id=5f463ec9a91b00ab5500c0f1	timestamp=2020-08-26T10:51:53	key=5ec79fd37300002c213ecebe	event=updated	type=site ",SPLUNK,main,/opt/splunk/etc/apps/TA_cisco-ACI/bin/collect_mso.py -mso audit user,cisco:mso,2020-08-26T10:51:53

"current_time=2020-08-26T09:19:44Z	mso_host=x.x.x.x	mso_api_endpoint=msoAuditRecords	name=site_23	user_lastName=User	user_domainName=Local	user_userId=0000ffff0000000000000020	user_domainId=0000ffff0000000000000090	user_username=admin	user_firstName=Admin	id=5f462930a91b00a65000c09b	timestamp=2020-08-26T09:19:44	key=5ec79fd37300002c213ecebe	event=updated	type=site",SPLUNK,main,/opt/splunk/etc/apps/TA_cisco-ACI/bin/collect_mso.py -mso audit user,cisco:mso,2020-08-26T09:19:44

