technique_id,technique_name,tactic,base_severity,exploitability,detection_difficulty,notes
T1190,Exploit Public-Facing Application,Initial Access,critical,high,medium,Common entry point for external attackers
T1566,Phishing,Initial Access,high,high,medium,Primary delivery method for malware and credential theft
T1078,Valid Accounts,Initial Access,high,medium,hard,Often indicates compromised credentials
T1133,External Remote Services,Initial Access,high,medium,medium,VPN/RDP compromise common attack vector
T1059.001,PowerShell,Execution,high,high,medium,Heavily used in post-compromise activities
T1059.003,Windows Command Shell,Execution,medium,high,easy,Common in scripted attacks
T1068,Exploitation for Privilege Escalation,Privilege Escalation,critical,medium,medium,Critical vulnerabilities enabling admin access
T1548,Abuse Elevation Control Mechanism,Privilege Escalation,high,medium,medium,UAC bypass and sudo abuse
T1003,OS Credential Dumping,Credential Access,critical,high,medium,Direct theft of credentials from memory
T1003.001,LSASS Memory,Credential Access,critical,high,medium,Mimikatz and similar tools
T1110,Brute Force,Credential Access,medium,high,easy,Common but noisy attack method
T1056.001,Keylogging,Credential Access,high,medium,hard,Stealthy credential capture
T1027,Obfuscated Files or Information,Defense Evasion,medium,high,hard,Evades signature-based detection
T1055,Process Injection,Defense Evasion,high,medium,hard,Sophisticated evasion technique
T1562,Impair Defenses,Defense Evasion,high,high,medium,Disabling security tools
T1070,Indicator Removal,Defense Evasion,medium,high,hard,Log deletion and anti-forensics
T1021.001,Remote Desktop Protocol,Lateral Movement,high,high,easy,Common lateral movement method
T1021.004,SSH,Lateral Movement,high,high,easy,Unix/Linux lateral movement
T1021.002,SMB/Windows Admin Shares,Lateral Movement,high,high,easy,PsExec and similar tools
T1550.002,Pass the Hash,Lateral Movement,high,medium,medium,Advanced credential reuse
T1486,Data Encrypted for Impact,Impact,critical,high,easy,Ransomware primary technique
T1485,Data Destruction,Impact,critical,medium,easy,Wiper malware and sabotage
T1499,Endpoint Denial of Service,Impact,high,high,easy,Service disruption
T1498,Network Denial of Service,Impact,high,high,medium,DDoS attacks
T1496,Resource Hijacking,Impact,medium,high,medium,Cryptomining and resource abuse
T1071.001,Web Protocols,Command and Control,medium,high,hard,HTTPS C2 channels
T1573,Encrypted Channel,Command and Control,medium,high,hard,Encrypted communications
T1102,Web Service,Command and Control,medium,high,hard,Legitimate services for C2
T1041,Exfiltration Over C2 Channel,Exfiltration,high,high,hard,Data theft over C2
T1567,Exfiltration Over Web Service,Exfiltration,high,high,hard,Cloud service abuse for exfiltration
