udid,vsn,osn,osv,ose,sm
A2B0D4206CAD4EA6231EFB60377499EDEF41D1CD,"SHARED-DESKTOP-WIN",WinNT,"10.0.17763","Windows 10 Enterprise","VMware, Inc."
B593074F332EBF526F5C149858DE675A68D05F65,"PCARCO-MACBOOK-Q1EE","Mac OS X","10.14.6",Mojave,"Apple Inc."
DF2750CBDA358B6CC149288E75CB8C866D0E71A2,"CESA-DemoW7_Contractor",WinNT,"6.1.7601","Windows 7 Professional","VMware, Inc."
ED3A21E26B8371A168FAAF52668616875A273996,"CESA-WIN10-2.mydomain.com",WinNT,"10.0.14393","Windows 10 Enterprise","VMware, Inc."
68616875A273996ED3A21E26B8371A168FAAF526,"CESA-WIN10-3.mydomain.com",WinNT,"10.0.14393","Windows 10 Enterprise","VMware, Inc."
7D6A8A5DB4FC8CE969F3A29123B3A639CA25C77A,"CESA-WIN10-1.mydomain.com",WinNT,"10.0.14393","Windows 10 Enterprise","VMware, Inc."
71A168FAAF52668616875A273996ED3A21E26B83,"CESA-WIN10-3.mydomain.com",WinNT,"10.0.14393","Windows 10 Enterprise","VMware, Inc."
68616875A273996ED3A21E26B8371A168FAAF526,"CESA-WIN10-1.mydomain.com",WinNT,"10.0.14393","Windows 10 Enterprise","VMware, Inc."
CB44F656D935295F00E8A90848A50F5A15C82C10,"CESA-LINUX-MACHINE",Linux,"5.3.0-76-generic","Ubuntu 18.04.4 LTS","VMware, Inc."
CB44F656D935295F00E8A90848A50F5A15C82C10,"CESA-LINUX-MACHINE",Linux,"5.3.0-72-generic","Ubuntu 18.04.4 LTS","VMware, Inc."
