"ExitReason", "Name", "Description"
"0", "Null", "Unknown"
"1", "TransferToAgent", "Hunt succeeded and transferred to agent."
"2", "ForwardAlways", "Workgroup forwarding all calls."
"3", "ForwardBusy", "All logged in agents on call."
"4", "ForwardNoAnswer", "All available agents did not answer."
"5", "FwdNoLoginAgent", "No logged in agents."
"6", "ForwardMaxRings", "Reached max number of rings before agent found."
"7", "Abandon", "Call dropped while in WG or Queue."
"8", "Reserved", "Reserved"
"9", "TransferVM","Option taken to transfer to voice mail"
"10", "TransferExtension", "Option taken to transfer to an extension."
"11", "TransferMenu", "Option taken to transfer to a menu."
"12", "Pickup", "Agent picked up call from queue."
"13", "Unpark", "Agent picked up from queue out of order."
"14", "Overflow", "Overflow"
"15", "Interflow", "Interflow"
