"ConnectReason", "Name", "Description"
"0", "Null", "Null"
"1", "Direct", "TMS was not available when the party connected to the call. Connection information is logged, but there is no more ConnectReason information."
"2", "ForwardBusy", "The party was connected because the previous party's call handling mode was set to forward calls if the previous party was busy."
"3", "ForwardNoAnswer", "The party was connected because previous party's call handling mode was set to forward calls if the previous party didn't answer."
"4", "ForwardAll", "The party was connected because previous party's call handling mode was set to forward all calls. 5 Pickup The call was connected because the called party answered the call."
"6", "Unpark", "Unpark"
"7", "Redirect", "Redirect"
"8", "Completion", "Completion"
"9", "Transfer", "The call was connected after the call was transferred to the party."
"10", "Reminder", "Reminder"
"11", "Unknown", "Unknown"
"12", "Unavailable", "Unavailable"
"13", "Intrude", "Intrude"
"14", "Parked", "Parked"
"15", "CampedOn", "CampedOn"
"16", "RouteRequest", "RouteRequest"
"17", "Called", "The party was added to the call because it was the initial target of the call."
"18", "Forward", "Forward"
"19", "Originate", "The party initiated this call."
"20", "Conference", "The party was added to the call because the party was conferenced into the call."
"21", "Silent Monitor", "Silent monitoring was initiated."
"22", "Barge In", "Barge In was initiated."
"23", "Record Call", "Call recording was initiated."
"24", "Silent Coach", "Silent Coach was initiated."
"25", "StartMeetMeConf", "A Meet Me conference was started."
"26", "JoinMeetMeConf", "A user joined a Meet Me conference."
"27", "RingAllCalled", "RingAll called."
