"DisconnectReason", "Name", "Description"
"0", "Null", "Unknown"
"1", "Normal", "Normal termination"
"2", "Unknown", "Unknown reason"
"3", "Reject", "Call was rejected"
"4", "Pickup", "Call picked up by other destination"
"5", "Forwarded Call", "Call forwarded to another destination"
"6", "Busy", "Busy destination"
"7", "NoAnswer", "No answer by destination"
"8", "BadAddress", "Bad address"
"9", "Unreachable", "Destination cannot be reached"
"10", "Congestion", "Inadequate bandwidth"
"11", "Incompatible", "Destination is incompatible"
"12", "Unavailable", "Destination is unavailable"
"13", "NoDialTone", "No dial tone from the trunk"
"14", "NumberChanged", "Destination number changed"
"15", "OutOfOrder", "Destination out of order"
"16", "TempFailure", "Temporary failure"
"17", "QoSUnavailable", "QoS not available"
"18", "Blocked", "Destination blocked"
"19", "DoNotDisturb", "Do not disturb"
"20", "Cancelled", "Call cancelled"
"21", "Unpark", "Call unparked to different destination"
"22", "EndConsultCall", "End consult call"
"23", "RingAllAnsOther", "RingAllAnsOther"
"24", "HangUp", "Hang up"
