"_time","equipment_id","station_id","cell_id","shop_id","enterprise_id","facility_id","process_id","process_instance_id","activity_id","activity_instance_id","task_id","task_instance_id","task_instance_start","task_instance_duration","task_instance_end","product_type_id","batch_id","product_instance_id","process_reference_function","task_planned_duration"
"2018-03-21T06:00:00.000+0100","CH-01","ETXI-01","PVD-GRP-01",PVD,"DE-01","450mm-Fertigung",PVD,4686,"ACRO-01",4686,"CHAIN-2800",1521608400,1521608400,60,1521608460,Wafer,4686,4686,Transformieren,60
"2018-03-21T06:01:00.000+0100","CH-01","ETXI-01","PVD-GRP-01",PVD,"DE-01","450mm-Fertigung",PVD,4692,"ACRO-01",4692,"CHAIN-2800",1521608460,1521608460,60,1521608520,Wafer,4692,4692,Transformieren,60
"2018-03-21T06:02:00.000+0100","CH-01","ETXI-01","PVD-GRP-01",PVD,"DE-01","450mm-Fertigung",PVD,4698,"ACRO-01",4698,"CHAIN-2800",1521608520,1521608520,60,1521608580,Wafer,4698,4698,Transformieren,60
"2018-03-21T06:03:00.000+0100","CH-01","ETXI-01","PVD-GRP-01",PVD,"DE-01","450mm-Fertigung",PVD,4704,"ACRO-01",4704,"CHAIN-2800",1521608580,1521608580,60,1521608640,Wafer,4704,4704,Transformieren,60
"2018-03-21T06:04:00.000+0100","CH-01","ETXI-01","PVD-GRP-01",PVD,"DE-01","450mm-Fertigung",PVD,4710,"ACRO-01",4710,"CHAIN-2800",1521608640,1521608640,60,1521608700,Wafer,4710,4710,Transformieren,60
"2018-03-21T06:05:00.000+0100","CH-01","ETXI-01","PVD-GRP-01",PVD,"DE-01","450mm-Fertigung",PVD,4716,"ACRO-01",4716,"CHAIN-2800",1521608700,1521608700,60,1521608760,Wafer,4716,4716,Transformieren,60
"2018-03-21T06:06:00.000+0100","CH-01","ETXI-01","PVD-GRP-01",PVD,"DE-01","450mm-Fertigung",PVD,4722,"ACRO-01",4722,"CHAIN-2800",1521608760,1521608760,60,1521608820,Wafer,4722,4722,Transformieren,60
"2018-03-21T06:07:00.000+0100","CH-01","ETXI-01","PVD-GRP-01",PVD,"DE-01","450mm-Fertigung",PVD,4728,"ACRO-01",4728,"CHAIN-2800",1521608820,1521608820,60,1521608880,Wafer,4728,4728,Transformieren,60
"2018-03-21T06:08:00.000+0100","CH-01","ETXI-01","PVD-GRP-01",PVD,"DE-01","450mm-Fertigung",PVD,4734,"ACRO-01",4734,"CHAIN-2800",1521608880,1521608880,60,1521608940,Wafer,4734,4734,Transformieren,60
"2018-03-21T06:09:00.000+0100","CH-01","ETXI-01","PVD-GRP-01",PVD,"DE-01","450mm-Fertigung",PVD,4740,"ACRO-01",4740,"CHAIN-2800",1521608940,1521608940,60,1521609000,Wafer,4740,4740,Transformieren,60
"2018-03-21T06:10:00.000+0100","CH-01","ETXI-01","PVD-GRP-01",PVD,"DE-01","450mm-Fertigung",PVD,4746,"ACRO-01",4746,"CHAIN-2800",1521609000,1521609000,60,1521609060,Wafer,4746,4746,Transformieren,60
"2018-03-21T06:11:00.000+0100","CH-01","ETXI-01","PVD-GRP-01",PVD,"DE-01","450mm-Fertigung",PVD,4752,"ACRO-01",4752,"CHAIN-2800",1521609060,1521609060,60,1521609120,Wafer,4752,4752,Transformieren,60
"2018-03-21T06:12:00.000+0100","CH-01","ETXI-01","PVD-GRP-01",PVD,"DE-01","450mm-Fertigung",PVD,4758,"ACRO-01",4758,"CHAIN-2800",1521609120,1521609120,60,1521609180,Wafer,4758,4758,Transformieren,60
"2018-03-21T06:13:00.000+0100","CH-01","ETXI-01","PVD-GRP-01",PVD,"DE-01","450mm-Fertigung",PVD,4764,"ACRO-01",4764,"CHAIN-2800",1521609180,1521609180,60,1521609240,Wafer,4764,4764,Transformieren,60
"2018-03-21T06:14:00.000+0100","CH-01","ETXI-01","PVD-GRP-01",PVD,"DE-01","450mm-Fertigung",PVD,4770,"ACRO-01",4770,"CHAIN-2800",1521609240,1521609240,60,1521609300,Wafer,4770,4770,Transformieren,60
"2018-03-21T06:15:00.000+0100","CH-01","ETXI-01","PVD-GRP-01",PVD,"DE-01","450mm-Fertigung",PVD,4776,"ACRO-01",4776,"CHAIN-2800",1521609300,1521609300,60,1521609360,Wafer,4776,4776,Transformieren,60
