auditComponent,Description
1,User
2,Status
7,Network
9,Device Profiler
11,Custom Vuln
12,Custom Vuln Score
13,Custom Vuln Attack
14,Custom Vuln OS
15,Custom Vuln Rule
16,Attack
17,Attack Vuln
19,Attack Rule
22,SNMP Configuration
23,SNMP Traps
24,SNMP Trap Scan Score
25,SNMP Trap Vuln
26,SNMP Trap Attack
27,DNS
28,VnE ID
29,System Alert Email
30,Mail Server
31,Time Server
32,Automated Export Parameters
37,Transport Settings
38,Backup Settings
39,Archive Settings
40,Database Maintenance
41,Logfile Maintenance
42,Queue Software Package
44,Customer
46,Master Customer
47,Scan Score Alert
49,Vulnerability Found Alert
50,Login
51,Logout
54,Appliance Reboot
55,Upgrade Time
56,SSHD Toggle
57,Load Packages from CD
58,Load Packages from Upstream
59,Install Queued Packages
60,Password Policy
61,Upstream Repository
62,Standby Settings
63,Audit Cancel
64,Custom Vuln Application
65,Broadcast Message
66,User Group
67,User Access Rights
68,Role Access Rights
69,Scan Profile
70,Scan Configuration
71,Network Group
72,Host Information Survey
73,Audit Resume
74,Audit Pause
75,Host Tracking Re-Initialize
76,Host Tracking Correlation
77,IDS/IPS Sensor
78,IDS/IPS nTellect
79,User Auditing Start
80,User Auditing Stop
81,Failed Login
82,Report Viewing
83,Scan Alerts
