asset,asset_id,bunit,category,city,country,dns,ip,is_cloud_asset,is_expected,lat,long,mac,nt_host,owner,pci_domain,priority,requires_av,should_timesync,should_update,tag
prod-mfs-001,5da8b43c150fc9719e3ea731,americas,,washington d.c.,usa,,,false,,38.959405,-77.04,,prod-mfs-001,,untrust,low,,true,true,"americas
should_timesync
should_update"
10.11.36.20,5da8b43c150fc9719e3ea732,americas,"pci
splunk",pleasanton,usa,,10.11.36.20,true,true,37.694452,-121.894461,,,bill_williams,trust,critical,,true,true,"americas
pci
splunk
expected
should_timesync
should_update"
host-006,5da8b43c150fc9719e3ea733,emea,pci,havant,uk,,,false,,50.84436,-0.98451,,host-006,,"wireless
trust",high,,true,true,"emea
pci
should_timesync
should_update"
host-005,5da8b43c150fc9719e3ea734,emea,pci,havant,uk,,,false,,50.84436,-0.98451,,host-005,,"wireless
trust",high,,true,true,"emea
pci
should_timesync
should_update"
ops-sys-002,5da8b43c150fc9719e3ea735,americas,pci,dallas,usa,,,false,true,32.931277,-96.818167,,ops-sys-002,,trust,medium,true,true,true,"americas
pci
expected
requires_av
should_timesync
should_update"
ops-sys-001,5da8b43c150fc9719e3ea736,americas,pci,dallas,usa,,,false,true,32.931277,-96.818167,,ops-sys-001,,trust,medium,,true,true,"americas
pci
expected
should_timesync
should_update"
ops-sys-004,5da8b43c150fc9719e3ea737,americas,pci,dallas,usa,,,false,true,32.931277,-96.818167,,ops-sys-004,,trust,medium,true,true,true,"americas
pci
expected
requires_av
should_timesync
should_update"
ops-sys-003,5da8b43c150fc9719e3ea738,americas,pci,dallas,usa,,,false,true,32.931277,-96.818167,,ops-sys-003,,trust,medium,true,true,true,"americas
pci
expected
requires_av
should_timesync
should_update"
ops-sys-006,5da8b43c150fc9719e3ea739,americas,pci,dallas,usa,,,false,true,32.931277,-96.818167,,ops-sys-006,,trust,medium,true,true,true,"americas
pci
expected
requires_av
should_timesync
should_update"
ops-sys-005,5da8b43c150fc9719e3ea73a,americas,pci,dallas,usa,,,false,true,32.931277,-96.818167,,ops-sys-005,,trust,medium,true,true,true,"americas
pci
expected
requires_av
should_timesync
should_update"
