description,"fail_code"
"The operation completed successfully.",0x00000000
"The caller specified WaitAny for WaitType and one of the dispatcher objects in the Object array has been set to the signaled state.",0x00000000
"The caller specified WaitAny for WaitType and one of the dispatcher objects in the Object array has been set to the signaled state.",0x00000001
"The caller specified WaitAny for WaitType and one of the dispatcher objects in the Object array has been set to the signaled state.",0x00000002
"The caller specified WaitAny for WaitType and one of the dispatcher objects in the Object array has been set to the signaled state.",0x00000003
"The caller specified WaitAny for WaitType and one of the dispatcher objects in the Object array has been set to the signaled state.",0x0000003F
"The caller attempted to wait for a mutex that has been abandoned.",0x00000080
"The caller attempted to wait for a mutex that has been abandoned.",0x00000080
"The caller attempted to wait for a mutex that has been abandoned.",0x000000BF
"A user-mode APC was delivered before the given Interval expired.",0x000000C0
"The delay completed because the thread was alerted.",0x00000101
"The given Timeout interval expired.",0x00000102
"The operation that was requested is pending completion.",0x00000103
"A reparse should be performed by the Object Manager because the name of the file resulted in a symbolic link.",0x00000104
"Returned by enumeration APIs to indicate more information is available to successive calls.",0x00000105
"Indicates not all privileges or groups that are referenced are assigned to the caller. This allows, for example, all privileges to be disabled without having to know exactly which privileges are assigned.",0x00000106
"Some of the information to be translated has not been translated.",0x00000107
"An open/create operation completed while an opportunistic lock (oplock) break is underway.",0x00000108
"A new volume has been mounted by a file system.",0x00000109
"This success level status indicates that the transaction state already exists for the registry subtree but that a transaction commit was previously aborted. The commit has now been completed.",0x0000010A
"Indicates that a notify change request has been completed due to closing the handle that made the notify change request.",0x0000010B
"Indicates that a notify change request is being completed and that the information is not being returned in the caller's buffer. The caller now needs to enumerate the files to find the changes.",0x0000010C
"{No Quotas} No system quota limits are specifically set for this account.",0x0000010D
"{Connect Failure on Primary Transport} An attempt was made to connect to the remote server %hs on the primary transport, but the connection failed. The computer WAS able to connect on a secondary transport.",0x0000010E
"The page fault was a transition fault.",0x00000110
"The page fault was a demand zero fault.",0x00000111
"The page fault was a demand zero fault.",0x00000112
"The page fault was a demand zero fault.",0x00000113
"The page fault was satisfied by reading from a secondary storage device.",0x00000114
"The cached page was locked during operation.",0x00000115
"The crash dump exists in a paging file.",0x00000116
"The specified buffer contains all zeros.",0x00000117
"A reparse should be performed by the Object Manager because the name of the file resulted in a symbolic link.",0x00000118
"The device has succeeded a query-stop and its resource requirements have changed.",0x00000119
"The translator has translated these resources into the global space and no additional translations should be performed.",0x00000120
"The directory service evaluated group memberships locally, because it was unable to contact a global catalog server.",0x00000121
"A process being terminated has no threads to terminate.",0x00000122
"The specified process is not part of a job.",0x00000123
"The specified process is part of a job.",0x00000124
"{Volume Shadow Copy Service} The system is now ready for hibernation.",0x00000125
"A file system or file system filter driver has successfully completed an FsFilter operation.",0x00000126
"The specified interrupt vector was already connected.",0x00000127
"The specified interrupt vector is still connected.",0x00000128
"The current process is a cloned process.",0x00000129
"The file was locked and all users of the file can only read.",0x0000012A
"The file was locked and at least one user of the file can write.",0x0000012B
"The specified ResourceManager made no changes or updates to the resource under this transaction.",0x00000202
"An operation is blocked and waiting for an oplock.",0x00000367
"Debugger handled the exception.",0x00010001
"The debugger continued.",0x00010002
"The IO was completed by a filter.",0x001C0001
"The file is temporarily unavailable.",0xC0000467
"A threadpool worker thread entered a callback at thread affinity %p and exited at affinity %p.",0xC0000721
"This is unexpected, indicating that the callback missed restoring the priority.","STATUS_CALLBACK_RETURNED_THREAD_AFFINITY"
"{Object Exists} An attempt was made to create an object but the object name already exists.",0x40000000
"{Thread Suspended} A thread termination occurred while the thread was suspended. The thread resumed, and termination proceeded.",0x40000001
"{Working Set Range Error} An attempt was made to set the working set minimum or maximum to values that are outside the allowable range.",0x40000002
"{Image Relocated} An image file could not be mapped at the address that is specified in the image file. Local fixes must be performed on this image.",0x40000003
"This informational level status indicates that a specified registry subtree transaction state did not yet exist and had to be created.",0x40000004
"{Segment Load} A virtual DOS machine (VDM) is loading, unloading, or moving an MS-DOS or Win16 program segment image. An exception is raised so that a debugger can load, unload, or track symbols and breakpoints within these 16-bit segments.",0x40000005
"{Local Session Key} A user session key was requested for a local remote procedure call (RPC) connection. The session key that is returned is a constant value and not unique to this connection.",0x40000006
"{Invalid Current Directory} The process cannot switch to the startup current directory %hs. Select OK to set the current directory to %hs, or select CANCEL to exit.",0x40000007
"{Serial IOCTL Complete} A serial I/O operation was completed by another write to a serial port. (The IOCTL_SERIAL_XOFF_COUNTER reached zero.)",0x40000008
"{Registry Recovery} One of the files that contains the system registry data had to be recovered by using a log or alternate copy. The recovery was successful.",0x40000009
"{Redundant Read} To satisfy a read request, the Windows NT operating system fault-tolerant file system successfully read the requested data from a redundant copy. This was done because the file system encountered a failure on a member of the fault-tolerant volume but was unable to reassign the failing area of the device.",0x4000000A
"{Redundant Write} To satisfy a write request, the Windows NT fault-tolerant file system successfully wrote a redundant copy of the information. This was done because the file system encountered a failure on a member of the fault-tolerant volume but was unable to reassign the failing area of the device.",0x4000000B
"{Serial IOCTL Timeout} A serial I/O operation completed because the time-out period expired. (The IOCTL_SERIAL_XOFF_COUNTER had not reached zero.)",0x4000000C
"{Password Too Complex} The Windows password is too complex to be converted to a LAN Manager password. The LAN Manager password that returned is a NULL string.",0x4000000D
"{Machine Type Mismatch} The image file %hs is valid but is for a machine type other than the current machine. Select OK to continue, or CANCEL to fail the DLL load.",0x4000000E
"{Partial Data Received} The network transport returned partial data to its client. The remaining data will be sent later.",0x4000000F
"{Expedited Data Received} The network transport returned data to its client that was marked as expedited by the remote system.",0x40000010
"{Partial Expedited Data Received} The network transport returned partial data to its client and this data was marked as expedited by the remote system. The remaining data will be sent later.",0x40000011
"{TDI Event Done} The TDI indication has completed successfully.",0x40000012
"{TDI Event Pending} The TDI indication has entered the pending state.",0x40000013
"Checking file system on %wZ.",0x40000014
"{Fatal Application Exit} %hs",0x40000015
"The specified registry key is referenced by a predefined handle.",0x40000016
"{Page Unlocked} The page protection of a locked page was changed to 'No Access' and the page was unlocked from memory and from the process.",0x40000017
"%hs",0x40000018
"{Page Locked} One of the pages to lock was already locked.",0x40000019
"Application popup: %1 : %2",0x4000001A
"A Win32 process already exists.",0x4000001B
"An exception status code that is used by the Win32 x86 emulation subsystem.",0x4000001C
"An exception status code that is used by the Win32 x86 emulation subsystem.",0x4000001D
"An exception status code that is used by the Win32 x86 emulation subsystem.",0x4000001E
"An exception status code that is used by the Win32 x86 emulation subsystem.",0x4000001F
"An exception status code that is used by the Win32 x86 emulation subsystem.",0x40000020
"An exception status code that is used by the Win32 x86 emulation subsystem.",0x40000021
"An exception status code that is used by the Win32 x86 emulation subsystem.",0x40000022
"{Machine Type Mismatch} The image file %hs is valid but is for a machine type other than the current machine.",0x40000023
"A yield execution was performed and no thread was available to run.",0x40000024
"The resume flag to a timer API was ignored.",0x40000025
"The arbiter has deferred arbitration of these resources to its parent.",0x40000026
"The device has detected a CardBus card in its slot.",0x40000027
"An exception status code that is used by the Win32 x86 emulation subsystem.",0x40000028
"The CPUs in this multiprocessor system are not all the same revision level. To use all processors, the operating system restricts itself to the features of the least capable processor in the system. If problems occur with this system, contact the CPU manufacturer to see if this mix of processors is supported.",0x40000029
"The system was put into hibernation.",0x4000002A
"The system was resumed from hibernation.",0x4000002B
"Windows has detected that the system firmware (BIOS) was updated [previous firmware date = %2, current firmware date %3].",0x4000002C
"A device driver is leaking locked I/O pages and is causing system degradation. The system has automatically enabled the tracking code to try and catch the culprit.",0x4000002D
"The ALPC message being canceled has already been retrieved from the queue on the other side.",0x4000002E
"The system power state is transitioning from %2 to %3.",0x4000002F
"The receive operation was successful. Check the ALPC completion list for the received message.",0x40000030
"The system power state is transitioning from %2 to %3 but could enter %4.",0x40000031
"Access to %1 is monitored by policy rule %2.",0x40000032
"A valid hibernation file has been invalidated and should be abandoned.",0x40000033
"Business rule scripts are disabled for the calling application.",0x40000034
"The system has awoken.",0x40000294
"The directory service is shutting down.",0x40000370
"Debugger will reply later.",0x40010001
"Debugger cannot provide a handle.",0x40010002
"Debugger terminated the thread.",0x40010003
"Debugger terminated the process.",0x40010004
"Debugger obtained control of C.",0x40010005
"Debugger printed an exception on control C.",0x40010006
"Debugger received a RIP exception.",0x40010007
"Debugger received a control break.",0x40010008
"Debugger command communication exception.",0x40010009
"A UUID that is valid only on this computer has been allocated.",0x40020056
"Some data remains to be sent in the request buffer.",0x400200AF
"The Client Drive Mapping Service has connected on Terminal Connection.",0x400A0004
"The Client Drive Mapping Service has disconnected on Terminal Connection.",0x400A0005
"A kernel mode component is releasing a reference on an activation context.",0x4015000D
"The transactional resource manager is already consistent. Recovery is not needed.",0x40190034
"The transactional resource manager has already been started.",0x40190035
"The log service encountered a log stream with no restart area.",0x401A000C
"{Display Driver Recovered From Failure} The %hs display driver has detected a failure and recovered from it. Some graphical operations may have failed. The next time you restart the machine, a dialog box appears, giving you an opportunity to upload data about this failure to Microsoft.",0x401B00EC
"The specified buffer is not big enough to contain the entire requested dataset. Partial data is populated up to the size of the buffer.",0x401E000A
"The caller needs to provide a buffer of the size as specified in the partially populated buffer's content (interface specific).","STATUS_GRAPHICS_PARTIAL_DATA_POPULATED"
"The kernel driver detected a version mismatch between it and the user mode driver.",0x401E0117
"No mode is pinned on the specified VidPN source/target.",0x401E0307
"The specified mode set does not specify a preference for one of its modes.",0x401E031E
"The specified dataset (for example, mode set, frequency range set, descriptor set, or topology) is empty.",0x401E034B
"The specified dataset (for example, mode set, frequency range set, descriptor set, or topology) does not contain any more elements.",0x401E034C
"The specified content transformation is not pinned on the specified VidPN present path.",0x401E0351
"The child device presence was not reliably detected.",0x401E042F
"Starting the lead adapter in a linked configuration has been temporarily deferred.",0x401E0437
"The display adapter is being polled for children too frequently at the same polling level.",0x401E0439
"Starting the adapter has been temporarily deferred.",0x401E043A
"The request will be completed later by an NDIS status indication.",0x40230001
"{EXCEPTION} Guard Page Exception A page of memory that marks the end of a data structure, such as a stack or an array, has been accessed.",0x80000001
"{EXCEPTION} Alignment Fault A data type misalignment was detected in a load or store instruction.",0x80000002
"{EXCEPTION} Breakpoint A breakpoint has been reached.",0x80000003
"{EXCEPTION} Single Step A single step or trace operation has just been completed.",0x80000004
"{Buffer Overflow} The data was too large to fit into the specified buffer.",0x80000005
"{No More Files} No more files were found which match the file specification.",0x80000006
"{Kernel Debugger Awakened} The system debugger was awakened by an interrupt.",0x80000007
"{Handles Closed} Handles to objects have been automatically closed because of the requested operation.",0x8000000A
"{Non-Inheritable ACL} An access control list (ACL) contains no components that can be inherited.",0x8000000B
"{GUID Substitution} During the translation of a globally unique identifier (GUID) to a Windows security ID (SID), no administratively defined GUID prefix was found. A substitute prefix was used, which will not compromise system security. However, this may provide a more restrictive access than intended.",0x8000000C
"Because of protection conflicts, not all the requested bytes could be copied.",0x8000000D
"{Out of Paper} The printer is out of paper.",0x8000000E
"{Device Power Is Off} The printer power has been turned off.",0x8000000F
"{Device Offline} The printer has been taken offline.",0x80000010
"{Device Busy} The device is currently busy.",0x80000011
"{No More EAs} No more extended attributes (EAs) were found for the file.",0x80000012
"{Illegal EA} The specified extended attribute (EA) name contains at least one illegal character.",0x80000013
"{Inconsistent EA List} The extended attribute (EA) list is inconsistent.",0x80000014
"{Invalid EA Flag} An invalid extended attribute (EA) flag was set.",0x80000015
"{Verifying Disk} The media has changed and a verify operation is in progress; therefore, no reads or writes may be performed to the device, except those that are used in the verify operation.",0x80000016
"{Too Much Information} The specified access control list (ACL) contained more information than was expected.",0x80000017
"This warning level status indicates that the transaction state already exists for the registry subtree, but that a transaction commit was previously aborted. The commit has NOT been completed but has not been rolled back either; therefore, it may still be committed, if needed.",0x80000018
"{No More Entries} No more entries are available from an enumeration operation.",0x8000001A
"{Filemark Found} A filemark was detected.",0x8000001B
"{Media Changed} The media may have changed.",0x8000001C
"{I/O Bus Reset} An I/O bus reset was detected.",0x8000001D
"{End of Media} The end of the media was encountered.",0x8000001E
"The beginning of a tape or partition has been detected.",0x8000001F
"{Media Changed} The media may have changed.",0x80000020
"A tape access reached a set mark.",0x80000021
"During a tape access, the end of the data written is reached.",0x80000022
"The redirector is in use and cannot be unloaded.",0x80000023
"The server is in use and cannot be unloaded.",0x80000024
"The specified connection has already been disconnected.",0x80000025
"A long jump has been executed.",0x80000026
"A cleaner cartridge is present in the tape library.",0x80000027
"The Plug and Play query operation was not successful.",0x80000028
"A frame consolidation has been executed.",0x80000029
"{Registry Hive Recovered} The registry hive (file): %hs was corrupted and it has been recovered. Some data might have been lost.",0x8000002A
"The application is attempting to run executable code from the module %hs. This may be insecure. An alternative, %hs, is available. Should the application use the secure module %hs?",0x8000002B
"The application is loading executable code from the module %hs. This is secure but may be incompatible with previous releases of the operating system. An alternative, %hs, is available. Should the application use the secure module %hs?",0x8000002C
"The create operation stopped after reaching a symbolic link.",0x8000002D
"The device has indicated that cleaning is necessary.",0x80000288
"The device has indicated that its door is open. Further operations require it closed and secured.",0x80000289
"Windows discovered a corruption in the file %hs. This file has now been repaired. Check if any data in the file was lost because of the corruption.",0x80000803
"Debugger did not handle the exception.",0x80010001
"The cluster node is already up.",0x80130001
"The cluster node is already down.",0x80130002
"The cluster network is already online.",0x80130003
"The cluster network is already offline.",0x80130004
"The cluster node is already a member of the cluster.",0x80130005
