asset_id,order,recommendation
1,1,Engine under critical state
1,2,Create work order to schedule maintenance in 5 days
1,3,Reroute load to another completed engine location
2,1,Engine under critical state
2,2,Create work order to schedule maintenance in 5 days
2,3,Reroute load to another completed engine location
3,1,Engine under critical state
3,2,Create work order to schedule maintenance in 5 days
3,3,Reroute load to another completed engine location
4,1,Engine under critical state
4,2,Create work order to schedule maintenance in 5 days
4,3,Reroute load to another completed engine location
5,1,Engine under critical state
5,2,Create work order to schedule maintenance in 5 days
5,3,Reroute load to another completed engine location
6,1,Engine under critical state
6,2,Create work order to schedule maintenance in 5 days
6,3,Reroute load to another completed engine location
7,1,Engine under critical state
7,2,Create work order to schedule maintenance in 5 days
7,3,Reroute load to another completed engine location
8,1,Engine under critical state
8,2,Create work order to schedule maintenance in 5 days
8,3,Reroute load to another completed engine location
9,1,Engine under critical state
9,2,Create work order to schedule maintenance in 5 days
9,3,Reroute load to another completed engine location
10,1,Engine under critical state
10,2,Create work order to schedule maintenance in 5 days
10,3,Reroute load to another completed engine location
11,1,Engine under critical state
11,2,Create work order to schedule maintenance in 5 days
11,3,Reroute load to another completed engine location
12,1,Engine under critical state
12,2,Create work order to schedule maintenance in 5 days
12,3,Reroute load to another completed engine location
13,1,Engine under critical state
13,2,Create work order to schedule maintenance in 5 days
13,3,Reroute load to another completed engine location
14,1,Engine under critical state
14,2,Create work order to schedule maintenance in 5 days
14,3,Reroute load to another completed engine location
15,1,Engine under critical state
15,2,Create work order to schedule maintenance in 5 days
15,3,Reroute load to another completed engine location
16,1,Engine under critical state
16,2,Create work order to schedule maintenance in 5 days
16,3,Reroute load to another completed engine location
17,1,Engine under critical state
17,2,Create work order to schedule maintenance in 5 days
17,3,Reroute load to another completed engine location
18,1,Engine under critical state
18,2,Create work order to schedule maintenance in 5 days
18,3,Reroute load to another completed engine location
19,1,Engine under critical state
19,2,Create work order to schedule maintenance in 5 days
19,3,Reroute load to another completed engine location
20,1,Engine under critical state
20,2,Create work order to schedule maintenance in 5 days
20,3,Reroute load to another completed engine location
21,1,Engine under critical state
21,2,Create work order to schedule maintenance in 5 days
21,3,Reroute load to another completed engine location
22,1,Engine under critical state
22,2,Create work order to schedule maintenance in 5 days
22,3,Reroute load to another completed engine location
23,1,Engine under critical state
23,2,Create work order to schedule maintenance in 5 days
23,3,Reroute load to another completed engine location
24,1,Engine under critical state
24,2,Create work order to schedule maintenance in 5 days
24,3,Reroute load to another completed engine location
25,1,Engine under critical state
25,2,Create work order to schedule maintenance in 5 days
25,3,Reroute load to another completed engine location
26,1,Engine under critical state
26,2,Create work order to schedule maintenance in 5 days
26,3,Reroute load to another completed engine location
27,1,Engine under critical state
27,2,Create work order to schedule maintenance in 5 days
27,3,Reroute load to another completed engine location
28,1,Engine under critical state
28,2,Create work order to schedule maintenance in 5 days
28,3,Reroute load to another completed engine location
29,1,Engine under critical state
29,2,Create work order to schedule maintenance in 5 days
29,3,Reroute load to another completed engine location
30,1,Engine under critical state
30,2,Create work order to schedule maintenance in 5 days
30,3,Reroute load to another completed engine location
31,1,Engine under critical state
31,2,Create work order to schedule maintenance in 5 days
31,3,Reroute load to another completed engine location
32,1,Engine under critical state
32,2,Create work order to schedule maintenance in 5 days
32,3,Reroute load to another completed engine location
33,1,Engine under critical state
33,2,Create work order to schedule maintenance in 5 days
33,3,Reroute load to another completed engine location
34,1,Engine under critical state
34,2,Create work order to schedule maintenance in 5 days
34,3,Reroute load to another completed engine location
35,1,Engine under critical state
35,2,Create work order to schedule maintenance in 5 days
35,3,Reroute load to another completed engine location
36,1,Engine under critical state
36,2,Create work order to schedule maintenance in 5 days
36,3,Reroute load to another completed engine location
37,1,Engine under critical state
37,2,Create work order to schedule maintenance in 5 days
37,3,Reroute load to another completed engine location
38,1,Engine under critical state
38,2,Create work order to schedule maintenance in 5 days
38,3,Reroute load to another completed engine location
39,1,Engine under critical state
39,2,Create work order to schedule maintenance in 5 days
39,3,Reroute load to another completed engine location
40,1,Engine under critical state
40,2,Create work order to schedule maintenance in 5 days
40,3,Reroute load to another completed engine location
41,1,Engine under critical state
41,2,Create work order to schedule maintenance in 5 days
41,3,Reroute load to another completed engine location
42,1,Engine under critical state
42,2,Create work order to schedule maintenance in 5 days
42,3,Reroute load to another completed engine location
43,1,Engine under critical state
43,2,Create work order to schedule maintenance in 5 days
43,3,Reroute load to another completed engine location
44,1,Engine under critical state
44,2,Create work order to schedule maintenance in 5 days
44,3,Reroute load to another completed engine location
45,1,Engine under critical state
45,2,Create work order to schedule maintenance in 5 days
45,3,Reroute load to another completed engine location
46,1,Engine under critical state
46,2,Create work order to schedule maintenance in 5 days
46,3,Reroute load to another completed engine location
47,1,Engine under critical state
47,2,Create work order to schedule maintenance in 5 days
47,3,Reroute load to another completed engine location
48,1,Engine under critical state
48,2,Create work order to schedule maintenance in 5 days
48,3,Reroute load to another completed engine location
49,1,Engine under critical state
49,2,Create work order to schedule maintenance in 5 days
49,3,Reroute load to another completed engine location
50,1,Engine under critical state
50,2,Create work order to schedule maintenance in 5 days
50,3,Reroute load to another completed engine location
51,1,Engine under critical state
51,2,Create work order to schedule maintenance in 5 days
51,3,Reroute load to another completed engine location
52,1,Engine under critical state
52,2,Create work order to schedule maintenance in 5 days
52,3,Reroute load to another completed engine location
53,1,Engine under critical state
53,2,Create work order to schedule maintenance in 5 days
53,3,Reroute load to another completed engine location
54,1,Engine under critical state
54,2,Create work order to schedule maintenance in 5 days
54,3,Reroute load to another completed engine location
55,1,Engine under critical state
55,2,Create work order to schedule maintenance in 5 days
55,3,Reroute load to another completed engine location
56,1,Engine under critical state
56,2,Create work order to schedule maintenance in 5 days
56,3,Reroute load to another completed engine location
57,1,Engine under critical state
57,2,Create work order to schedule maintenance in 5 days
57,3,Reroute load to another completed engine location
58,1,Engine under critical state
58,2,Create work order to schedule maintenance in 5 days
58,3,Reroute load to another completed engine location
59,1,Engine under critical state
59,2,Create work order to schedule maintenance in 5 days
59,3,Reroute load to another completed engine location
60,1,Engine under critical state
60,2,Create work order to schedule maintenance in 5 days
60,3,Reroute load to another completed engine location
61,1,Engine under critical state
61,2,Create work order to schedule maintenance in 5 days
61,3,Reroute load to another completed engine location
62,1,Engine under critical state
62,2,Create work order to schedule maintenance in 5 days
62,3,Reroute load to another completed engine location
63,1,Engine under critical state
63,2,Create work order to schedule maintenance in 5 days
63,3,Reroute load to another completed engine location
64,1,Engine under critical state
64,2,Create work order to schedule maintenance in 5 days
64,3,Reroute load to another completed engine location
65,1,Engine under critical state
65,2,Create work order to schedule maintenance in 5 days
65,3,Reroute load to another completed engine location
66,1,Engine under critical state
66,2,Create work order to schedule maintenance in 5 days
66,3,Reroute load to another completed engine location
67,1,Engine under critical state
67,2,Create work order to schedule maintenance in 5 days
67,3,Reroute load to another completed engine location
68,1,Engine under critical state
68,2,Create work order to schedule maintenance in 5 days
68,3,Reroute load to another completed engine location
69,1,Engine under critical state
69,2,Create work order to schedule maintenance in 5 days
69,3,Reroute load to another completed engine location
70,1,Engine under critical state
70,2,Create work order to schedule maintenance in 5 days
70,3,Reroute load to another completed engine location
71,1,Engine under critical state
71,2,Create work order to schedule maintenance in 5 days
71,3,Reroute load to another completed engine location
72,1,Engine under critical state
72,2,Create work order to schedule maintenance in 5 days
