asset_id,date,record,operator
1,2018-01-02,Engine PM Maintenance Warning,JC01
1,2018-01-04,Engine Matenance Schedule Order Submitted,JC02
1,2018-01-06,Maintenance Started,JC02
1,2018-01-07,Maintenance Completed,JC02
1,2018-01-07,"Maintenance QA failed, retest",MA01
1,2018-01-08,"Maintenance QA HPC value replaced",MA01
1,2018-01-09,"Maintenance QA completed, OK",MA01
#
2,2018-01-02,Engine PM Maintenance Warning,JC01
2,2018-01-04,Engine Matenance Schedule Order Submitted,JC02
2,2018-01-06,Maintenance Started,JC02
2,2018-01-07,Maintenance Completed,JC02
2,2018-01-07,"Maintenance QA failed, retest",MA01
2,2018-01-08,"Maintenance QA HPC value replaced",MA01
2,2018-01-09,"Maintenance QA completed, OK",MA01
#
3,2018-01-02,Engine PM Maintenance Warning,JC01
3,2018-01-04,Engine Matenance Schedule Order Submitted,JC02
3,2018-01-06,Maintenance Started,JC02
3,2018-01-07,Maintenance Completed,JC02
3,2018-01-07,"Maintenance QA failed, retest",MA01
3,2018-01-08,"Maintenance QA HPC value replaced",MA01
3,2018-01-09,"Maintenance QA completed, OK",MA01
#
4,2018-01-02,Engine PM Maintenance Warning,JC01
4,2018-01-04,Engine Matenance Schedule Order Submitted,JC02
4,2018-01-06,Maintenance Started,JC02
4,2018-01-07,Maintenance Completed,JC02
4,2018-01-07,"Maintenance QA failed, retest",MA01
4,2018-01-08,"Maintenance QA HPC value replaced",MA01
4,2018-01-09,"Maintenance QA completed, OK",MA01
#
5,2018-01-02,Engine PM Maintenance Warning,JC01
5,2018-01-04,Engine Matenance Schedule Order Submitted,JC02
5,2018-01-06,Maintenance Started,JC02
5,2018-01-07,Maintenance Completed,JC02
5,2018-01-07,"Maintenance QA failed, retest",MA01
5,2018-01-08,"Maintenance QA HPC value replaced",MA01
5,2018-01-09,"Maintenance QA completed, OK",MA01
#
6,2018-01-02,Engine PM Maintenance Warning,JC01
6,2018-01-04,Engine Matenance Schedule Order Submitted,JC02
6,2018-01-06,Maintenance Started,JC02
6,2018-01-07,Maintenance Completed,JC02
6,2018-01-07,"Maintenance QA failed, retest",MA01
6,2018-01-08,"Maintenance QA HPC value replaced",MA01
6,2018-01-09,"Maintenance QA completed, OK",MA01
#
7,2018-01-02,Engine PM Maintenance Warning,JC01
7,2018-01-04,Engine Matenance Schedule Order Submitted,JC02
7,2018-01-06,Maintenance Started,JC02
7,2018-01-07,Maintenance Completed,JC02
7,2018-01-07,"Maintenance QA failed, retest",MA01
7,2018-01-08,"Maintenance QA HPC value replaced",MA01
7,2018-01-09,"Maintenance QA completed, OK",MA01
#
8,2018-01-02,Engine PM Maintenance Warning,JC01
8,2018-01-04,Engine Matenance Schedule Order Submitted,JC02
8,2018-01-06,Maintenance Started,JC02
8,2018-01-07,Maintenance Completed,JC02
8,2018-01-07,"Maintenance QA failed, retest",MA01
8,2018-01-08,"Maintenance QA HPC value replaced",MA01
8,2018-01-09,"Maintenance QA completed, OK",MA01
#
9,2018-01-02,Engine PM Maintenance Warning,JC01
9,2018-01-04,Engine Matenance Schedule Order Submitted,JC02
9,2018-01-06,Maintenance Started,JC02
9,2018-01-07,Maintenance Completed,JC02
9,2018-01-07,"Maintenance QA failed, retest",MA01
9,2018-01-08,"Maintenance QA HPC value replaced",MA01
9,2018-01-09,"Maintenance QA completed, OK",MA01
#
10,2018-01-02,Engine PM Maintenance Warning,JC01
10,2018-01-04,Engine Matenance Schedule Order Submitted,JC02
10,2018-01-06,Maintenance Started,JC02
10,2018-01-07,Maintenance Completed,JC02
10,2018-01-07,"Maintenance QA failed, retest",MA01
10,2018-01-08,"Maintenance QA HPC value replaced",MA01
10,2018-01-09,"Maintenance QA completed, OK",MA01
#
11,2018-01-02,Engine PM Maintenance Warning,JC01
11,2018-01-04,Engine Matenance Schedule Order Submitted,JC02
11,2018-01-06,Maintenance Started,JC02
11,2018-01-07,Maintenance Completed,JC02
11,2018-01-07,"Maintenance QA failed, retest",MA01
11,2018-01-08,"Maintenance QA HPC value replaced",MA01
11,2018-01-09,"Maintenance QA completed, OK",MA01
#
12,2018-01-02,Engine PM Maintenance Warning,JC01
12,2018-01-04,Engine Matenance Schedule Order Submitted,JC02
12,2018-01-06,Maintenance Started,JC02
12,2018-01-07,Maintenance Completed,JC02
12,2018-01-07,"Maintenance QA failed, retest",MA01
12,2018-01-08,"Maintenance QA HPC value replaced",MA01
12,2018-01-09,"Maintenance QA completed, OK",MA01
#
13,2018-01-02,Engine PM Maintenance Warning,JC01
13,2018-01-04,Engine Matenance Schedule Order Submitted,JC02
13,2018-01-06,Maintenance Started,JC02
13,2018-01-07,Maintenance Completed,JC02
13,2018-01-07,"Maintenance QA failed, retest",MA01
13,2018-01-08,"Maintenance QA HPC value replaced",MA01
13,2018-01-09,"Maintenance QA completed, OK",MA01
#
14,2018-01-02,Engine PM Maintenance Warning,JC01
14,2018-01-04,Engine Matenance Schedule Order Submitted,JC02
14,2018-01-06,Maintenance Started,JC02
14,2018-01-07,Maintenance Completed,JC02
14,2018-01-07,"Maintenance QA failed, retest",MA01
14,2018-01-08,"Maintenance QA HPC value replaced",MA01
14,2018-01-09,"Maintenance QA completed, OK",MA01
#
15,2018-01-02,Engine PM Maintenance Warning,JC01
15,2018-01-04,Engine Matenance Schedule Order Submitted,JC02
15,2018-01-06,Maintenance Started,JC02
15,2018-01-07,Maintenance Completed,JC02
15,2018-01-07,"Maintenance QA failed, retest",MA01
15,2018-01-08,"Maintenance QA HPC value replaced",MA01
15,2018-01-09,"Maintenance QA completed, OK",MA01
#
16,2018-01-02,Engine PM Maintenance Warning,JC01
16,2018-01-04,Engine Matenance Schedule Order Submitted,JC02
16,2018-01-06,Maintenance Started,JC02
16,2018-01-07,Maintenance Completed,JC02
16,2018-01-07,"Maintenance QA failed, retest",MA01
16,2018-01-08,"Maintenance QA HPC value replaced",MA01
16,2018-01-09,"Maintenance QA completed, OK",MA01
#
17,2018-01-02,Engine PM Maintenance Warning,JC01
17,2018-01-04,Engine Matenance Schedule Order Submitted,JC02
17,2018-01-06,Maintenance Started,JC02
17,2018-01-07,Maintenance Completed,JC02
17,2018-01-07,"Maintenance QA failed, retest",MA01
17,2018-01-08,"Maintenance QA HPC value replaced",MA01
17,2018-01-09,"Maintenance QA completed, OK",MA01
#
18,2018-01-02,Engine PM Maintenance Warning,JC01
18,2018-01-04,Engine Matenance Schedule Order Submitted,JC02
18,2018-01-06,Maintenance Started,JC02
18,2018-01-07,Maintenance Completed,JC02
18,2018-01-07,"Maintenance QA failed, retest",MA01
18,2018-01-08,"Maintenance QA HPC value replaced",MA01
18,2018-01-09,"Maintenance QA completed, OK",MA01
#
19,2018-01-02,Engine PM Maintenance Warning,JC01
19,2018-01-04,Engine Matenance Schedule Order Submitted,JC02
19,2018-01-06,Maintenance Started,JC02
19,2018-01-07,Maintenance Completed,JC02
19,2018-01-07,"Maintenance QA failed, retest",MA01
19,2018-01-08,"Maintenance QA HPC value replaced",MA01
19,2018-01-09,"Maintenance QA completed, OK",MA01
#
20,2018-01-02,Engine PM Maintenance Warning,JC01
20,2018-01-04,Engine Matenance Schedule Order Submitted,JC02
20,2018-01-06,Maintenance Started,JC02
20,2018-01-07,Maintenance Completed,JC02
20,2018-01-07,"Maintenance QA failed, retest",MA01
20,2018-01-08,"Maintenance QA HPC value replaced",MA01
20,2018-01-09,"Maintenance QA completed, OK",MA01
#
21,2018-01-02,Engine PM Maintenance Warning,JC01
21,2018-01-04,Engine Matenance Schedule Order Submitted,JC02
21,2018-01-06,Maintenance Started,JC02
21,2018-01-07,Maintenance Completed,JC02
21,2018-01-07,"Maintenance QA failed, retest",MA01
21,2018-01-08,"Maintenance QA HPC value replaced",MA01
21,2018-01-09,"Maintenance QA completed, OK",MA01
#
22,2018-01-02,Engine PM Maintenance Warning,JC01
22,2018-01-04,Engine Matenance Schedule Order Submitted,JC02
22,2018-01-06,Maintenance Started,JC02
22,2018-01-07,Maintenance Completed,JC02
22,2018-01-07,"Maintenance QA failed, retest",MA01
22,2018-01-08,"Maintenance QA HPC value replaced",MA01
22,2018-01-09,"Maintenance QA completed, OK",MA01
#
23,2018-01-02,Engine PM Maintenance Warning,JC01
23,2018-01-04,Engine Matenance Schedule Order Submitted,JC02
23,2018-01-06,Maintenance Started,JC02
23,2018-01-07,Maintenance Completed,JC02
23,2018-01-07,"Maintenance QA failed, retest",MA01
23,2018-01-08,"Maintenance QA HPC value replaced",MA01
23,2018-01-09,"Maintenance QA completed, OK",MA01
#
24,2018-01-02,Engine PM Maintenance Warning,JC01
24,2018-01-04,Engine Matenance Schedule Order Submitted,JC02
24,2018-01-06,Maintenance Started,JC02
24,2018-01-07,Maintenance Completed,JC02
24,2018-01-07,"Maintenance QA failed, retest",MA01
24,2018-01-08,"Maintenance QA HPC value replaced",MA01
24,2018-01-09,"Maintenance QA completed, OK",MA01
#
25,2018-01-02,Engine PM Maintenance Warning,JC01
25,2018-01-04,Engine Matenance Schedule Order Submitted,JC02
25,2018-01-06,Maintenance Started,JC02
25,2018-01-07,Maintenance Completed,JC02
25,2018-01-07,"Maintenance QA failed, retest",MA01
25,2018-01-08,"Maintenance QA HPC value replaced",MA01
25,2018-01-09,"Maintenance QA completed, OK",MA01
#
26,2018-01-02,Engine PM Maintenance Warning,JC01
26,2018-01-04,Engine Matenance Schedule Order Submitted,JC02
26,2018-01-06,Maintenance Started,JC02
