events_frame_id,unit_no,total_cycle,cycle_percent,current_cycle,pkey
1,39,128,25,32,1-32
2,91,135,72,97,2-97
3,70,137,87,119,3-119
4,57,137,52,71,4-71
5,99,145,65,94,5-94
6,80,147,90,132,6-132
7,58,147,56,82,7-82
8,24,147,50,74,8-74
9,8,150,94,141,9-141
10,100,152,66,100,10-100
11,76,153,40,61,11-61
12,65,153,95,145,12-145
13,90,154,80,123,13-123
14,77,154,52,80,14-80
15,93,155,88,136,15-136
16,91,156,93,145,16-145
17,98,156,47,73,17-73
18,27,156,84,131,18-131
19,92,158,77,122,19-122
20,45,158,28,44,20-44
21,36,158,21,33,21-33
22,19,158,96,152,22-152
23,50,161,70,113,23-113
24,29,163,65,106,24-106
25,13,163,65,106,25-106
26,53,164,82,134,26-134
27,66,165,24,40,27-40
28,28,165,39,64,28-64
29,95,166,89,148,29-148
30,79,166,54,90,30-90
31,74,166,94,156,31-156
32,23,168,28,47,32-47
33,69,170,63,107,33-107
34,12,170,69,117,34-117
35,37,170,94,160,35-160
36,12,170,91,155,36-155
37,93,171,22,38,37-38
38,87,172,52,89,38-89
39,70,172,33,57,39-57
40,60,172,72,124,40-124
41,48,174,22,38,41-38
42,63,174,43,75,42-75
43,58,178,58,103,43-103
44,87,178,72,128,44-128
45,3,179,92,165,45-165
46,44,180,24,43,46-43
47,62,180,93,167,47-167
48,14,180,54,97,48-97
49,90,181,64,116,49-116
50,83,181,29,52,50-52
51,35,181,79,143,51-143
52,31,183,27,49,52-49
53,13,185,85,157,53-157
54,99,185,35,65,54-65
55,80,185,90,167,55-167
56,61,185,61,113,56-113
57,40,188,46,86,57-86
58,85,188,25,47,58-47
59,40,188,41,77,59-77
60,6,188,52,98,60-98
61,32,189,90,170,61-170
62,4,189,60,113,62-113
63,60,190,62,118,63-118
64,51,190,90,171,64-171
65,32,191,65,124,65-124
66,22,192,72,138,66-138
67,44,192,72,138,67-138
68,1,192,36,69,68-69
69,74,193,64,124,69-124
70,42,193,95,183,70-183
71,25,193,60,116,71-116
72,55,193,67,129,72-129
73,54,194,59,114,73-114
74,38,194,69,134,74-134
75,30,194,43,83,75-83
76,64,195,17,33,76-33
77,56,195,30,59,77-59
78,53,195,94,183,78-183
79,34,195,97,189,79-189
80,21,195,93,181,80-181
81,18,195,43,84,81-84
82,23,196,47,92,82-92
83,42,196,38,74,83-74
84,11,197,62,122,84-122
85,50,198,93,184,85-184
86,61,199,23,46,86-46
87,79,199,27,54,87-54
88,68,199,77,153,88-153
89,26,199,50,100,89-100
90,28,200,77,154,90-154
91,100,200,59,118,91-118
92,33,200,47,94,92-94
93,68,201,30,60,93-60
94,38,201,89,179,94-179
95,9,201,18,36,95-36
96,15,202,41,83,96-83
97,97,202,58,117,97-117
98,66,202,87,176,98-176
99,22,202,61,123,99-123
100,46,204,53,108,100-108
101,45,205,81,166,101-166
102,89,207,34,70,102-70
103,14,207,65,135,103-135
104,43,207,15,31,104-31
105,15,207,85,176,105-176
106,71,208,56,116,106-116
107,16,209,31,65,107-65
108,76,210,28,59,108-59
109,5,213,65,138,109-138
110,88,213,56,119,110-119
111,73,213,42,89,111-89
112,72,213,93,198,112-198
113,52,213,89,190,113-190
114,51,213,57,121,114-121
115,82,214,74,158,115-158
116,47,214,67,143,116-143
117,73,215,69,148,117-148
118,57,215,58,125,118-125
119,49,215,67,144,119-144
120,41,216,86,186,120-186
121,89,217,96,208,121-208
122,30,218,93,203,122-203
123,21,220,41,90,123-90
124,78,221,17,38,124-38
125,52,222,78,173,125-173
126,3,222,47,104,126-104
127,10,222,84,186,127-186
128,29,223,65,145,128-145
129,84,226,45,102,129-102
130,19,229,60,137,130-137
131,75,229,92,211,131-211
132,25,230,70,161,132-161
133,63,231,75,173,133-173
134,35,231,51,118,134-118
135,33,231,65,150,135-150
136,78,231,16,37,136-37
137,59,231,71,164,137-164
138,48,231,64,148,138-148
139,72,232,42,97,139-97
140,65,234,18,42,140-42
141,31,234,84,197,141-197
142,20,234,58,136,142-136
143,81,240,77,185,143-185
144,11,240,66,158,144-158
145,26,243,88,214,145-214
146,62,246,61,150,146-150
147,2,253,76,192,147-192
148,77,255,47,120,148-120
149,49,256,18,46,149-46
150,46,256,84,215,150-215
151,54,257,51,131,151-131
152,94,258,80,206,152-206
153,75,259,28,73,153-73
154,1,259,61,158,154-158
155,7,259,51,132,155-132
156,67,263,66,174,156-174
157,85,266,65,173,157-173
158,8,267,47,125,158-125
159,84,267,75,200,159-200
160,47,269,51,137,160-137
161,5,269,87,234,161-234
162,4,272,79,215,162-215
163,97,275,27,74,163-74
164,56,275,64,176,164-176
165,17,276,97,268,165-268
166,6,278,87,242,166-242
167,86,278,35,97,167-97
168,95,283,30,85,168-85
169,64,283,39,110,169-110
170,82,285,51,145,170-145
171,2,287,88,253,171-253
172,39,288,21,60,172-60
173,83,293,79,231,173-231
174,41,295,28,83,174-83
175,59,299,63,188,175-188
176,98,307,17,52,176-52
177,17,312,82,256,177-256
178,67,313,40,125,178-125
179,27,320,72,230,179-230
180,43,321,88,282,180-282
181,88,322,55,177,181-177
182,37,324,22,71,182-71
183,36,324,94,305,183-305
184,96,336,85,286,184-286
185,20,338,59,199,185-199
186,86,341,49,167,186-167
187,92,341,34,116,187-116
188,16,344,73,251,188-251
189,81,347,49,170,189-170
190,69,362,53,192,190-192
191,94,392,61,239,191-239
192,9,406,62,252,192-252
193,71,409,46,188,193-188
194,7,424,83,352,194-352
195,18,447,94,420,195-420
196,34,459,59,271,196-271
197,10,481,76,366,197-366
198,96,491,38,187,198-187
199,24,494,81,400,199-400
200,55,525,87,457,200-457
