control_dod_guidance,control,control_dod_weight
,AC.L1-3.1.1,5
,AC.L1-3.1.2,5
,AC.L2-3.1.3,1
,AC.L2-3.1.4,1
,AC.L2-3.1.5,3
,AC.L2-3.1.6,1
,AC.L2-3.1.7,1
,AC.L2-3.1.8,1
,AC.L2-3.1.9,1
,AC.L2-3.1.10,1
,AC.L2-3.1.11,1
Do not subtract points if remote access not permitted,AC.L2-3.1.12,5
Do not subtract points if remote access not permitted,AC.L2-3.1.13,5
,AC.L2-3.1.14,1
,AC.L2-3.1.15,1
Do not subtract points if wireless access not permitted,AC.L2-3.1.16,5
Do not subtract points if wireless access not permitted,AC.L2-3.1.17,5
Do not subtract points if connection of mobile devices is not permitted,AC.L2-3.1.18,5
Exposure limited to CUI on mobile platform,AC.L2-3.1.19,3
,AC.L1-3.1.20,1
,AC.L2-3.1.21,1
,AC.L1-3.1.22,1
,AT.L2-3.2.1,5
,AT.L2-3.2.2,5
,AT.L2-3.2.3,1
,AU.L2-3.3.1,5
,AU.L2-3.3.2,3
,AU.L2-3.3.3,1
,AU.L2-3.3.4,1
,AU.L2-3.3.5,5
,AU.L2-3.3.6,1
,AU.L2-3.3.7,1
,AU.L2-3.3.8,1
,AU.L2-3.3.9,1
,CM.L2-3.4.1,5
,CM.L2-3.4.2,5
,CM.L2-3.4.3,1
,CM.L2-3.4.4,1
,CM.L2-3.4.5,5
,CM.L2-3.4.6,5
,CM.L2-3.4.7,5
,CM.L2-3.4.8,5
,CM.L2-3.4.9,1
,IA.L1-3.5.1,5
,IA.L1-3.5.2,5
"Subtract 5 points if MFA not implemented. Subtract 3 points if implemented for remote and privileged users, but not the general user",IA.L2-3.5.3,5
,IA.L2-3.5.4,1
,IA.L2-3.5.5,1
,IA.L2-3.5.6,1
,IA.L2-3.5.7,1
,IA.L2-3.5.8,1
,IA.L2-3.5.9,1
"Encrypted representations of passwords include, for example, encrypted versions of passwords and one-way cryptographic hashes of passwords",IA.L2-3.5.10,5
,IA.L2-3.5.11,1
,IR.L2-3.6.1,5
,IR.L2-3.6.2,5
,IR.L2-3.6.3,1
,MA.L2-3.7.1,3
,MA.L2-3.7.2,5
,MA.L2-3.7.3,1
,MA.L2-3.7.4,3
,MA.L2-3.7.5,5
,MA.L2-3.7.6,1
Exposure limited to CUI on media,MP.L2-3.8.1,3
Exposure limited to CUI on media,MP.L2-3.8.2,3
"While exposure limited to CUI on media, failure to sanitize can result in continual exposure of CUI",MP.L1-3.8.3,5
,MP.L2-3.8.4,1
,MP.L2-3.8.5,1
,MP.L2-3.8.6,1
,MP.L2-3.8.7,5
,MP.L2-3.8.8,3
,MP.L2-3.8.9,1
,PS.L2-3.9.1,3
,PS.L2-3.9.2,5
,PE.L1-3.10.1,5
,PE.L2-3.10.2,5
,PE.L1-3.10.3,1
,PE.L1-3.10.4,1
,PE.L1-3.10.5,1
,PE.L2-3.10.6,1
,RA.L2-3.11.1,3
,RA.L2-3.11.2,5
,RA.L2-3.11.3,1
,CA.L2-3.12.1,5
,CA.L2-3.12.2,3
,CA.L2-3.12.3,5
"The absence of a system security plan would result in a finding that ‘an assessment could not be completed due to incomplete information and noncompliance with
DFARS clause 252.204-7012.’",CA.L2-3.12.4,N/A
,SC.L1-3.13.1,5
,SC.L2-3.13.2,5
,SC.L2-3.13.3,1
,SC.L2-3.13.4,1
,SC.L1-3.13.5,5
,SC.L2-3.13.6,5
,SC.L2-3.13.7,1
,SC.L2-3.13.8,3
,SC.L2-3.13.9,1
,SC.L2-3.13.10,1
"Subtract 5 points if no cryptography is employed; 3 points if mostly not FIPS
validated",SC.L2-3.13.11,5
,SC.L2-3.13.12,1
,SC.L2-3.13.13,1
,SC.L2-3.13.14,1
,SC.L2-3.13.15,5
,SC.L2-3.13.16,1
,SI.L1-3.14.1,5
,SI.L1-3.14.2,5
,SI.L2-3.14.3,5
,SI.L1-3.14.4,5
,SI.L1-3.14.5,3
,SI.L2-3.14.6,5
,SI.L2-3.14.7,3
