"Earliest_Time",host,source
1534476993,"127.0.0.1",ActiveDirectory
1621462902,"127.0.0.1","Perfmon:CPU"
1621462865,"127.0.0.1","Perfmon:LogicalDisk"
1621462864,"127.0.0.1","Perfmon:Memory"
1621462891,"127.0.0.1","Perfmon:Network"
1621425086,"127.0.0.1","Perfmon:Process"
1621425078,"127.0.0.1","Perfmon:ProcessorInformation"
1621425072,"127.0.0.1","Perfmon:System"
1621425057,"127.0.0.1","PerfmonMk:CPU"
1621425058,"127.0.0.1","PerfmonMk:LogicalDisk"
1621425076,"127.0.0.1","PerfmonMk:Memory"
1621425072,"127.0.0.1","PerfmonMk:Network"
1621425088,"127.0.0.1","PerfmonMk:PhysicalDisk"
1621425073,"127.0.0.1","PerfmonMk:Process"
1621425087,"127.0.0.1","PerfmonMk:ProcessorInformation"
1621425080,"127.0.0.1","PerfmonMk:System"
1610029136,"127.0.0.1","Script:InstalledApps"
1621462872,"127.0.0.1","Script:ListeningPorts"
1621463155,"127.0.0.1","Script:NetworkConfiguration"
1621463155,"127.0.0.1","Script:TimesyncConfiguration"
1621463155,"127.0.0.1","Script:TimesyncStatus"
1621462862,"127.0.0.1","WMI:CPUTime"
1621462879,"127.0.0.1","WMI:FreeDiskSpace"
1621462868,"127.0.0.1","WMI:LocalNetwork"
1621462862,"127.0.0.1","WMI:LocalPhysicalDisk"
1621462860,"127.0.0.1","WMI:LogicalDisk"
1621462862,"127.0.0.1","WMI:Memory"
1621463046,"ACME-001","WMI:WinEventLog:Application"
1621462898,"ACME-002","WMI:WinEventLog:Application"
1621462948,"ACME-003","WMI:WinEventLog:Application"
1621462912,"ACME-004","WMI:WinEventLog:Application"
1621463105,"ACME-005","WMI:WinEventLog:Application"
1621463007,"ACME-006","WMI:WinEventLog:Application"
1621462982,"BUSDEV-001","WMI:WinEventLog:Application"
1621463012,"BUSDEV-002","WMI:WinEventLog:Application"
1621463114,"BUSDEV-003","WMI:WinEventLog:Application"
1621462930,"BUSDEV-004","WMI:WinEventLog:Application"
1621462974,"BUSDEV-005","WMI:WinEventLog:Application"
1621463000,"BUSDEV-006","WMI:WinEventLog:Application"
1621462977,"BUSDEV-007","WMI:WinEventLog:Application"
1621462996,"BUSDEV-008","WMI:WinEventLog:Application"
1621463011,"COREDEV-001","WMI:WinEventLog:Application"
1621463182,"COREDEV-002","WMI:WinEventLog:Application"
1621462947,"COREDEV-003","WMI:WinEventLog:Application"
1621462959,"COREDEV-004","WMI:WinEventLog:Application"
1621462975,"COREDEV-005","WMI:WinEventLog:Application"
1621462975,"COREDEV-006","WMI:WinEventLog:Application"
1621462951,"HOST-001","WMI:WinEventLog:Application"
1621463148,"HOST-002","WMI:WinEventLog:Application"
1621463051,"HOST-003","WMI:WinEventLog:Application"
1621462941,"HOST-004","WMI:WinEventLog:Application"
1621463070,"HOST-005","WMI:WinEventLog:Application"
1621462947,"HOST-006","WMI:WinEventLog:Application"
1621463098,"PROD-MFS-001","WMI:WinEventLog:Application"
1621462906,"PROD-MFS-002","WMI:WinEventLog:Application"
1621462882,"PROD-MFS-003","WMI:WinEventLog:Application"
1621463039,"PROD-MFS-004","WMI:WinEventLog:Application"
1621462911,"PROD-MFS-005","WMI:WinEventLog:Application"
1621463293,"PROD-MFS-006","WMI:WinEventLog:Application"
1621462958,"PROD-POS-001","WMI:WinEventLog:Application"
1621462943,"PROD-POS-002","WMI:WinEventLog:Application"
1621463108,"PROD-POS-003","WMI:WinEventLog:Application"
1621463006,"PROD-POS-004","WMI:WinEventLog:Application"
1621463110,"PROD-POS-005","WMI:WinEventLog:Application"
1621463006,"PROD-POS-006","WMI:WinEventLog:Application"
1621462994,"SE-001","WMI:WinEventLog:Application"
1621463009,"SE-002","WMI:WinEventLog:Application"
1621463059,"SE-003","WMI:WinEventLog:Application"
1621462916,"SE-004","WMI:WinEventLog:Application"
1621463009,"SE-005","WMI:WinEventLog:Application"
1621463034,"SE-006","WMI:WinEventLog:Application"
1621462993,"ops-sys-001","WMI:WinEventLog:Application"
1621462952,"ops-sys-002","WMI:WinEventLog:Application"
1621463004,"ops-sys-003","WMI:WinEventLog:Application"
1621463181,"ops-sys-004","WMI:WinEventLog:Application"
1621462863,"ops-sys-005","WMI:WinEventLog:Application"
1621463042,"ops-sys-006","WMI:WinEventLog:Application"
1621463120,"ACME-001","WMI:WinEventLog:Security"
1621462958,"ACME-002","WMI:WinEventLog:Security"
1621463015,"ACME-003","WMI:WinEventLog:Security"
1621462989,"ACME-004","WMI:WinEventLog:Security"
1621463082,"ACME-005","WMI:WinEventLog:Security"
1621463083,"ACME-006","WMI:WinEventLog:Security"
1621463105,"BUSDEV-001","WMI:WinEventLog:Security"
1621462988,"BUSDEV-002","WMI:WinEventLog:Security"
1621462887,"BUSDEV-003","WMI:WinEventLog:Security"
1621463097,"BUSDEV-004","WMI:WinEventLog:Security"
1621462997,"BUSDEV-005","WMI:WinEventLog:Security"
1621463008,"BUSDEV-006","WMI:WinEventLog:Security"
1621462895,"BUSDEV-007","WMI:WinEventLog:Security"
1621462987,"BUSDEV-008","WMI:WinEventLog:Security"
1621463035,"COREDEV-001","WMI:WinEventLog:Security"
1621462892,"COREDEV-002","WMI:WinEventLog:Security"
1621462949,"COREDEV-003","WMI:WinEventLog:Security"
1621463127,"COREDEV-004","WMI:WinEventLog:Security"
1621463020,"COREDEV-005","WMI:WinEventLog:Security"
1621463040,"COREDEV-006","WMI:WinEventLog:Security"
1621463086,"HOST-001","WMI:WinEventLog:Security"
1621463044,"HOST-002","WMI:WinEventLog:Security"
1621463016,"HOST-003","WMI:WinEventLog:Security"
1621462970,"HOST-004","WMI:WinEventLog:Security"
1621463169,"HOST-005","WMI:WinEventLog:Security"
1621463007,"HOST-006","WMI:WinEventLog:Security"
1621463155,"PROD-MFS-001","WMI:WinEventLog:Security"
1621462999,"PROD-MFS-002","WMI:WinEventLog:Security"
1621462868,"PROD-MFS-003","WMI:WinEventLog:Security"
1621463038,"PROD-MFS-004","WMI:WinEventLog:Security"
1621462955,"PROD-MFS-005","WMI:WinEventLog:Security"
1621462905,"PROD-MFS-006","WMI:WinEventLog:Security"
1621463066,"PROD-POS-001","WMI:WinEventLog:Security"
1621463024,"PROD-POS-002","WMI:WinEventLog:Security"
1621462921,"PROD-POS-003","WMI:WinEventLog:Security"
1621463015,"PROD-POS-004","WMI:WinEventLog:Security"
1621463058,"PROD-POS-005","WMI:WinEventLog:Security"
1621463051,"PROD-POS-006","WMI:WinEventLog:Security"
1621462988,"SE-001","WMI:WinEventLog:Security"
1621463076,"SE-002","WMI:WinEventLog:Security"
1621463100,"SE-003","WMI:WinEventLog:Security"
1621462947,"SE-004","WMI:WinEventLog:Security"
1621462981,"SE-005","WMI:WinEventLog:Security"
1621462911,"SE-006","WMI:WinEventLog:Security"
1621462997,"ops-sys-001","WMI:WinEventLog:Security"
1621463050,"ops-sys-002","WMI:WinEventLog:Security"
1621463057,"ops-sys-003","WMI:WinEventLog:Security"
1621462994,"ops-sys-004","WMI:WinEventLog:Security"
1621463041,"ops-sys-005","WMI:WinEventLog:Security"
1621462940,"ops-sys-006","WMI:WinEventLog:Security"
1621462857,"##ComputerName## ","WMI:WinEventLog:System"
1520329259,"127.0.0.1","WinEventLog:Application"
1621462856,"127.0.0.1","WinEventLog:Security"
1521725948,"127.0.0.1","WinEventLog:System"
1522322256,"127.0.0.1","WinEventLog:System:IAS"
1621462885,"127.0.0.1",WinRegistry
1621462855,"127.0.0.1","XmlWinEventLog:Application"
1621462895,"127.0.0.1","XmlWinEventLog:Security"
1611707072,"instance.company.com",audittrail
1621380906,"instance.company.com",audittrail
1628198342,"ip-172-31-6-148",audittrail
1627496734,"ip-172-31-6-74",audittrail
1621429681,"127.0.0.1","eventgen:bit9_cbs_json_sample"
1510832324,"127.0.0.1","eventgen:opsec.samples"
1510832324,"127.0.0.1","eventgen:opsec_anti_malware.samples"
1510832324,"127.0.0.1","eventgen:opsec_anti_virus.samples"
1510832324,"127.0.0.1","eventgen:opsec_audit.samples"
1510832324,"127.0.0.1","eventgen:opsec_smartdefense.samples"
1510832324,"127.0.0.1","eventgen:opsec_threat_emulation.samples"
1510832324,"127.0.0.1","eventgen:opsec_vpn.samples"
1621377219,"127.0.0.1",fschangemonitor
1621464105,"127.0.0.1","http_log.6.5.bluecoat"
1621464221,"127.0.0.1","http_log.bluecoat"
1621464078,"127.0.0.1","http_log.large.bluecoat"
1621462606,"127.0.0.1","iis.sample"
1621028881,"$decideOnStartup","jde_server_monitor://splunk"
1621380923,"instance.company.com","jde_server_monitor://splunk"
1621459603,"127.0.0.1","mcafee_ids.sample"
1621463155,"127.0.0.1","nessus.samples"
1621459592,"127.0.0.1","nessus7_plugin.samples"
1621459687,"127.0.0.1","nessus7_scan.samples"
1621463155,"127.0.0.1","nessus_report_v1.samples"
1621463155,"127.0.0.1","nessus_report_v2.samples"
1621463155,"127.0.0.1","nessus_singlehost.samples"
1621459672,"127.0.0.1","plugin.samples"
1621348271,"127.0.0.1","samplelog.cisco.ios"
1621459622,"127.0.0.1","scan.samples"
1600442684,"127.0.0.1","syslog_6.5.bluecoat"
1621460293,"127.0.0.1","tenable_sc_vuln.samples"
