cui_system_splunk_id,authorized,computer_name,dest_category,fips_validated,full_disk_encryption,src_category,type,user
default_system,true,EJVY,mobile,true,true,mobile,tablet,jsmith14
default_system,true,ESQC,mobile,true,true,mobile,phone,lterry1
default_system,true,PFAQ,mobile,true,true,mobile,tablet,xfang
default_system,true,XLMM,mobile,true,true,mobile,tablet,sgreggs3
default_system,true,YWINF,mobile,true,true,mobile,phone,tnixon23
default_system,true,ZXUAA,mobile,true,true,mobile,tablet,tronald5
default_system,true,AA-8FZAULKJ,mobile,true,true,mobile,tablet,sgreggs
default_system,true,BF-0E8A15F3,mobile,true,true,mobile,tablet,hmcmasters
default_system,true,BV-C3NGWCZH,mobile,true,true,mobile,phone,nsteele1
default_system,true,CI-XYNOSDAR,mobile,true,true,mobile,tablet,smint3
default_system,true,DA-CAYKC9I3,mobile,true,true,mobile,phone,dreeves14
default_system,true,DP-K2U54WVY,mobile,true,true,mobile,tablet,skey
default_system,true,EA-W9WGMV4F,mobile,true,true,mobile,phone,smilley32
default_system,true,ER-Q7TVUDUN,mobile,true,true,mobile,tablet,gkent
default_system,true,FE-7AQOTSSV,mobile,true,true,mobile,tablet,ntrevor
default_system,true,FT-HFNZ6BN4,mobile,true,true,mobile,tablet,vnassir2
default_system,true,GV-8WTBTMA1,mobile,true,true,mobile,phone,nmitchell17
