codepoints,emoji,group,name,"sub_group"
1F600,"😀","Smileys & Emotion","grinning face","face-smiling"
1F603,"😃","Smileys & Emotion","grinning face with big eyes","face-smiling"
1F604,"😄","Smileys & Emotion","grinning face with smiling eyes","face-smiling"
1F601,"😁","Smileys & Emotion","beaming face with smiling eyes","face-smiling"
1F606,"😆","Smileys & Emotion","grinning squinting face","face-smiling"
1F605,"😅","Smileys & Emotion","grinning face with sweat","face-smiling"
1F923,"🤣","Smileys & Emotion","rolling on the floor laughing","face-smiling"
1F602,"😂","Smileys & Emotion","face with tears of joy","face-smiling"
1F642,"🙂","Smileys & Emotion","slightly smiling face","face-smiling"
1F643,"🙃","Smileys & Emotion","upside-down face","face-smiling"
1F609,"😉","Smileys & Emotion","winking face","face-smiling"
1F60A,"😊","Smileys & Emotion","smiling face with smiling eyes","face-smiling"
1F607,"😇","Smileys & Emotion","smiling face with halo","face-smiling"
1F970,"🥰","Smileys & Emotion","smiling face with hearts","face-affection"
1F60D,"😍","Smileys & Emotion","smiling face with heart-eyes","face-affection"
1F929,"🤩","Smileys & Emotion","star-struck","face-affection"
1F618,"😘","Smileys & Emotion","face blowing a kiss","face-affection"
1F617,"😗","Smileys & Emotion","kissing face","face-affection"
"263A FE0F","☺️","Smileys & Emotion","smiling face","face-affection"
263A,"☺","Smileys & Emotion","smiling face","face-affection"
1F61A,"😚","Smileys & Emotion","kissing face with closed eyes","face-affection"
1F619,"😙","Smileys & Emotion","kissing face with smiling eyes","face-affection"
1F972,"🥲","Smileys & Emotion","smiling face with tear","face-affection"
1F60B,"😋","Smileys & Emotion","face savoring food","face-tongue"
1F61B,"😛","Smileys & Emotion","face with tongue","face-tongue"
1F61C,"😜","Smileys & Emotion","winking face with tongue","face-tongue"
1F92A,"🤪","Smileys & Emotion","zany face","face-tongue"
1F61D,"😝","Smileys & Emotion","squinting face with tongue","face-tongue"
1F911,"🤑","Smileys & Emotion","money-mouth face","face-tongue"
1F917,"🤗","Smileys & Emotion","hugging face","face-hand"
1F92D,"🤭","Smileys & Emotion","face with hand over mouth","face-hand"
1F92B,"🤫","Smileys & Emotion","shushing face","face-hand"
1F914,"🤔","Smileys & Emotion","thinking face","face-hand"
1F910,"🤐","Smileys & Emotion","zipper-mouth face","face-neutral-skeptical"
1F928,"🤨","Smileys & Emotion","face with raised eyebrow","face-neutral-skeptical"
1F610,"😐","Smileys & Emotion","neutral face","face-neutral-skeptical"
1F611,"😑","Smileys & Emotion","expressionless face","face-neutral-skeptical"
1F636,"😶","Smileys & Emotion","face without mouth","face-neutral-skeptical"
"1F636 200D 1F32B FE0F","😶‍🌫️","Smileys & Emotion","face in clouds","face-neutral-skeptical"
"1F636 200D 1F32B","😶‍🌫","Smileys & Emotion","face in clouds","face-neutral-skeptical"
1F60F,"😏","Smileys & Emotion","smirking face","face-neutral-skeptical"
1F612,"😒","Smileys & Emotion","unamused face","face-neutral-skeptical"
1F644,"🙄","Smileys & Emotion","face with rolling eyes","face-neutral-skeptical"
1F62C,"😬","Smileys & Emotion","grimacing face","face-neutral-skeptical"
"1F62E 200D 1F4A8","😮‍💨","Smileys & Emotion","face exhaling","face-neutral-skeptical"
1F925,"🤥","Smileys & Emotion","lying face","face-neutral-skeptical"
1F60C,"😌","Smileys & Emotion","relieved face","face-sleepy"
1F614,"😔","Smileys & Emotion","pensive face","face-sleepy"
1F62A,"😪","Smileys & Emotion","sleepy face","face-sleepy"
1F924,"🤤","Smileys & Emotion","drooling face","face-sleepy"
1F634,"😴","Smileys & Emotion","sleeping face","face-sleepy"
1F637,"😷","Smileys & Emotion","face with medical mask","face-unwell"
1F912,"🤒","Smileys & Emotion","face with thermometer","face-unwell"
1F915,"🤕","Smileys & Emotion","face with head-bandage","face-unwell"
1F922,"🤢","Smileys & Emotion","nauseated face","face-unwell"
1F92E,"🤮","Smileys & Emotion","face vomiting","face-unwell"
1F927,"🤧","Smileys & Emotion","sneezing face","face-unwell"
1F975,"🥵","Smileys & Emotion","hot face","face-unwell"
1F976,"🥶","Smileys & Emotion","cold face","face-unwell"
1F974,"🥴","Smileys & Emotion","woozy face","face-unwell"
1F635,"😵","Smileys & Emotion","knocked-out face","face-unwell"
"1F635 200D 1F4AB","😵‍💫","Smileys & Emotion","face with spiral eyes","face-unwell"
1F92F,"🤯","Smileys & Emotion","exploding head","face-unwell"
1F920,"🤠","Smileys & Emotion","cowboy hat face","face-hat"
1F973,"🥳","Smileys & Emotion","partying face","face-hat"
1F978,"🥸","Smileys & Emotion","disguised face","face-hat"
1F60E,"😎","Smileys & Emotion","smiling face with sunglasses","face-glasses"
1F913,"🤓","Smileys & Emotion","nerd face","face-glasses"
1F9D0,"🧐","Smileys & Emotion","face with monocle","face-glasses"
1F615,"😕","Smileys & Emotion","confused face","face-concerned"
1F61F,"😟","Smileys & Emotion","worried face","face-concerned"
1F641,"🙁","Smileys & Emotion","slightly frowning face","face-concerned"
"2639 FE0F","☹️","Smileys & Emotion","frowning face","face-concerned"
2639,"☹","Smileys & Emotion","frowning face","face-concerned"
1F62E,"😮","Smileys & Emotion","face with open mouth","face-concerned"
1F62F,"😯","Smileys & Emotion","hushed face","face-concerned"
1F632,"😲","Smileys & Emotion","astonished face","face-concerned"
1F633,"😳","Smileys & Emotion","flushed face","face-concerned"
1F97A,"🥺","Smileys & Emotion","pleading face","face-concerned"
1F626,"😦","Smileys & Emotion","frowning face with open mouth","face-concerned"
1F627,"😧","Smileys & Emotion","anguished face","face-concerned"
1F628,"😨","Smileys & Emotion","fearful face","face-concerned"
1F630,"😰","Smileys & Emotion","anxious face with sweat","face-concerned"
1F625,"😥","Smileys & Emotion","sad but relieved face","face-concerned"
1F622,"😢","Smileys & Emotion","crying face","face-concerned"
1F62D,"😭","Smileys & Emotion","loudly crying face","face-concerned"
1F631,"😱","Smileys & Emotion","face screaming in fear","face-concerned"
1F616,"😖","Smileys & Emotion","confounded face","face-concerned"
1F623,"😣","Smileys & Emotion","persevering face","face-concerned"
1F61E,"😞","Smileys & Emotion","disappointed face","face-concerned"
1F613,"😓","Smileys & Emotion","downcast face with sweat","face-concerned"
1F629,"😩","Smileys & Emotion","weary face","face-concerned"
1F62B,"😫","Smileys & Emotion","tired face","face-concerned"
1F971,"🥱","Smileys & Emotion","yawning face","face-concerned"
1F624,"😤","Smileys & Emotion","face with steam from nose","face-negative"
1F621,"😡","Smileys & Emotion","pouting face","face-negative"
1F620,"😠","Smileys & Emotion","angry face","face-negative"
1F92C,"🤬","Smileys & Emotion","face with symbols on mouth","face-negative"
1F608,"😈","Smileys & Emotion","smiling face with horns","face-negative"
1F47F,"👿","Smileys & Emotion","angry face with horns","face-negative"
1F480,"💀","Smileys & Emotion",skull,"face-negative"
"2620 FE0F","☠️","Smileys & Emotion","skull and crossbones","face-negative"
2620,"☠","Smileys & Emotion","skull and crossbones","face-negative"
1F4A9,"💩","Smileys & Emotion","pile of poo","face-costume"
1F921,"🤡","Smileys & Emotion","clown face","face-costume"
1F479,"👹","Smileys & Emotion",ogre,"face-costume"
1F47A,"👺","Smileys & Emotion",goblin,"face-costume"
1F47B,"👻","Smileys & Emotion",ghost,"face-costume"
1F47D,"👽","Smileys & Emotion",alien,"face-costume"
1F47E,"👾","Smileys & Emotion","alien monster","face-costume"
1F916,"🤖","Smileys & Emotion",robot,"face-costume"
1F63A,"😺","Smileys & Emotion","grinning cat","cat-face"
1F638,"😸","Smileys & Emotion","grinning cat with smiling eyes","cat-face"
1F639,"😹","Smileys & Emotion","cat with tears of joy","cat-face"
1F63B,"😻","Smileys & Emotion","smiling cat with heart-eyes","cat-face"
1F63C,"😼","Smileys & Emotion","cat with wry smile","cat-face"
1F63D,"😽","Smileys & Emotion","kissing cat","cat-face"
1F640,"🙀","Smileys & Emotion","weary cat","cat-face"
1F63F,"😿","Smileys & Emotion","crying cat","cat-face"
1F63E,"😾","Smileys & Emotion","pouting cat","cat-face"
1F648,"🙈","Smileys & Emotion","see-no-evil monkey","monkey-face"
1F649,"🙉","Smileys & Emotion","hear-no-evil monkey","monkey-face"
1F64A,"🙊","Smileys & Emotion","speak-no-evil monkey","monkey-face"
1F48B,"💋","Smileys & Emotion","kiss mark",emotion
1F48C,"💌","Smileys & Emotion","love letter",emotion
