provider,region,region_name,physical_location,location_accuracy,latitude,longitude,country_code,country_name,geography
AWS,us-east-1,US East (N. Virginia),Virginia,accurate,38.99,-77.45,US,United States,North America
AWS,us-east-2,US East (Ohio),Ohio,accurate,40.09,-82.75,US,United States,North America
AWS,us-west-1,US West (N. California),California,accurate,37.44,-122.15,US,United States,North America
AWS,us-west-2,US West (Oregon),Oregon,accurate,45.92,-119.27,US,United States,North America
AWS,eu-west-1,EU (Ireland),Ireland,accurate,53.41,-6.22,IE,Ireland,Europe
AWS,eu-west-2,EU (London),London,accurate,51.51,-0.06,GB,United Kingdom,Europe
AWS,eu-west-3,EU (Paris),Paris,accurate,48.6,2.3,FR,France,Europe
AWS,eu-central-1,EU (Frankfurt),Frankfurt,accurate,50.1,8.63,DE,Germany,Europe
AWS,sa-east-1,South America (São Paulo),São Paulo,accurate,-23.49,-46.81,BR,Brazil,South America
AWS,ap-southeast-1,Asia Pacific (Singapore),Singapore,accurate,1.32,103.69,SG,Singapore,Asia Pacific
AWS,ap-southeast-2,Asia Pacific (Sydney),Sydney,accurate,-33.91,151.19,AU,Australia,Asia Pacific
AWS,ap-northeast-1,Asia Pacific (Tokyo),Tokyo,accurate,35.62,139.75,JP,Japan,Asia Pacific
AWS,ap-northeast-2,Asia Pacific (Seoul),Seoul,accurate,37.56,126.87,KR,South Korea,Asia Pacific
AWS,ap-northeast-3,Asia Pacific (Osaka),Osaka,approximate,35,135.97,JP,Japan,Asia Pacific
AWS,ap-south-1,Asia Pacific (Mumbai),Mumbai,accurate,19.24,72.97,IN,India,Asia Pacific
AWS,ca-central-1,Canada (Central),Canada Central,accurate,45.5,-73.6,CA,Canada,North America
AWS,af-south-1,Africa (Cape Town),Cape Town,accurate,-33.91,18.38,ZA,South Africa,Africa
AWS,eu-north-1,EU (Stockholm),Stockholm,accurate,59.33,17.84,SE,Sweden,Europe
AWS,eu-south-1,EU (Milan),Milan,accurate,45.46,9.11,IT,Italy,Europe
AWS,me-south-1,Middle East (Bahrain),Bahrain,accurate,25.94,50.31,BH,Bahrain,Middle East
AWS,ap-east-1,Asia Pacific (Hong Kong),Hong Kong,accurate,22.29,114.27,HK,Hong Kong,Asia Pacific
AWS,cn-north-1,China (Beijing),Beijing,accurate,39.81,116.58,CN,China,Asia Pacific
AWS,cn-northwest-1,China (Ningxia),Ningxia,accurate,37.5,105.16,CN,China,Asia Pacific
AZURE,chinaeast,China East,Shanghai,approximate,31.23,121.47,CN,China,Asia Pacific
