direction_id,device_interface_type,message_protocol_type_code,message_name,source_host_node_type,destination_host_node_type,direction_name,subscriber_id,cell_latitude,cell_longitude,response_code,controlplane_transaction_status_name,response_description
0.0,N3,SIP_RGISTR,REGISTER,GNODEB,UPF,UNKNOWN,302310676861375.0,37.3694,-121.966,0.0,SUCCESS,SUCCESS
0.0,Gm,SIP_RGISTR,REGISTER,UPF,P-CSCF,UNKNOWN,302310676861375.0,37.3694,-121.966,0.0,SUCCESS,SUCCESS
0.0,Mw,SIP_RGISTR,REGISTER,P-CSCF,I-CSCF,UNKNOWN,302310676861375.0,37.3694,-121.966,404.0,ERROR,Not Found
0.0,N3,SIP_RGISTR,REGISTER,GNODEB,UPF,UNKNOWN,302310668323499.0,17.385,78.4867,0.0,SUCCESS,SUCCESS
0.0,Gm,SIP_RGISTR,REGISTER,UPF,P-CSCF,UNKNOWN,302310668323499.0,17.385,78.4867,0.0,SUCCESS,SUCCESS
0.0,Mw,SIP_RGISTR,REGISTER,P-CSCF,I-CSCF,UNKNOWN,302310668323499.0,17.385,78.4867,0.0,SUCCESS,SUCCESS
0.0,Cx,SIP_RGISTR,REGISTER,I-CSCF,UDM,UNKNOWN,302310668323499.0,17.385,78.4867,0.0,SUCCESS,SUCCESS
0.0,N3,SIP_RGISTR,REGISTER,GNODEB,UPF,UNKNOWN,302310407853977.0,30.2474,-97.8884,0.0,SUCCESS,SUCCESS
0.0,Gm,SIP_RGISTR,REGISTER,UPF,P-CSCF,UNKNOWN,302310407853977.0,30.2474,-97.8884,0.0,SUCCESS,SUCCESS
0.0,Mw,SIP_RGISTR,REGISTER,P-CSCF,I-CSCF,UNKNOWN,302310407853977.0,30.2474,-97.8884,0.0,SUCCESS,SUCCESS
0.0,Cx,SIP_RGISTR,REGISTER,I-CSCF,UDM,UNKNOWN,302310407853977.0,30.2474,-97.8884,0.0,SUCCESS,SUCCESS
0.0,N3,SIP_RGISTR,REGISTER,GNODEB,UPF,UNKNOWN,302310151973313.0,25.6508,-100.29,0.0,SUCCESS,SUCCESS
0.0,Gm,SIP_RGISTR,REGISTER,UPF,P-CSCF,UNKNOWN,302310151973313.0,25.6508,-100.29,0.0,SUCCESS,SUCCESS
0.0,Mw,SIP_RGISTR,REGISTER,P-CSCF,I-CSCF,UNKNOWN,302310151973313.0,25.6508,-100.29,0.0,SUCCESS,SUCCESS
0.0,Cx,SIP_RGISTR,REGISTER,I-CSCF,UDM,UNKNOWN,302310151973313.0,25.6508,-100.29,0.0,SUCCESS,SUCCESS
0.0,N3,SIP_RGISTR,REGISTER,GNODEB,UPF,UNKNOWN,302310337275348.0,32.9042,-117.199,0.0,SUCCESS,SUCCESS
0.0,Gm,SIP_RGISTR,REGISTER,UPF,P-CSCF,UNKNOWN,302310337275348.0,32.9042,-117.199,0.0,SUCCESS,SUCCESS
0.0,Mw,SIP_RGISTR,REGISTER,P-CSCF,I-CSCF,UNKNOWN,302310337275348.0,32.9042,-117.199,0.0,SUCCESS,SUCCESS
0.0,Cx,SIP_RGISTR,REGISTER,I-CSCF,UDM,UNKNOWN,302310337275348.0,32.9042,-117.199,0.0,SUCCESS,SUCCESS
0.0,N3,SIP_RGISTR,REGISTER,GNODEB,UPF,UNKNOWN,302310731898645.0,35.7454,-81.6848,0.0,SUCCESS,SUCCESS
0.0,Gm,SIP_RGISTR,REGISTER,UPF,P-CSCF,UNKNOWN,302310731898645.0,35.7454,-81.6848,0.0,SUCCESS,SUCCESS
0.0,Mw,SIP_RGISTR,REGISTER,P-CSCF,I-CSCF,UNKNOWN,302310731898645.0,35.7454,-81.6848,0.0,SUCCESS,SUCCESS
0.0,Cx,SIP_RGISTR,REGISTER,I-CSCF,UDM,UNKNOWN,302310731898645.0,35.7454,-81.6848,0.0,SUCCESS,SUCCESS
