severity_id,facility,severity_name
0,kernel,emergency
1,kernel,alert
2,kernel,critical
3,kernel,error
4,kernel,warning
5,kernel,notice
6,kernel,informational
7,kernel,debugging
8,user,emergency
9,user,alert
10,user,critical
11,user,error
12,user,warning
13,user,notice
14,user,informational
15,user,debugging
16,mail,emergency
17,mail,alert
18,mail,critical
19,mail,error
20,mail,warning
21,mail,notice
22,mail,informational
23,mail,debugging
24,daemon,emergency
25,daemon,alert
26,daemon,critical
27,daemon,error
28,daemon,warning
29,daemon,notice
30,daemon,informational
31,daemon,debugging
32,auth,emergency
33,auth,alert
34,auth,critical
35,auth,error
36,auth,warning
37,auth,notice
38,auth,informational
39,auth,debugging
40,syslog,emergency
41,syslog,alert
42,syslog,critical
43,syslog,error
44,syslog,warning
45,syslog,notice
46,syslog,informational
47,syslog,debugging
48,lpr,emergency
49,lpr,alert
50,lpr,critical
51,lpr,error
52,lpr,warning
53,lpr,notice
54,lpr,informational
55,lpr,debugging
56,news,emergency
57,news,alert
58,news,critical
59,news,error
60,news,warning
61,news,notice
62,news,informational
63,news,debugging
64,uucp,emergency
65,uucp,alert
66,uucp,critical
67,uucp,error
68,uucp,warning
69,uucp,notice
70,uucp,informational
71,uucp,debugging
72,cron,emergency
73,cron,alert
74,cron,critical
75,cron,error
76,cron,warning
77,cron,notice
78,cron,informational
79,cron,debugging
80,authpriv,emergency
81,authpriv,alert
82,authpriv,critical
83,authpriv,error
84,authpriv,warning
85,authpriv,notice
86,authpriv,informational
87,authpriv,debugging
88,ftp,emergency
89,ftp,alert
90,ftp,critical
91,ftp,error
92,ftp,warning
93,ftp,notice
94,ftp,informational
95,ftp,debugging
96,netinfo,emergency
97,netinfo,alert
98,netinfo,critical
99,netinfo,error
100,netinfo,warning
101,netinfo,notice
102,netinfo,informational
103,netinfo,debugging
104,remoteauth,emergency
105,remoteauth,alert
106,remoteauth,critical
107,remoteauth,error
108,remoteauth,warning
109,remoteauth,notice
110,remoteauth,informational
111,remoteauth,debugging
112,install,emergency
113,install,alert
114,install,critical
115,install,error
116,install,warning
117,install,notice
118,install,informational
119,install,debugging
120,ras,emergency
121,ras,alert
122,ras,critical
123,ras,error
124,ras,warning
125,ras,notice
126,ras,informational
127,ras,debugging
128,local0,emergency
129,local0,alert
130,local0,critical
131,local0,error
132,local0,warning
133,local0,notice
134,local0,informational
135,local0,debugging
136,local1,emergency
137,local1,alert
138,local1,critical
139,local1,error
140,local1,warning
141,local1,notice
142,local1,informational
143,local1,debugging
144,local2,emergency
145,local2,alert
146,local2,critical
147,local2,error
148,local2,warning
149,local2,notice
150,local2,informational
151,local2,debugging
152,local3,emergency
153,local3,alert
154,local3,critical
155,local3,error
156,local3,warning
157,local3,notice
158,local3,informational
159,local3,debugging
160,local4,emergency
161,local4,alert
162,local4,critical
163,local4,error
164,local4,warning
165,local4,notice
166,local4,informational
167,local4,debugging
168,local5,emergency
169,local5,alert
170,local5,critical
171,local5,error
172,local5,warning
173,local5,notice
174,local5,informational
175,local5,debugging
176,local6,emergency
177,local6,alert
178,local6,critical
179,local6,error
180,local6,warning
181,local6,notice
182,local6,informational
183,local6,debugging
184,local7,emergency
185,local7,alert
186,local7,critical
187,local7,error
188,local7,warning
189,local7,notice
190,local7,informational
191,local7,debugging
