MESSAGE_CODE,change_type,command,object,object_attrs,object_category,result
60461,AAA,Disable account,Account,status,user,lockout
52002,Configuration change,Delete,SXP,SXP,file,Deleted
60086,AAA,Change Configuration,SSH Service,configuration,file,configuration changed
58022,Server added,Add server,NTP Server,configuration,file,NTP Server Added
58024,IP address added,Add IP Address,IP address,configuration,file,IP Address Added
58023,Hostname added,Add Hostname,Hostname,configuration,file,Hostname added
60132,Support bundle deleted,Delete,Support bundle,Bundle deleted,directory,Bundle deleted
60131,Support bundle created,Create,Support bundle,Bundle created,directory,Bundle created
60198,Data purged,Purge,TACACS Data,Data deleted,file,Data deleted
5233,Data Download,Download,TrustSec Data,Data Downloaded,file,Data downloaded
60085,Configuration change,Backup repository,ADEOS Repository,content,directory,Repository backup
60190,Admin action,Subscribe,xGrid,AAA,group,Client subscribed
5232,Data Download,Download,DACL Data,Data Downloaded,file,Data downloaded
60197,Revoked Certificate,Revoke,Certificate,Access,file,Revoked Certificate
60214,Keys exported,Export,Keys,Location changed,file,Keys exported
51100,AAA,Change password,Password,Password,file,password changed
