id,ident,type,latitude,longitude,elevation_ft,continent,iso_country,iso_region,municipality,iata_code
4220,LFRQ,medium_airport,47.97499847,-4.167789936,297,EU,FR,FR-E,Quimper/Pluguffan,UIP
4221,LFRS,medium_airport,47.15319824,-1.610730052,90,EU,FR,FR-R,Nantes,NTE
4222,LFRT,medium_airport,48.53779984,-2.854439974,453,EU,FR,FR-E,Saint-Brieuc/Armor,SBK
4223,LFRU,medium_airport,48.60319901,-3.815779924,272,EU,FR,FR-E,Morlaix/Ploujean,MXN
4224,LFRV,medium_airport,47.72330093,-2.71855998,446,EU,FR,FR-E,Vannes/Meucon,VNE
4225,LFRZ,medium_airport,47.31219864,-2.149179935,13,EU,FR,FR-R,Saint-Nazaire/Montoir,SNR
4226,LFSB,medium_airport,47.58959961,7.529910088,885,EU,FR,FR-A,BÌ¢le/Mulhouse,BSL
4228,LFSD,medium_airport,47.26890183,5.090000153,726,EU,FR,FR-D,Dijon/Longvic,DIJ
4229,LFSF,medium_airport,49.07170105,6.131669998,629,EU,FR,FR-M,Metz/Frescaty,MZM
4230,LFSG,medium_airport,48.32500076,6.069980145,1084,EU,FR,FR-M,Ìäpinal/Mirecourt,EPL
4233,LFSM,medium_airport,47.48699951,6.790540218,1041,EU,FR,FR-I,MontbÌ©liard/Courcelles,XMF
4234,LFSN,medium_airport,48.69210052,6.230460167,751,EU,FR,FR-M,Nancy/Essey,ENC
4237,LFSR,medium_airport,49.31000137,4.050000191,312,EU,FR,FR-G,Reims/Champagne,RHE
4238,LFST,medium_airport,48.53829956,7.628230095,505,EU,FR,FR-A,Strasbourg,SXB
4241,LFTH,medium_airport,43.09730148,6.146029949,7,EU,FR,FR-U,Toulon/HyÌ¬res/Le Palyvestre,XHE
4242,LFTW,medium_airport,43.75740051,4.416349888,309,EU,FR,FR-K,NÌ¨mes/Garons,FNI
4244,LFVM,medium_airport,47.09550095,-56.38029861,10,NA,PM,PM-ML,Miquelon,MQC
4245,LFVP,medium_airport,46.76290131,-56.17309952,27,NA,PM,PM-SP,Saint-Pierre,FSP
4248,LGAD,medium_airport,37.92070007,21.29260063,55,EU,GR,GR-14,Andravida,PYR
4250,LGAL,medium_airport,40.85589981,25.95630074,24,EU,GR,GR-71,Alexandroupolis,AXD
4251,LGAV,large_airport,37.93640137,23.94449997,308,EU,GR,GR-A1,Athens,ATH
4253,LGBL,medium_airport,39.21960068,22.79430008,83,EU,GR,GR-43,Nea Anchialos,VOL
4255,LGHI,medium_airport,38.34320068,26.1406002,15,EU,GR,GR-85,Chios Island,JKH
4256,LGIK,medium_airport,37.68270111,26.3470993,79,EU,GR,GR-84,Ikaria Island,JIK
4257,LGIO,medium_airport,39.69639969,20.82250023,1558,EU,GR,GR-33,Ioannina,IOA
4258,LGIR,large_airport,35.33969879,25.18029976,115,EU,GR,GR-91,Heraklion,HER
4259,LGKA,medium_airport,40.44630051,21.28219986,2167,EU,GR,GR-56,Kastoria,KSO
4260,LGKC,medium_airport,36.27429962,23.0170002,1045,EU,GR,GR-A1,Kithira Island,KIT
4261,LGKF,medium_airport,38.12009811,20.50049973,59,EU,GR,GR-23,Kefallinia Island,EFL
4262,LGKL,medium_airport,37.06829834,22.02549934,26,EU,GR,GR-17,Kalamata,KLX
4264,LGKO,medium_airport,36.79330063,27.0916996,412,EU,GR,GR-81,Kos Island,KGS
4265,LGKP,medium_airport,35.42139816,27.14599991,66,EU,GR,GR-81,Karpathos Island,AOK
4266,LGKR,medium_airport,39.60189819,19.9116993,6,EU,GR,GR-22,Kerkyra Island,CFU
4268,LGKV,medium_airport,40.91329956,24.61919975,18,EU,GR,GR-55,Kavala,KVA
4269,LGKZ,medium_airport,40.28609848,21.84079933,2059,EU,GR,GR-58,Kozani,KZI
4271,LGLM,medium_airport,39.917099,25.23629951,14,EU,GR,GR-83,Limnos Island,LXS
4272,LGLR,medium_airport,39.65628259,22.34000087,241,EU,GR,GR-42,Larisa,LRA
4274,LGMK,medium_airport,37.43510056,25.34810066,405,EU,GR,GR-82,Mykonos Island,JMK
4275,LGMT,medium_airport,39.05670166,26.59830093,60,EU,GR,GR-83,Mytilene,MJT
4276,LGPL,medium_airport,36.57989883,26.37579918,165,EU,GR,GR-81,Astypalaia Island,JTY
4277,LGPZ,medium_airport,38.92549896,20.76530075,11,EU,GR,GR-34,Preveza/Lefkada,PVK
4279,LGRP,medium_airport,36.40539932,28.08620071,17,EU,GR,GR-81,Rodes Island,RHO
4280,LGRX,medium_airport,38.15110016,21.42560005,46,EU,GR,GR-13,Patras,GPA
4281,LGSA,medium_airport,35.53170013,24.14970016,490,EU,GR,GR-94,Souda,CHQ
4282,LGSK,medium_airport,39.17710114,23.50370026,54,EU,GR,GR-43,Skiathos,JSI
4283,LGSM,medium_airport,37.68999863,26.9116993,19,EU,GR,GR-84,Samos Island,SMI
4284,LGSO,medium_airport,37.42279816,24.95089912,236,EU,GR,GR-82,Syros Island,JSY
4286,LGSR,medium_airport,36.39920044,25.47929955,127,EU,GR,GR-82,Santorini Island,JTR
4287,LGST,medium_airport,35.21609879,26.10129929,376,EU,GR,GR-92,Crete Island,JSH
4289,LGSY,medium_airport,38.96760178,24.48719978,44,EU,GR,GR-04,Skiros Island,SKU
4293,LGTS,large_airport,40.5196991,22.97089958,22,EU,GR,GR-54,Thessaloniki,SKG
4295,LGZA,medium_airport,37.75090027,20.88430023,15,EU,GR,GR-21,Zakynthos Island,ZTH
4296,LHBP,large_airport,47.43690109,19.25559998,495,EU,HU,HU-PE,Budapest,BUD
4297,LHDC,medium_airport,47.48889923,21.61529922,359,EU,HU,HU-HB,Debrecen,DEB
4302,LHPP,medium_airport,45.99089813,18.24099922,1000,EU,HU,HU-BA,PÌ©cs-PogÌÁny,PEV
4303,LHPR,medium_airport,47.62440109,17.81360054,424,EU,HU,HU-GS,GyÅÔr,QGY
4305,LHSM,medium_airport,46.68640137,17.15909958,408,EU,HU,HU-ZA,SÌÁrmellÌ©k,SOB
30003,LHTA,medium_airport,46.39310074,17.91749954,531,EU,HU,HU-SO,TaszÌÁr,TZR
4309,LIBC,medium_airport,38.99720001,17.0802002,522,EU,IT,IT-78,Crotone,CRV
4310,LIBD,large_airport,41.13890076,16.76059914,177,EU,IT,IT-75,Bari,BRI
4311,LIBF,medium_airport,41.43289948,15.53499985,265,EU,IT,IT-75,Foggia,FOG
4312,LIBG,medium_airport,40.51750183,17.40320015,215,EU,IT,IT-75,Grottaglie,TAR
4313,LIBN,medium_airport,40.23920059,18.13330078,156,EU,IT,IT-75,,LCC
4314,LIBP,medium_airport,42.43170166,14.18109989,48,EU,IT,IT-65,Pescara,PSR
4315,LIBR,medium_airport,40.6576004,17.9470005,47,EU,IT,IT-75,Brindisi,BDS
4317,LICA,medium_airport,38.90539932,16.24230003,39,EU,IT,IT-78,Lamezia Terme,SUF
298716,LICB,medium_airport,36.99460102,14.60718155,623,EU,IT,IT-82,Comiso,CIY
4318,LICC,large_airport,37.46680069,15.06639957,39,EU,IT,IT-82,Catania,CTA
4319,LICD,medium_airport,35.4978981,12.61810017,70,EU,IT,IT-82,Lampedusa,LMP
4320,LICG,medium_airport,36.81650162,11.96889973,628,EU,IT,IT-82,Pantelleria,PNL
4321,LICJ,large_airport,38.17599869,13.0909996,65,EU,IT,IT-82,Palermo,PMO
4323,LICR,medium_airport,38.07120132,15.65159988,96,EU,IT,IT-78,Reggio Calabria,REG
4324,LICT,medium_airport,37.91139984,12.48799992,25,EU,IT,IT-82,Trapani,TPS
4325,LICZ,medium_airport,37.40169907,14.92240047,79,EU,IT,IT-82,,NSY
4328,LIDR,medium_airport,44.36429977,12.22490025,1,EU,IT,IT-45,Ravenna,RAN
4329,LIDT,medium_airport,46.02140045,11.12419987,610,EU,IT,IT-32,Trento,ZIA
4330,LIEA,medium_airport,40.63209915,8.290769577,87,EU,IT,IT-88,Alghero,AHO
4331,LIED,medium_airport,39.35419846,8.97247982,100,EU,IT,IT-88,Decimomannu,DCI
4332,LIEE,large_airport,39.25149918,9.054280281,13,EU,IT,IT-88,Cagliari,CAG
4333,LIEO,medium_airport,40.89870071,9.517629623,37,EU,IT,IT-88,Olbia,OLB
4334,LIET,medium_airport,39.91880035,9.682979584,23,EU,IT,IT-88,Arbatax,TTB
4337,LILN,medium_airport,45.74219894,8.888230324,1050,EU,IT,IT-25,Varese,QVA
4340,LIMC,large_airport,45.63059998,8.728110313,768,EU,IT,IT-25,Milan,MXP
4341,LIME,large_airport,45.6739006,9.704170227,782,EU,IT,IT-25,Bergamo,BGY
4342,LIMF,large_airport,45.20080185,7.64963007,989,EU,IT,IT-21,Torino,TRN
4343,LIMG,medium_airport,44.05059814,8.127429962,148,EU,IT,IT-42,Albenga,ALL
4344,LIMJ,large_airport,44.41329956,8.837499619,13,EU,IT,IT-42,Genova,GOA
4345,LIML,large_airport,45.44509888,9.276740074,353,EU,IT,IT-25,Milan,LIN
4347,LIMP,medium_airport,44.82450104,10.29640007,161,EU,IT,IT-45,Parma,PMF
4348,LIMS,medium_airport,44.9131012,9.723329544,456,EU,IT,IT-45,Piacenza,QPZ
4349,LIMW,medium_airport,45.73849869,7.368720055,1791,EU,IT,IT-23,Aosta,AOT
4350,LIMZ,medium_airport,44.54700089,7.623219967,1267,EU,IT,IT-21,Cuneo,CUF
29443,LIPA,medium_airport,46.0318985,12.5965004,410,EU,IT,IT-36,Aviano,AVB
4352,LIPB,medium_airport,46.46020126,11.3263998,789,EU,IT,IT-32,Bolzano,BZO
4354,LIPE,large_airport,44.53540039,11.2887001,123,EU,IT,IT-45,Bologna,BLQ
4355,LIPH,large_airport,45.64839935,12.19439983,59,EU,IT,IT-34,Treviso,TSF
4357,LIPK,medium_airport,44.19480133,12.07009983,97,EU,IT,IT-45,ForlÌÂ,FRL
4360,LIPO,medium_airport,45.42890167,10.33059978,355,EU,IT,IT-25,Brescia,VBS
4361,LIPQ,medium_airport,45.82749939,13.47220039,39,EU,IT,IT-36,Trieste,TRS
4362,LIPR,medium_airport,44.02030182,12.61170006,40,EU,IT,IT-45,Rimini,RMI
4364,LIPT,medium_airport,45.57339859,11.52950001,128,EU,IT,IT-34,Vicenza,VIC
4365,LIPU,medium_airport,45.39580154,11.84790039,44,EU,IT,IT-34,Padova,QPA
4366,LIPX,large_airport,45.39569855,10.88850021,239,EU,IT,IT-34,Verona,VRN
4367,LIPY,medium_airport,43.61629868,13.36229992,49,EU,IT,IT-57,Ancona,AOI
4368,LIPZ,large_airport,45.50529861,12.3519001,7,EU,IT,IT-34,Venezia,VCE
4369,LIQS,medium_airport,43.25630188,11.25500011,634,EU,IT,IT-52,Siena,SAY
4370,LIRA,large_airport,41.79940033,12.59490013,427,EU,IT,IT-62,Roma,CIA
4372,LIRF,large_airport,41.80450058,12.25080013,15,EU,IT,IT-62,Rome,FCO
4374,LIRI,medium_airport,40.62039948,14.91129971,119,EU,IT,IT-72,Salerno,QSR
4375,LIRJ,medium_airport,42.76029968,10.23939991,31,EU,IT,IT-52,Marina  Di Campo,EBA
4376,LIRL,medium_airport,41.54240036,12.9090004,94,EU,IT,IT-62,Latina,QLT
4378,LIRN,large_airport,40.88600159,14.29080009,294,EU,IT,IT-72,NÌÁpoli,NAP
4379,LIRP,large_airport,43.68389893,10.3927002,6,EU,IT,IT-52,Pisa,PSA
4380,LIRQ,medium_airport,43.81000137,11.20510006,142,EU,IT,IT-52,Firenze,FLR
4381,LIRS,medium_airport,42.75970078,11.07190037,17,EU,IT,IT-52,Grosetto,GRS
4384,LIRZ,medium_airport,43.09590149,12.51319981,697,EU,IT,IT-55,Perugia,PEG
4386,LJLJ,large_airport,46.22370148,14.45759964,1273,EU,SI,SI-061,Ljubljana,LJU
4387,LJMB,medium_airport,46.47990036,15.68610001,876,EU,SI,SI-070,,MBX
4388,LJPZ,medium_airport,45.47340012,13.61499977,7,EU,SI,SI-090,Portoroz,POW
4398,LKKU,medium_airport,49.02939987,17.43969917,581,EU,CZ,CZ-ZL,UherskÌ© HradiÅÁt€_,UHE
4399,LKKV,medium_airport,50.20299911,12.91499996,1989,EU,CZ,CZ-KA,Karlovy Vary,KLV
4402,LKMT,medium_airport,49.69630051,18.11109924,844,EU,CZ,CZ-MO,Ostrava,OSR
4405,LKPD,medium_airport,50.01340103,15.73859978,741,EU,CZ,CZ-PA,Pardubice,PED
4407,LKPO,medium_airport,49.42580032,17.40469933,676,EU,CZ,CZ-OL,PÅªerov,PRV
4408,LKPR,large_airport,50.10079956,14.26000023,1247,EU,CZ,CZ-PR,Prague,PRG
4409,LKTB,medium_airport,49.15129852,16.69440079,778,EU,CZ,CZ-JM,Brno,BRQ
29928,LLAZ,closed,31.36705017,34.29450989,112,AS,PS,PS-U-A,Gush Katif,GHK
4411,LLBG,large_airport,32.01139832,34.88669968,135,AS,IL,IL-M,Tel Aviv,TLV
4415,LLET,medium_airport,29.56130028,34.96009827,42,AS,IL,IL-D,Eilat,ETH
4417,LLHA,medium_airport,32.80939865,35.04309845,28,AS,IL,IL-HA,Haifa,HFA
4419,LLIB,medium_airport,32.98099899,35.57189941,922,AS,IL,IL-Z,Rosh Pina,RPN
46080,LLJR,closed,31.864722,35.219167,6447,AS,PS,PS-U-A,Jerusalem,JRS
4421,LLMZ,medium_airport,31.32819939,35.3885994,-1266,AS,IL,IL-D,Masada,MTZ
4422,LLNV,medium_airport,31.20829964,35.01229858,1330,AS,IL,IL-D,Beersheba,VTM
4423,LLOV,large_airport,29.94029999,34.93579865,1492,AS,IL,IL-D,Eilat,VDA
4425,LLRM,medium_airport,30.77610016,34.66669846,2126,AS,IL,IL-D,Beersheba,MIP
4426,LLSD,medium_airport,32.11470032,34.78219986,43,AS,IL,IL-TA,Tel Aviv,SDV
4427,LMML,large_airport,35.857498,14.4775,300,EU,MT,MT-25,Luqa,MLA
4430,LOWG,medium_airport,46.99110031,15.43959999,1115,EU,AT,AT-6,Graz,GRZ
4431,LOWI,medium_airport,47.2602005,11.34399986,1906,EU,AT,AT-7,Innsbruck,INN
4435,LOWK,medium_airport,46.64250183,14.33769989,1470,EU,AT,AT-2,Klagenfurt am WÌ_rthersee,KLU
4432,LOWL,medium_airport,48.23320007,14.1875,978,EU,AT,AT-4,Linz,LNZ
4433,LOWS,medium_airport,47.79330063,13.00430012,1411,EU,AT,AT-5,Salzburg,SZG
4434,LOWW,large_airport,48.11029816,16.56970024,600,EU,AT,AT-9,Vienna,VIE
4439,LPAZ,medium_airport,36.97140121,-25.17060089,308,EU,PT,PT-20,Vila do Porto,SMA
4440,LPBG,medium_airport,41.85779953,-6.707129955,2241,EU,PT,PT-04,,BGC
4441,LPBJ,medium_airport,38.07889938,-7.932400227,636,EU,PT,PT-02,Beja,BYJ
4442,LPBR,medium_airport,41.58710098,-8.445139885,247,EU,PT,PT-03,Braga,BGZ
4443,LPCO,medium_airport,40.15719986,-8.470000267,587,EU,PT,PT-06,,CBP
4445,LPCV,medium_airport,40.26480103,-7.479959965,1572,EU,PT,PT-05,,COV
4447,LPFL,medium_airport,39.45529938,-31.13139915,112,EU,PT,PT-20,Santa Cruz das Flores,FLW
4448,LPFR,large_airport,37.01440048,-7.965909958,24,EU,PT,PT-08,Faro,FAO
4449,LPGR,medium_airport,39.09220123,-28.02980042,86,EU,PT,PT-20,Santa Cruz da Graciosa,GRW
4450,LPHR,medium_airport,38.51990128,-28.71590042,118,EU,PT,PT-20,Horta,HOR
4451,LPLA,large_airport,38.76179886,-27.09079933,180,EU,PT,PT-20,Lajes,TER
4452,LPMA,medium_airport,32.69789886,-16.77449989,192,EU,PT,PT-30,Funchal,FNC
4456,LPPD,large_airport,37.74119949,-25.69790077,259,EU,PT,PT-20,Ponta Delgada,PDL
4457,LPPI,medium_airport,38.5542984,-28.44129944,109,EU,PT,PT-20,Pico Island,PIX
4458,LPPM,medium_airport,37.14929962,-8.583959579,5,EU,PT,PT-08,,PRM
4459,LPPR,large_airport,41.24810028,-8.681389809,228,EU,PT,PT-13,Porto,OPO
4460,LPPS,medium_airport,33.07339859,-16.35000038,341,EU,PT,PT-30,Vila Baleira,PXO
4461,LPPT,large_airport,38.78129959,-9.135919571,374,EU,PT,PT-11,Lisbon,LIS
4462,LPSJ,medium_airport,38.66550064,-28.17580032,311,EU,PT,PT-20,Velas,SJZ
4465,LPVR,medium_airport,41.27429962,-7.720469952,1805,EU,PT,PT-17,,VRL
4466,LPVZ,medium_airport,40.7254982,-7.888989925,2060,EU,PT,PT-18,,VSE
4467,LQBK,medium_airport,44.94139862,17.29750061,400,EU,BA,BA-SRP,Banja Luka,BNX
4468,LQMO,medium_airport,43.28290176,17.84589958,156,EU,BA,BA-BIH,Mostar,OMO
4469,LQSA,large_airport,43.82460022,18.3314991,1708,EU,BA,BA-BIH,Sarajevo,SJJ
4470,LQTZ,medium_airport,44.45869827,18.72480011,784,EU,BA,BA-BIH,Tuzla,TZL
4471,LRAR,medium_airport,46.17660141,21.26199913,352,EU,RO,RO-AR,Arad,ARW
4472,LRBC,medium_airport,46.52190018,26.9102993,607,EU,RO,RO-BC,Bac€Äu,BCM
4473,LRBM,medium_airport,47.65840149,23.46999931,605,EU,RO,RO-MM,Baia Mare,BAY
4474,LRBS,medium_airport,44.50320053,26.10210037,297,EU,RO,RO-B,Bucharest,BBU
4475,LRCK,medium_airport,44.36220169,28.48830032,353,EU,RO,RO-CT,ConstanÅ£a,CND
4476,LRCL,medium_airport,46.78519821,23.68619919,1036,EU,RO,RO-CJ,Cluj-Napoca,CLJ
4477,LRCS,medium_airport,45.41999817,22.25329971,866,EU,RO,RO-CS,CaransebeÅÙ,CSB
4479,LRCV,medium_airport,44.31809998,23.8885994,626,EU,RO,RO-DJ,Craiova,CRA
4480,LRIA,medium_airport,47.17850113,27.62059975,397,EU,RO,RO-IS,IaÅÙi,IAS
301128,LRO,closed,37.83791667,-121.2728056,55,NA,US,US-CA,Lathrop,LRO
4481,LROD,medium_airport,47.02529907,21.90250015,465,EU,RO,RO-BH,Oradea,OMR
4482,LROP,large_airport,44.57220078,26.10219955,314,EU,RO,RO-B,Bucharest,OTP
4483,LRSB,medium_airport,45.78559875,24.09129906,1496,EU,RO,RO-SB,Sibiu,SBZ
4484,LRSM,medium_airport,47.70330048,22.88570023,405,EU,RO,RO-SM,Satu Mare,SUJ
4485,LRSV,medium_airport,47.6875,26.35409927,1375,EU,RO,RO-SV,Suceava,SCV
4486,LRTC,medium_airport,45.0625,28.71430016,200,EU,RO,RO-TL,Tulcea,TCE
4487,LRTM,medium_airport,46.46770096,24.41250038,963,EU,RO,RO-MS,TÌ¢rgu MureÅÙ,TGM
4488,LRTR,medium_airport,45.80989838,21.33790016,348,EU,RO,RO-TM,TimiÅÙoara,TSR
4490,LSGG,large_airport,46.23809814,6.108950138,1411,EU,CH,CH-GE,Geneva,GVA
4492,LSGS,medium_airport,46.21960068,7.326759815,1585,EU,CH,CH-VS,Sion,SIR
4502,LSZA,medium_airport,46.00429916,8.910579681,915,EU,CH,CH-TI,Lugano,LUG
4503,LSZB,medium_airport,46.91410065,7.497149944,1674,EU,CH,CH-BE,Bern,BRN
30614,LSZD,closed,46.15779877,8.78194046,655,EU,CH,CH-TI,Ascona,ACO
4504,LSZG,medium_airport,47.18159866,7.417190075,1411,EU,CH,CH-SO,,ZHI
4505,LSZH,large_airport,47.46469879,8.54916954,1416,EU,CH,CH-ZH,Zurich,ZRH
4506,LSZR,medium_airport,47.48500061,9.560770035,1306,EU,CH,CH-SG,Altenrhein,ACH
4507,LSZS,medium_airport,46.53409958,9.884110451,5600,EU,CH,CH-GR,,SMV
4509,LTAC,large_airport,40.12810135,32.99509811,3125,AS,TR,TR-06,Ankara,ESB
4510,LTAD,medium_airport,39.94979858,32.68859863,2653,AS,TR,TR-06,Ankara,ANK
4512,LTAF,large_airport,36.98220062,35.28039932,65,AS,TR,TR-01,Adana,ADA
4513,LTAG,medium_airport,37.0021019,35.42589951,238,AS,TR,TR-01,Adana,UAB
4514,LTAH,medium_airport,38.72639847,30.60110092,3310,AS,TR,TR-03,Afyonkarahisar,AFY
4515,LTAI,large_airport,36.89870071,30.80050087,177,AS,TR,TR-07,Antalya,AYT
4516,LTAJ,large_airport,36.94720078,37.47869873,2315,AS,TR,TR-27,Gaziantep,GZT
4518,LTAN,medium_airport,37.97900009,32.56190109,3381,AS,TR,TR-42,Konya,KYA
4520,LTAP,medium_airport,40.82939911,35.52199936,1758,AS,TR,TR-05,Amasya,MZH
4521,LTAR,medium_airport,39.81380081,36.9034996,5236,AS,TR,TR-58,Sivas,VAS
4522,LTAT,medium_airport,38.43529892,38.0909996,2828,AS,TR,TR-44,Malatya,MLX
4523,LTAU,medium_airport,38.770401,35.49539948,3463,AS,TR,TR-38,Kayseri,ASR
4525,LTAW,medium_airport,40.30743027,36.36740875,1831,AS,TR,TR-60,Tokat,TJK
