Origin,OriginAirport,OriginStateName,OriginCityName,OriginLatitude,OriginLongitude
ANC,"Anchorage, AK: Ted Stevens Anchorage International",Alaska,"Anchorage, AK","61.17440033","-149.9960022"
SLC,"Salt Lake City, UT: Salt Lake City International",Utah,"Salt Lake City, UT","40.78839874","-111.9779968"
JFK,"New York, NY: John F. Kennedy International","New York","New York, NY","40.63980103","-73.77890015"
SFO,"San Francisco, CA: San Francisco International",California,"San Francisco, CA","37.61899948","-122.375"
LAX,"Los Angeles, CA: Los Angeles International",California,"Los Angeles, CA","33.94250107","-118.4079971"
HNL,"Honolulu, HI: Honolulu International",Hawaii,"Honolulu, HI","21.31870079","-157.9219971"
OGG,"Kahului, HI: Kahului Airport",Hawaii,"Kahului, HI","20.89859962","-156.4299927"
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",Arizona,"Phoenix, AZ","33.43429947","-112.012001"
DEN,"Denver, CO: Denver International",Colorado,"Denver, CO","39.86169815","-104.6729965"
BOS,"Boston, MA: Logan International",Massachusetts,"Boston, MA","42.36429977","-71.00520325"
SEA,"Seattle, WA: Seattle/Tacoma International",Washington,"Seattle, WA","47.44900131","-122.3089981"
LAS,"Las Vegas, NV: McCarran International",Nevada,"Las Vegas, NV","36.08010101","-115.1520004"
KOA,"Kona, HI: Kona International Airport at Keahole",Hawaii,"Kona, HI","19.73880005","-156.0460052"
MCO,"Orlando, FL: Orlando International",Florida,"Orlando, FL","28.42939949","-81.30899811"
SMF,"Sacramento, CA: Sacramento International",California,"Sacramento, CA","38.69540024","-121.5910034"
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",Texas,"Dallas/Fort Worth, TX","32.89680099","-97.03800201"
LIH,"Lihue, HI: Lihue Airport",Hawaii,"Lihue, HI","21.97599983","-159.3390045"
IAH,"Houston, TX: George Bush Intercontinental/Houston",Texas,"Houston, TX","29.9843998","-95.34140015"
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",Georgia,"Atlanta, GA","33.63669968","-84.42810059"
PDX,"Portland, OR: Portland International",Oregon,"Portland, OR","45.58869934","-122.5979996"
SAN,"San Diego, CA: San Diego International",California,"San Diego, CA","32.73360062","-117.1900024"
ORD,"Chicago, IL: Chicago O'Hare International",Illinois,"Chicago, IL","41.97859955","-87.90480042"
SJC,"San Jose, CA: Norman Y. Mineta San Jose International",California,"San Jose, CA","37.36259842","-121.9290009"
PHL,"Philadelphia, PA: Philadelphia International",Pennsylvania,"Philadelphia, PA","39.87189865","-75.2410965"
CLT,"Charlotte, NC: Charlotte Douglas International","North Carolina","Charlotte, NC","35.2140007","-80.94309998"
FAI,"Fairbanks, AK: Fairbanks International",Alaska,"Fairbanks, AK","64.81510162","-147.8560028"
MIA,"Miami, FL: Miami International",Florida,"Miami, FL","25.79319954","-80.29060364"
JNU,"Juneau, AK: Juneau International",Alaska,"Juneau, AK","58.35499954","-134.576004"
OAK,"Oakland, CA: Metropolitan Oakland International",California,"Oakland, CA","37.72129822","-122.2210007"
ITO,"Hilo, HI: Hilo International",Hawaii,"Hilo, HI","19.72139931","-155.0480042"
IAD,"Washington, DC: Washington Dulles International",Virginia,"Washington, DC","38.94449997","-77.45580292"
SJU,"San Juan, PR: Luis Munoz Marin International","Puerto Rico","San Juan, PR","18.43939972","-66.00180054"
DCA,"Washington, DC: Ronald Reagan Washington National",Virginia,"Washington, DC","38.85210037","-77.03769684"
EWR,"Newark, NJ: Newark Liberty International","New Jersey","Newark, NJ","40.69250107","-74.16870117"
LGA,"New York, NY: LaGuardia","New York","New York, NY","40.77719879","-73.87259674"
MKE,"Milwaukee, WI: General Mitchell International",Wisconsin,"Milwaukee, WI","42.94720078","-87.89659882"
