type,id,label,type,source,target,edgeColor,edgeWidth,Att01_sourceCountry
node,user_alice,Alice,user,,,,,
node,user_bob,Bob,user,,,,,
node,user_mallory,Mallory,user,,,,,
node,ip_86.168.1.10,86.168.1.10,ip,,,,,UK
node,ip_36.213.56.14,36.213.56.14,ip,,,,,China
node,ip_81.40.112.65,81.40.112.65,ip,,,,,UK
node,sys_mail,Mail Server,system,,,,,
node,sys_web,Web Server,system,,,,,
node,sys_db,Database,system,,,,,
edge,,login_attempt,,ip_86.168.1.10,user_alice,,,
edge,,access,,user_alice,sys_mail,,,
edge,,access,,user_alice,sys_web,,,
edge,,login_attempt,,ip_36.213.56.14,user_bob,red,3,
edge,,access,,user_bob,sys_mail,,,
edge,,login_attempt,,ip_81.40.112.65,user_mallory,,,
edge,,login_attempt,,ip_36.213.56.14,user_mallory,red,3,
edge,,access,,user_mallory,sys_mail,,,
edge,,access,,user_mallory,sys_web,,,
edge,,access,,user_mallory,sys_db,,,
