Identificador,Categoria,Subcategoria,Monitorizacion,Explicacion,Ejemplo,Valor,,,,
ID-AM-3,Administración de activos (Asset Managment),La comunicación organizativa y flujos de datos están mapeados,"En relación con la seguridad de la arquitectrura, implemente principios de arquitectura segura dentro de la caracterización, diseño, desarrollo, implementación y alteración del sistema de datos","La organización se asegurará de que la arquitectura segura se implemente en la planificación del sistema, ya sea internamente o mientras controla los procesos de un proveedor externo.","Los principios de arquitectura segura se pueden derivar de los controles, de estándares comunes, etc.",2,,,,
ID-AM-3,Administración de activos (Asset Managment),La comunicación organizativa y flujos de datos están mapeados,"La arquitectura de seguridad implementa principios arquitectónicos seguros en un marco de especificación, diseño, desarrollo, realización y cambio en el sistema de información.","La organización se asegurará de que, al diseñar sistemas y servicios, se implemente una arquitectura segura, ya sea que la planificación sea realizada, coordinada o supervisada por la organización, o mediante el control de la organización del trabajo del proveedor externo.",Los principios de arquitectura segura pueden derivarse de los controles citados en las secciones de este documento y otros estándares aceptados.,2,,,,
ID-AM-3,Administración de activos (Asset Managment),La comunicación organizativa y flujos de datos están mapeados,"Proceso de diseño para establecer límites organizacionales, mapear los objetivos de defensa de la organización y evaluar el nivel de valor de los objetivos de defensa","El mapeo de los objetivos de defensa pueden cumplirse mediante el mapeo de los procesos de trabajo, sistemas, bases de datos y infraestructura tecnológica. El nivel de valor de los objetivos de defensa se determina de acuerdo con los efectos de la violación en la seguridad, disponibilidad e integrdiad de la información.","La definición de los objetivos incluirá todos los aspectos donde la organización debe considerar el nivel de riesgo actual contra el nivel deseado. Estos objetivos pueden incluir, entre otras cosas. Lista de sistemas, infraetructura, procesos de negocios, personas clave y todo lo que la organización ha defenido para sí mismo como objetivo de ciberdefensa. Un buen mapeo incluirá, por ejemplo, el mundo IoT, incluida cámara de seguridad, ascensores y escaleras mecánicas, ensambleje y otros componentes ""integrados en el software"" que a menudo no son admintrados por los profesionesles de TI de la organización (no constituyen activos de TI clásicos). Estos activos a menudo están en el corazón de la acción de la operación de la organización y no son menos vulnerables a los ataques cibernéticos.",2,,,,
ID-AM-5,Administración de activos (Asset Managment),"Los recursos (tales como, dispositivos hardware, datos, tiempo, personal y software) están priorizados basándose en su clasificación, criticidad y valor para negocio","Se etiquetan cada medio de acuerdo con el nivel de seguridad de los datos almacenados, teniendo en cuenta su tratamiento en relación con la seguridad de los datos y los aspectos de limitaciones de distribución",La organización definirá los procedimientos y procesos de etiquetado de los medios de acuerdo con el nivel de seguridad de los datos almacenados.,"Los medios se pueden etiquetar con adhesivos pegados a cintas de respaldo, paquetes salientes de discos duros y discos ópticos.",2,,,,
ID-AM-5,Administración de activos (Asset Managment),"Los recursos (tales como, dispositivos hardware, datos, tiempo, personal y software) están priorizados basándose en su clasificación, criticidad y valor para negocio","Para sistemas con un Nivel de valor 3+, garantizar el cumplimiento de las normas, por parte de entidades externas e independientes.","La organización se asegurará de que los activos clasificados en el cuestionario de valor, 3 o superior, cumplan con todos los requisitos de la Metodología de Defensa. Esto lo realizará un topógrafo externo a la organización de desarrollo / compras.","En casos de desarrollo interno, uno puede ser asistido por una firma de asesoría  para examinar el cumplimiento de la protección del sistema con la Metodología de Defensa. En casos de compra externa, asegúrese de que el sistema cumpla con los requisitos de nivel a de la Metodología o, alternativamente, solicite al proveedor que presente certificados de cumplimiento de estándares comunes, como SOC1 / SOC2, así como otros requisitos (como cumplimiento con PCI, HIPAA, etc. de acuerdo con el tipo de datos almacenados / procesados ​​por el sistema) estos certificados se almacenarán y respaldarán en el acuerdo de compra / desarrollo (incluido el compromiso de notificar si el certificado se anula o caduca).",4,,,,
ID-AM-6,Administración de activos (Asset Managment),"Los roles de ciberseguridad y responsabilidades de todo el personal y terceros de las partes interesadas o stakeholders (como por ejemplo, proveedores, clientes o partners) están establecidos","Es necesario comprender la división de responsabilidades entre el proveedor de servicios y la organización, e implementar la monitorización de protección en consecuencia.","Cuando se utilizan servicios de nube pública, existe una división de la responsabilidad la protección cibernética entre los problemas bajo el  compromiso del proveedor y los problemas que quedan bajo la responsabilidad del cliente. Esta división de responsabilidad depende de la naturaleza del servicio y del modelo de implementación. La organización tiene que entender cuáles son los problemas que están dentro de su responsabilidad e implementar las consecuencias de esta responsabilidad.","En el caso de servicios como la infraestructura PaaS o IaaS, la responsabilidad del cliente es administrar a los usuarios, monitorear el uso por parte de los usuarios, administrar los datos y garantizar su seguridad, aplicaciones e interfaces seguras y, a menudo, sistemas operativos e infraestructuras seguras, todo depende de naturaleza del servicio, tal como se define en el acuerdo con el proveedor. Estos controles pueden implementarse usando herramientas de monitorización y control proporcionadas como parte del servicio, usando las herramientas disponibles en la organización o por proveedores externos, que proporcionan servicios de seguridad en la nube.",1,,,,
ID-AM-6,Administración de activos (Asset Managment),"Los roles de ciberseguridad y responsabilidades de todo el personal y terceros de las partes interesadas o stakeholders (como por ejemplo, proveedores, clientes o partners) están establecidos","Escriber e implementar una política para el uso y la protección de los servicios de nube pública, debería revisarse y actulizarse periódicamente",La administración de la organización debe definir una política y pautas con respecto a las condiciones y rulos del uso de los servicios de nube pública y la manera en que la organización implementa la Defensa Cibernética en caso de uso de servicios de nube pública.,"Una política sobre el uso de servicios en la nube trata, en general, con los siguientes problemas: Cuáles son los servicios que se pueden usar en la organización, cuáles son los requisitos específicos de la organización, temas que incluyen la contratación con proveedores, gestión de riesgos de privacidad, supervisión y control. Al redactar esta política, tenga en cuenta los requisitos legales relativos a la contratación externa, publicados por The Israel Law, Information and Technology Authority (ILITA).",2,,,,
ID-AM-6,Administración de activos (Asset Managment),"Los roles de ciberseguridad y responsabilidades de todo el personal y terceros de las partes interesadas o stakeholders (como por ejemplo, proveedores, clientes o partners) están establecidos",Asegúrese de que el proveedor de servicios en la nube procese e integre las pruebas de seguridad de la información en las etapas de desarrollo y mantenimiento,"Las principales áreas de exposición del ""software como servicio"" (SaaS) en la nube son las interfaces de usuario y aplicación. Para reducir tales exposiciones, el proveedor de servicios en la nube debe implementar procesos de desarrollo seguros e integrar controles de seguridad adecuados durante las etapas de desarrollo y mantenimiento. La organización debe asegurarse de que el proveedor implemente adecuadamente estos procesos.","Por ejemplo, la declaración del proveedor de que está implementando procesos de desarrollo seguros, presentación de resultados de pruebas periódicas de seguridad de la información realizadas en los sistemas del proveedor",3,,,,
ID-AM-6,Administración de activos (Asset Managment),"Los roles de ciberseguridad y responsabilidades de todo el personal y terceros de las partes interesadas o stakeholders (como por ejemplo, proveedores, clientes o partners) están establecidos",La organización sensibilizará a los empleados sobre la ingeniería social.,Verifique que los funcionarios sean conscientes de los intentos de engaño y suplantación de posibles atacantes.,"Puede hacerse internamente o por una empresa externa. Tales intentos pueden incluir solicitudes ""ilegítimas"" del personal de soporte, solicitar información en nombre de otra persona, intentos de actuar sin verificación del usuario, iniciar solicitudes en las redes sociales o por correo electrónico, etc.",4,,,,
ID-AM-6,Administración de activos (Asset Managment),"Los roles de ciberseguridad y responsabilidades de todo el personal y terceros de las partes interesadas o stakeholders (como por ejemplo, proveedores, clientes o partners) están establecidos",Realizar capacitación básica en seguridad de datos a los empleados.,"La organización llevará a cabo una capacitación básica relacionada con el uso adecuado de la información, las normas de seguridad de datos, las amenazas internas y externas, incluidas las señales de amenaza.","Puede implementarse mediante cursos internos o externos, adecuados a las políticas y necesidades de la organización.",2,,,,
