Identificador,Categoria,Subcategoria,Monitorizacion,Explicacion,Ejemplo,Valor
RC-RP-1,Planes de recuperación (Recovery Planning),Planes de recuperación se ejecutan durante o después de un incidente de ciberseguridad,"Preparar una planificación de capacidad requerida para emergencias (informática, comunicación, servicios de soporte).","La organización se asegurará de que los sistemas y la infraestructura destinados a la continuidad del negocio en emergencias, respalden la capacidad deseada para los alcances y períodos de tiempo requeridos.","Se puede implementar siguiendo un mapeo de servicios críticos, definiendo los objetivos de recuperación y supervivencia de cada servicio. Normalmente, la organización mide la capacidad requerida en el sitio alternativo, en términos de infraestructuras de comunicación, infraestructuras de sistemas, aplicaciones y licencias.",2
RC-RP-1,Planes de recuperación (Recovery Planning),Planes de recuperación se ejecutan durante o después de un incidente de ciberseguridad,Ejercer el plan de continuidad del negocio periódicamente.,La organización preparará y realizará ejercicios de preparación para evaluar la efectividad del plan de continuidad del negocio.,"Se puede implementar mediante el ejercicio de varios escenarios. Se recomienda que el ejercicio incluya los aspectos de TI del plan de continuidad del negocio, como las comunicaciones telefónicas e informáticas, así como los aspectos complementarios, como los proveedores y los servicios (locales y en la nube), guiados por el plan BCP. También es importante crear conciencia sobre emergencias, al considerar la necesidad y la urgencia de cambiar las nuevas versiones al entorno de producción, al ser estrictos al acompañar a los visitantes, al intentar recuperar archivos, al ejercer la gestión de eventos cibernéticos, la toma de decisiones a nivel de gestión , informes y lecciones de dibujo.",2
RC-RP-1,Planes de recuperación (Recovery Planning),Planes de recuperación se ejecutan durante o después de un incidente de ciberseguridad,"Probar la continuidad planear en el sitio alternativo, para familiarizar al equipo de continuidad con el sitio y sus recursos, y evaluar las capacidades del sitio para apoyar las actividades que requieren continuidad","La organización preparará procesos y procedimientos para familiarizarse y ejercer el sitio de respaldo, como parte del ejercicio de la continuidad del negocio.","Se puede hacer viajando al sitio de respaldo, familiarizándose con el sistema almacenado allí y ejerciendo el cambio real al sitio alternativo.",2
RC-RP-1,Planes de recuperación (Recovery Planning),Planes de recuperación se ejecutan durante o después de un incidente de ciberseguridad,"Realizar un sistema completo
recuperación como parte de las pruebas del plan de continuidad.",La organización realizará periódicamente una recuperación completa de la copia de seguridad de los sistemas definidos como partes del plan de Recuperación ante desastres.,"Por ejemplo: una recuperación completa en el entorno de copia de seguridad. Después de la recuperación, realice pruebas de aceptación para verificar la funcionalidad completa. Incluyendo comparaciones de datos, pruebas de configuración y trabajo con los sistemas ",3
RC-RP-1,Planes de recuperación (Recovery Planning),Planes de recuperación se ejecutan durante o después de un incidente de ciberseguridad,Implementar un mecanismo de recuperación de transacciones para sistemas basados ​​en transacciones,La organización instalará un mecanismo para recuperar transacciones fallidas debido a una falla del sistema o un cambio a un sistema de respaldo.,"Se puede implementar en una variedad de configuraciones: una configuración de escritura doble (dos transacciones paralelas en los sistemas principal y de respaldo), verificando una transacción posterior al envío, retención y etiquetado de transacciones fallidas. En los sistemas de gestión de colas, se puede hacer una copia de seguridad de la cola.",2
RC-RP-1,Planes de recuperación (Recovery Planning),Planes de recuperación se ejecutan durante o después de un incidente de ciberseguridad,Verificar una recuperación capacidad para un estado operativo conocido.,Verifique la existencia de mecanismos que permitan la recuperación de datos o configuración a un estado conocido.,Se puede realizar mediante una copia de seguridad de la configuración en un punto de tiempo (antes de implementar cambios) y determinando puntos de recuperación de datos y mecanismos de reversión.,3
RC-RP-1,Planes de recuperación (Recovery Planning),Planes de recuperación se ejecutan durante o después de un incidente de ciberseguridad,Verificar servicio y redundancia de infraestructura crítica.,"La organización verificará la redundancia de servicios e infraestructuras críticas, a fin de minimizar la dependencia de un único punto de fallo.","Puede implementarse mediante la redundancia de infraestructuras críticas, como equipos de comunicación, servicios de red principales, sistemas de seguridad y almacenamiento, etc",3
RC-IM-1,Mejoras (Improvements),Planes de recuperación incorporan “Lecciones aprendidas”,Verificar la preparación alternativa del sitio para funcionar como un sitio principal y apoyar tareas esenciales y funciones comerciales,La organización verificará que todos los servicios (incluido el soporte y la infraestructura) en el sitio de respaldo estén disponibles y sean funcionales en cualquier momento.,"Puede verificarse mediante la preparación de listas detalladas de etiquetado para sistemas de soporte e infraestructura, y mediante pruebas periódicas de normalidad (así como durante el ejercicio).",2
RC-IM-1,Mejoras (Improvements),Planes de recuperación incorporan “Lecciones aprendidas”,Requerir que los proveedores de servicios de emergencia alternativos preparen y prueben periódicamente el plan de continuidad comercial,La organización verificará que los objetivos de recuperación de los proveedores sean compatibles con los suyos.,"Los proveedores pueden proporcionar sus propios planes de emergencia, incluidos los objetivos de recuperación de los servicios prestados a la organización.",2
RC-IM-2,Mejoras (Improvements),Las estrategias de recuperación se actualizan,"Escribir, implementar, revisar y actualizar la política de continuidad del negocio con respecto a la defensa cibernética","La organización preparará un plan de continuidad del negocio, derivado de sus objetivos e implementando controles y procesos para lograr estos objetivos. El plan tomará en consideración varios escenarios de desastres y procesos críticos. La organización definirá aquellos activos que soportan tareas y funciones comerciales críticas (físicas y digitales). La organización definirá el período máximo de cierre de servicios esenciales antes de volver a la normalidad (en emergencias). Como parte del plan de continuidad, la organización definirá el período de tiempo dentro del cual las tareas esenciales volverán a la normalidad desde la operación del plan.","La organización redactará, implementará y actualizará periódicamente un plan de continuidad comercial. Este plan definirá la conducta de la organización en períodos normales y de emergencia para garantizar la continuidad del negocio (incluidos los índices comunes, como RTO) en casos de eventos cibernéticos. Es posible utilizar ayudas como el estándar ISO 22301.",2
