Identificador,Categoria,Subcategoria,Monitorizacion,Explicacion,Ejemplo,Valor
DE-AE-1,Eventos y anomalías (Anomalies and Events,Se establecen y administran una línea base de operaciones de red y flujos de datos esperados para usuarios y sistemas, Es necesario aplicar mecanismos que filtren la comunicación que no coincida con la estructura de la información de protocolo esperada.,"Estos mecanismos deben implementarse para defenderse contra el uso malicioso de protocolos inseguros sin licencia. Además, se debe asegurar de que los paquetes de comunicaciones lleguen a la configuración correcta y no hayan sido alterados antes de llegar al destino.","Por ejemplo, el filtrado de tráfico que no cumple con los estándares de firewalls, firewalls XML Aplicación",3
DE-AE-1,Eventos y anomalías (Anomalies and Events,Se establecen y administran una línea base de operaciones de red y flujos de datos esperados para usuarios y sistemas,"Se debe asegurar de que ningun dato, según la regulación y las responsabilidades de la organización, se transfieren a los servicios en la nube.","Hay datos que la organización no puede transferir para almacenamiento o procesamiento en servicios de nube pública debido a consideraciones regulatorias o compromiso con terceros. Antes de transferir datos a la nube, la organización debe asegurarse de que dichos datos no se guarden o transfieran a los servicios en la nube."," Por ejemplo, un examen de los campos de datos que la organización planea transferir a los servicios en la nube antes de tomar una decisión al respecto. También puede realizarse mediante la eliminación o sustitución de dichos datos en los registros transferidos a los servicios en la nube. Consulta con una entidad jurídica calificada cuando se realiza un examen y evaluación de la sensibilidad de los datos y la posibilidad de transferirlos para su almacenamiento en la nube.",1
DE-AE-2,Eventos y anomalías (Anomalies and Events,La detección de eventos está siendo analizada para entender los objetivos de ataques y métodos,Implementar herramientas de protección dedicadas que detectan y bloquean el acceso no autorizado y las aplicaciones hostiles en dispositivos móviles.,"Los dispositivos móviles, especialmente los que son propiedad de los empleados de la organización, están particularmente expuestos a la infiltración de programas hostiles, ya sea insertados en un dispositivo sin el conocimiento de su propietario o disfrazados como una aplicación inocente. Para evitar el código malicioso que podría exponer información empresarial confidencial, ejecute aplicaciones especializadas que detecten y eviten la ejecución de código hostil.","Se puede aplicar usando sistemas comerciales diseñados para proteger dispositivos móviles, o usando dispositivos comerciales que implementan este tipo de capacidades de defensa.",3
DE-AE-2,Eventos y anomalías (Anomalies and Events),La detección de eventos está siendo analizada para entender los objetivos de ataques y métodos,"La organización definirá datos adicionales necesarios para registrar sus sistemas, incluyendo un Identificador único de cada actividad, comando y consult","Un sistema básico de logs no registra necesariamente todos los datos necesarios para investigar un evento. Por lo tanto, la organización debe definir los eventos / datos necesarios para registrarse. Los sistemas sensibles requieren un registro de actividades profundo y detallado para crear alertas de calidad.","Definir campos para ser monitoreados en varios sistemas. Ocasionalmente es necesario definir el monitoreo en las etapas de desarrollo, o expandir las bases de datos de monitoreo para recopilar dicha información detallada.",3
DE-AE-2,Eventos y anomalías (Anomalies and Events),La detección de eventos está siendo analizada para entender los objetivos de ataques y métodos,Asignar suficiente espacio de almacenamiento para el registro de logs.,La organización asignará suficiente espacio de almacenamiento para sus necesidades de registro y monitoreo a largo plazo.,Planificar previamente los requisitos de almacenamiento de datos. Realizar planes periódicos de capacidad,2
DE-AE-2,Eventos y anomalías (Anomalies and Events),La detección de eventos está siendo analizada para entender los objetivos de ataques y métodos,Definir actividades sensibles que la organización desea monitorear.,"Este control tiene la intención de garantizar que la organización defina los escenarios a monitorizar, y es capaz de obtener dicha información","Se puede hacer cuestionando los elementos comerciales sobre los procesos de trabajo y las actividades no autorizadas. El personal de TI puede obtener los siguientes eventos y escenarios que se deben monitorear: actividades irregulares en la red, como el acceso a archivos confidenciales; múltiples intentos fallidos de identificación; copiar múltiples archivos a espacios de almacenamiento local, comportamiento ilegítimo de un proveedor o empleado externo, etc. para monitorear tales eventos, usar un sistema SIEM, así como informes locales, salida de varios sistemas, cámaras de seguridad, cuestionar empleados, etc.",2
DE-AE-2,Eventos y anomalías (Anomalies and Events),La detección de eventos está siendo analizada para entender los objetivos de ataques y métodos,Revisar y analizar periódicamente los registros de control. Informe los hallazgos a funcionarios específicos.,"La organización extraerá informes de seguridad de datos y tendencias, informando a la gerencia oa un funcionario específico.","Es posible extraer dichos informes de cualquier sistema de monitorización de seguridad de datos, como SIEM",2
DE-AE-2,Eventos y anomalías (Anomalies and Events),La detección de eventos está siendo analizada para entender los objetivos de ataques y métodos,La organización utilizará mecanismos automatizados para identificar presuntos ciberincidentes fuera de los registros de monitoreo.,"Para detectar eventos sospechosos, es necesario generar alertas e indicaciones a partir del monitoreo de los datos recopilados de los sistemas empresariales. El evento que la organización ha definido como sospechosos debe manejarse de acuerdo con el esquema de las amenazas de la organización.","Se puede implementar utilizando informes, consultas y reglas aplicables a la base de datos de monitoreo, o mediante un sistema de monitoreo dedicado como SIEM",2
DE-AE-2,Eventos y anomalías (Anomalies and Events),La detección de eventos está siendo analizada para entender los objetivos de ataques y métodos,"Desarrolle capacidades de afrontamiento con eventos de seguridad cibernética y de datos, incluyendo preparativos, detección, análisis, interpelación y recuperación.","Estos controles tienen como objetivo garantizar que la organización mantenga el conocimiento y las herramientas necesarias para informar, contener y gestionar un evento de manera efectiva y para hacer frente a sus consecuencias","Puede implementarse mediante el plan de afrontamiento de eventos de seguridad, enfatizando el reclutamiento de profesionales que sirven como base para la detección y respuesta a eventos, capacitando al equipo para enfrentar varios eventos (propagación de virus, ransomware, manejo de DDOS, información filtrada, etc.) . Puede implementarse mediante herramientas de informes o ERT)",2
DE-AE-3,Eventos y anomalías (Anomalies and Events),Datos de eventos está siendo recolectados y correlacionados desde múltiples fuentes y sensores,Debe haber un mecanismo para monitorizar eventos de seguridad con el fin de detectar eventos cibernéticos en los servicios en la nube.,"Para obtener una imagen completa de los incidentes cibernéticos y los eventos sospechosos, la organización debe monitorizar las actividades del servicio en la nube. Este monitoreo puede llevarse a cabo utilizando los sistemas del proveedor de servicios en la nube o conectando los sistemas de monitorización de la organización a los registros de registros producidos por los sistemas del proveedor de servicios en la nube.","Se puede realizar al recibir eventos de alimentación del sistema del proveedor a los sistemas de monitoreo de la organización, o al acceder a las interfaces de monitoreo del proveedor.",2
