risk,permission,description
highest,host permissions,"Host permissions allow developers to get access based on a specified list of hosts. Host permissions can be any match pattern [1] - “:///*” means ""everything"", “://.google.com/*” means ""all google sites"", etc. The risk level of these permissions is dependent on the site it’s requesting access to. If it’s for your corporate site, that poses a higher risk than an extension requesting access to another site such as example.com, which has no user-specific data."
high,<all_urls>,"The extension wants to interact with the code running on pages which matches any URL that starts with a permitted scheme (http:, https:, file:, ftp:, or chrome-extension). Can be a broad permission with possible risks."
high,app.window.fullscreen.overrideEsc,Can prevent escape button from exiting fullscreen
high,audioCapture,Capture audio from attached mic or webcam. Could be used to listen in on user
high,browsingData,Clears browsing data which could result in a forensics/logging issues
high,content_security_policy,CSP works as a block/allow listing mechanism for resources loaded or executed by your extensions. Can manipulate default CSP.
high,contentSettings,Could allow plugins to run unsandboxed
high,copresence,P2P communication
high,debugger,Provides high level super user access
high,declarativeNetRequest,The chrome.declarativeNetRequest API is used to block or redirect network requests by specifying declarative rules
high,declarativeWebRequest,"chrome.declarativeWebRequest API to intercept, block, or modify requests in-flight. It is significantly faster than the chrome.webRequest API because you can register rules that are evaluated in the browser rather than the JavaScript engine, which reduces roundtrip latencies and allows higher efficiency."
high,downloads,"Use the chrome.downloads API to programmatically initiate, monitor, manipulate, and search for downloads. Can be used to download scripts."
high,downloads.open,"Used in conjunction with downloads. Allows an extension to open a downloaded file; as above, can be used to run a downloaded script."
high,experimental,Access to any of the experimental APIs
high,hid,Access USB devices (can act as driver)
high,history,"Full history (read, add, delete)"
high,nativeMessaging,"Allows native (Win, Linux, Mac) programs that register with chrome to talk with extensions"
high,pageCapture,Gets MHTML (archived Web page) of any page
high,privacy,Can turn off malware protections (e.g. chrome.privacy.services.safeBrowsingEnabled)
high,proxy,Manage Chrome's proxy settings. Can be used to send user’s internet traffic.
high,socket,"Raw TCP/UDP connection, listen on a port, etc."
high,*://*/*,Extension wants to interact with the code running on pages which matches any URL that uses the https: or http: scheme. Can be a broad permission with possible risks.
high,tabCapture,Get picture/video of user’s current tab
high,tabs,Can access current URLs and favicons
high,unsafe-eval,Can be used to fetch and execute remote script
high,usb,Interact with any USB device (Raw Format)
high,usbDevices,Used in conjunction with USB permission to specify the types of USB devices the extension wants access to
high,videoCapture,"Extension can use webcam, possibly screen contents depending on settings"
high,vpnProvider,"Extension. can create a VPN tunnel and send/receive packets through it, across sessions"
high,web_accessible_resources,This is an array of strings specifying the paths of packaged resources that are expected to be usable in the context of a web page. This can be used to execute remote scripts.
high,webNavigation,Listen to the websites that a user visits
medium,activeTab,"Gives an extension temporary access to the currently active tab when the user invokes the extension as when clicking its browser action. For example, with user interaction, the extension can inject JavaScript. Access to the tab lasts while the user is on that page, and is revoked when the user navigates away or closes the tab."
medium,bookmarks,"Use the chrome.bookmarks API to create, organize, and otherwise manipulate bookmarks"
medium,clipboardRead,Read the machine’s clipboard
medium,clipboardWrite,Writes to the machine’s clipboard
medium,contextMenus,Integrate menus for extension throughout Chrome browser
medium,cookies,Lookup or write cookies for any domain specified in permissions (requires host permissions to do this)
medium,desktopCapture,Gets screenshot of entire desktop. A private profile extension with this permission could access machine’s data.
medium,downloads,Extension could: ● Download file(s) from extension’s specified URL ● Get/modify download history ● Remove downloaded files ● Bypass dangerous download
medium,fileSystem,Read files in folder that user has selected (user interaction required)
medium,fileSystem.directory,Read any file in the directory that a user selects
medium,fileSystem.retainEntries,Retain authorization to previously user selected files
medium,fileSystem.write,Extension can write files in directory that the user specifies
medium,fileSystem.writeDirectory,Write any file in the user specified directory (user interaction required to select file directory)
medium,geolocation,Get user’s physical location without prompting the user
medium,identity,Extension request oAuth with users credentials - only shows the oauth prompt but does not automatically grant access
medium,identity.email,Extension can get email address of signed in profile (must be used in conjunction with identity)
medium,management,"Use the chrome.management API to manage the list of extensions/apps that are installed and running. For example, the extension could: ● Uninstall itself ● Disable other extensions ● Check extensions’ state"
medium,processes,Use the chrome.processes API to interact with the browser's processes
medium,sessions,Use the chrome.sessions API to query and restore tabs and windows from a browsing session. Can keep on re-opening an ad or a bad website.
medium,syncFileSystem,Save data to user’s drive
medium,system.storage,List storage devices currently connected and/or eject any connected storage device
medium,topSites,Get and/or set list of top visited sites
medium,tts,Text to speech accessibility API
medium,webRequest,View any GET/POST request & URL (requires host permissions to do this)
medium,webRequestBlocking,Used with webRequest. Allows blocking of a GET/POST request (requires host permissions to do this).
low,accessibilityFeatures.modify,Extension can turn on or off accessibility APIs
low,accessibilityFeatures.read,Extension can view current state of accessibility features
low,alarms,Extension can set a timer to call its own functions
low,alwaysOnTopWindows,Window stays on top
low,app.window.alpha,Alpha transparency of application window
low,app.window.alwaysOnTop,Application displays over other windows/applications
low,app.window.fullscreen,App can be fullscreen without user interaction
low,app.window.shape,Specify how App window looks
low,background,Extension can run when chrome is running
low,certificateProvider,Use this API to expose certificates to the platform which can use these certificates for TLS authentication(s)
low,declarativeContent,"Enables actions depending on the content of a page, without requiring permission to read the page's content"
low,documentScan,Use the chrome.documentScan API to discover and retrieve images from attached paper document scanners
low,enterprise.deviceAttributes,Use the chrome.enterprise.deviceAttributes API to read device attributes. Note: This API is only available to extensions force-installed by enterprise policy.
low,enterprise.hardwarePlatform,Use the chrome.enterprise.hardwarePlatform API to get the manufacturer and model of the hardware platform where the browser runs
low,enterprise.platformKeys,"Use the chrome.enterprise.platformKeys API to generate hardware-backed keys and to install certificates for these keys. The certificates will be managed by the platform and can be used for TLS authentication, network access or by other extension through chrome.platformKeys."
low,externally_connectable,"The externally_connectable manifest property declares which extensions, apps, and web pages can connect to your extension via runtime.connect and runtime.sendMessage"
low,fileBrowserHandler,"Use the chrome.fileBrowserHandler API to extend the Chrome OS file browser. For example, you can use this API to enable users to upload files to your website."
low,fileSystemProvider,"Use the chrome.fileSystemProvider API to create file systems, that can be accessible from the file manager on Chrome OS."
low,fontSettings,Use the chrome.fontSettings API to manage Chrome's font setting
low,gcm,Extension can send or receive messages via Google Cloud Messaging service
low,homepage_url,"The URL of the homepage for this extension. The extension management page (chrome://extensions) will contain a link to this URL. This field is particularly useful if you host the extension on your own site. If you distribute your extension using the Chrome Web Store, the homepage URL defaults to the extension's own page."
low,idle,"Determine if the system is being actively used, locked, or just not being used"
low,mediaGalleries,Access media files on local system (requires consent from user)
low,networking.config,Use the networking.config API to authenticate to captive portals
