Code,Acme_Disconnect_Definition
0,Valid cause code not yet received
1,Unallocated (unassigned) number 
2,No route to specified transit network 
3,No route to destination 
4,Send special information tone 
5,Misdialled trunk prefix 
6,Channel unacceptable 
7,Call awarded and being delivered in an established channel 
8,Pre-emption 
9,Pre-emption – circuit reserved for reuse 
10,NOT A REAL Q.850 CODE
11,NOT A REAL Q.850 CODE
12,NOT A REAL Q.850 CODE
13, Call completed elsewhere
14,NOT A REAL Q.850 CODE
15,NOT A REAL Q.850 CODE
16,Normal call clearing 
17,User busy 
18,No user responding 
19,No answer from user (user alerted) 
20,Subscriber absent 
21,Call rejected 
22,Number changed 
23,Redirection to new destination 
24,NOT A REAL Q.850 CODE
25,Exchange routing error 
26,Non-selected user clearing 
27,Destination out of order 
28,Invalid number format (address incomplete) 
29,Facility rejected
30,Response to STATUS ENQUIRY 
31,"Normal, unspecified "
32,NOT A REAL Q.850 CODE
33,NOT A REAL Q.850 CODE
34,No circuit/channel available 
35,NOT A REAL Q.850 CODE
36,NOT A REAL Q.850 CODE
37,NOT A REAL Q.850 CODE
38,Network out of order 
39,Permanent frame mode connection out of service 
40,Permanent frame mode connection operational 
41,Temporary failure 
42,Switching equipment congestion 
43,Access information discarded 
44,Requested circuit/channel not available 
45,NOT A REAL Q.850 CODE
46,Precedence call blocked 
47,"Resource unavailable, unspecified "
48,NOT A REAL Q.850 CODE
49,Quality of service not available 
50,Requested facility not subscribed 
51,NOT A REAL Q.850 CODE
52,NOT A REAL Q.850 CODE
53,Outgoing calls barred within CUG 
54,NOT A REAL Q.850 CODE
55,Incoming calls barred within CUG 
56,NOT A REAL Q.850 CODE
57,Bearer capability not authorized 
58,Bearer capability not presently available 
59,NOT A REAL Q.850 CODE
60,NOT A REAL Q.850 CODE
61,NOT A REAL Q.850 CODE
62,Inconsistency in designated outgoing access information and subscriber class 
63,"Service or option not available, unspecified "
64,NOT A REAL Q.850 CODE
65,Bearer capability not implemented 
66,Channel type not implemented 
67,NOT A REAL Q.850 CODE
68,NOT A REAL Q.850 CODE
69,Requested facility not implemented 
70,Only restricted digital information bearer capability is available 
71,NOT A REAL Q.850 CODE
72,NOT A REAL Q.850 CODE
73,NOT A REAL Q.850 CODE
74,NOT A REAL Q.850 CODE
75,NOT A REAL Q.850 CODE
76,NOT A REAL Q.850 CODE
77,NOT A REAL Q.850 CODE
78,NOT A REAL Q.850 CODE
79,"Service or option not implemented, unspecified "
80,NOT A REAL Q.850 CODE
81,Invalid call reference value 
82,Identified channel does not exist 
83,"A suspended call exists, but this call identity does not "
84,Call identity in use 
85,No call suspended 
86,Call with the requested call identity has been cleared 
87,User not member of CUG 
88,Incompatible destination 
89,NOT A REAL Q.850 CODE
90,Non-existent CUG 
91,Invalid transit network selection 
92,NOT A REAL Q.850 CODE
93,NOT A REAL Q.850 CODE
94,NOT A REAL Q.850 CODE
95,"Invalid message, unspecified "
96,Mandatory information element is missing 
97,Message type non-existent or not implemented 
98,Message not compatible with call state or message type non-existent or not implemented 
99,Information element /parameter non- existent or not implemented 
100,Invalid information element contents 
101,Message not compatible with call state 
102,Recovery on timer expiry 
103,"Parameter non-existent or not implemented, passed on "
104,NOT A REAL Q.850 CODE
105,NOT A REAL Q.850 CODE
106,NOT A REAL Q.850 CODE
107,NOT A REAL Q.850 CODE
108,NOT A REAL Q.850 CODE
109,NOT A REAL Q.850 CODE
110,"Message with unrecognized parameter, discarded "
111,"Protocol error, unspecified "
112,NOT A REAL Q.850 CODE
113,NOT A REAL Q.850 CODE
114,NOT A REAL Q.850 CODE
115,NOT A REAL Q.850 CODE
116,NOT A REAL Q.850 CODE
117,NOT A REAL Q.850 CODE
118,NOT A REAL Q.850 CODE
119,NOT A REAL Q.850 CODE
120,NOT A REAL Q.850 CODE
121,NOT A REAL Q.850 CODE
122,NOT A REAL Q.850 CODE
123,NOT A REAL Q.850 CODE
124,NOT A REAL Q.850 CODE
125,NOT A REAL Q.850 CODE
126,NOT A REAL Q.850 CODE
127,"Interworking, unspecified "
