time,connection,throughput,errors,successes,messages,tx_error,rx_error,crc_error,timeout,retries
08/01/2018 00:00:00,BECKER,100.0,0,100,100,0,0,0,0,0
08/01/2018 00:00:00,FARMINGTON,100.0,0,200,200,0,0,0,0,0
08/01/2018 00:00:00,RIDGEWAY,99.0,1,99,100,1,0,0,0,0
08/01/2018 01:00:00,BECKER,100.0,0,100,100,0,0,0,0,0
08/01/2018 01:00:00,FARMINGTON,100.0,0,200,200,0,0,0,0,0
08/01/2018 01:00:00,RIDGEWAY,95.0,5,95,100,5,0,0,0,0
08/01/2018 02:00:00,BECKER,100.0,0,100,100,0,0,0,0,0
08/01/2018 02:00:00,FARMINGTON,100.0,0,200,200,0,0,0,0,0
08/01/2018 02:00:00,RIDGEWAY,90.0,10,90,100,10,0,0,0,0
08/01/2018 03:00:00,BECKER,100.0,0,100,100,0,0,0,0,0
08/01/2018 03:00:00,FARMINGTON,100.0,0,200,200,0,0,0,0,0
08/01/2018 03:00:00,RIDGEWAY,70.0,30,70,100,29,0,0,1,2
08/01/2018 04:00:00,BECKER,100.0,0,100,100,0,0,0,0,0
08/01/2018 04:00:00,FARMINGTON,100.0,0,200,200,0,0,0,0,0
08/01/2018 04:00:00,RIDGEWAY,60.0,40,60,100,40,0,0,0,0
08/01/2018 05:00:00,BECKER,100.0,0,100,100,0,0,0,0,0
08/01/2018 05:00:00,FARMINGTON,100.0,0,200,200,0,0,0,0,0
08/01/2018 05:00:00,RIDGEWAY,50.0,50,50,100,50,0,0,0,0
08/01/2018 06:00:00,BECKER,100.0,0,100,100,0,0,0,0,0
08/01/2018 06:00:00,FARMINGTON,100.0,0,200,200,0,0,0,0,0
08/01/2018 06:00:00,RIDGEWAY,48.0,52,48,100,49,0,0,3,6
08/01/2018 07:00:00,BECKER,100.0,0,100,100,0,0,0,4,12
08/01/2018 07:00:00,FARMINGTON,100.0,0,200,200,0,0,0,0,0
08/01/2018 07:00:00,RIDGEWAY,40.0,60,40,100,56,0,0,4,8
08/01/2018 08:00:00,BECKER,100.0,0,100,100,0,0,0,0,0
08/01/2018 08:00:00,FARMINGTON,100.0,0,200,200,0,0,0,0,0
08/01/2018 08:00:00,RIDGEWAY,45.0,55,45,100,55,0,0,0,0
08/01/2018 09:00:00,BECKER,100.0,0,100,100,0,0,0,0,0
08/01/2018 09:00:00,FARMINGTON,100.0,0,200,200,0,0,0,0,0
