time,remote,throughput,errors,successes,messages,tx_error,rx_error,crc_error,timeout,retries
08/01/2018 00:00:00,RIDGE_RTU01,99.0,1,99,100,1,0,0,0,0
08/01/2018 00:00:00,ROSAST_RTU01,100.0,0,100,100,0,0,0,0,0
08/01/2018 00:00:00,ROSAST_RTU02,100.0,0,200,200,0,0,0,0,0
08/01/2018 00:00:00,SANTIA_PLC03,100.0,0,100,100,0,0,0,0,0
08/01/2018 01:00:00,RIDGE_RTU01,95.0,5,95,100,5,0,0,0,0
08/01/2018 01:00:00,ROSAST_RTU01,100.0,0,100,100,0,0,0,0,0
08/01/2018 01:00:00,ROSAST_RTU02,100.0,0,200,200,0,0,0,0,0
08/01/2018 01:00:00,SANTIA_PLC03,100.0,0,100,100,0,0,0,0,0
08/01/2018 02:00:00,RIDGE_RTU01,90.0,10,90,100,10,0,0,0,0
08/01/2018 02:00:00,ROSAST_RTU01,100.0,0,100,100,0,0,0,0,0
08/01/2018 02:00:00,ROSAST_RTU02,100.0,0,200,200,0,0,0,0,0
08/01/2018 02:00:00,SANTIA_PLC03,100.0,0,100,100,0,0,0,0,0
08/01/2018 03:00:00,RIDGE_RTU01,70.0,30,70,100,26,0,0,4,4
08/01/2018 03:00:00,ROSAST_RTU01,100.0,0,100,100,0,0,0,0,0
08/01/2018 03:00:00,ROSAST_RTU02,100.0,0,200,200,0,0,0,0,0
08/01/2018 03:00:00,SANTIA_PLC03,100.0,0,100,100,0,0,0,0,0
08/01/2018 04:00:00,RIDGE_RTU01,60.0,40,60,100,37,0,0,3,3
08/01/2018 04:00:00,ROSAST_RTU01,100.0,0,100,100,0,0,0,0,0
08/01/2018 04:00:00,ROSAST_RTU02,100.0,0,200,200,0,0,0,0,0
08/01/2018 04:00:00,SANTIA_PLC03,100.0,0,100,100,0,0,0,0,0
08/01/2018 05:00:00,RIDGE_RTU01,50.0,50,50,100,49,0,0,1,3
08/01/2018 05:00:00,ROSAST_RTU01,100.0,0,100,100,0,0,0,0,0
08/01/2018 05:00:00,ROSAST_RTU02,100.0,0,200,200,0,0,0,0,0
