_time,alarm_id,ackable,priority,severity,area_of_operation,message_type,device,alarm,value,limit,user,machine,current_state,old_state
1535034540,1001,true,2,HIGH,Weston Plant,ALARM,WPLANT_RTU01,HIGH pressure (Value: 1023 Limit: 1000),1023,1000,,,,
1535034570,1001,false,0,INFO,Weston Plant,ALARM,WPLANT_RTU01,ACKNOWLEDGE HIGH Pressure,,,BBATSON@ops.local,Controller01,,
1535034912,10000,false,0,INFO,,SYSTEM,,FAILOVER of SCADA_SERVER01 to SCADA_SERVER02,,,SCADAADMIN@ops.local,Support03,,
1535034920,10001,false,0,INFO,,SYSTEM,,SCADA_SERVER02 is HOT,,,,,,
1535035256,1002,true,1,LOW,Weston Plant,ALARM,WPLANT_COMP01,WEST PLANT COMPRESSOR state change RUNNING to STOPPED,,,,,STOPPED,RUNNING
1535035333,1002,true,1,LOW,Weston Plant,ALARM,WPLANT_COMP01,ACKNOWLEDGE PLANT COMPRESSOR state change,,,BBATSON@ops.local,Controller01,,
1535036654,1003,true,2,HIGH,East Texas,ALARM,ETEX_PLC12,HIGH Pressure (Value: 1345 Limit: 1200),1345,1200,,,,
1535036763,1004,true,4,CRITICAL,East Texas,ALARM,ETEX_PLC12,CRITICAL Pressure (Value: 1509 Limit: 1450),1509,1450,,,,
1535036779,1004,false,0,INFO,East Texas,ALARM,ETEX_PLC12,ACKNOWLEDGE CRITICAL Pressure (Value: 1509 Limit: 1450),,,CKENT@ops.local,Controller07,,
1535036821,1005,true,3,HIGH HIGH,East Texas,ALARM,ETEX_PLC12,LOW LOW Pressure (Value: 114 Limit: 500),114,500,,,,
1535036865,1006,true,4,CRITICAL,East Texas,ALARM,ETEX_PLM01,LEAK DETECTION ALARM - Negative ROC in Pressure (Value: 1345 Limit: 150),-1345,-150,,,,
1535036867,1005,false,0,INFO,East Texas,ALARM,ETEX_PLC12,ACKNOWLEDGE LOW LOW Pressure (Value: 114 Limit: 500),,,CKENT@ops.local,Controller07,,
1535036868,1006,false,0,INFO,East Texas,ALARM,ETEX_PLM01,ACKNOWLEDGE LEAK DETECTION ALARM - Negative ROC in Pressure (Value: 1345 Limit: 150),,,CKENT@ops.local,Controller07,,
1535037034,1007,true,1,LOW,East Texas,ALARM,ETEX_PLC23,LOW flow state (Value: 512 Limit: 550),512,550,,,,
0,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,
1535037051,1007,false,1,LOW,East Texas,ALARM,ETEX_PLC23,ACKNOWLEDGE LOW FLOW state,,,CKENT@ops.local,Controller07,,
