_time,dest,service,log_level,message_type,user,time_difference,table,queue_count,service_dest,state,partner,ack_count,update_count,replication_count,point,error_msg,lock_table,lock_duration,lock_process,lock_source,lock_action,reason
1535034520,SCADA-REALTIME02.OPS.LOCAL,DataRep.Replication,INFO,replication to historical,,,analog,41617,,,,,,,,,,,,,,
1535034520,SCADA-REALTIME02.OPS.LOCAL,DataRep.Replication,INFO,replication to historical,,,rate,37612,,,,,,,,,,,,,,
1535034520,SCADA-REALTIME02.OPS.LOCAL,DataRep.Replication,INFO,replication to historical,,,discrete,20110,,,,,,,,,,,,,,
1535034520,SCADA-REALTIME02.OPS.LOCAL,DataRep.Replication,INFO,replication to historical,,,events,9450,,,,,,,,,,,,,,
1535034520,SCADA-REALTIME02.OPS.LOCAL,DataRep.Replication,INFO,replication to historical,,,total,108789,,,,,,,,,,,,,,
1535034540,SCADA-REALTIME02.OPS.LOCAL,Realtime.State,INFO,current state,,,,,,STANDBY,,,,,,,,,,,,
1535034540,SCADA-REALTIME01.OPS.LOCAL,Realtime.State,INFO,current state,,,,,,HOT,,,,,,,,,,,,
1535034540,SCADA-REALTIME01.OPS.LOCAL,Realtime.State,ERROR,FTP host failure,,,,,,,,,,,,Configuration error - host ftp3.ops.local is invalid,,,,,,
1535034541,SCADA-REALTIME01.OPS.LOCAL,Realtime.Synchronize,INFO,time sync started,,,,,,,SCADA-REALTIME02.OPS.LOCAL,,,,,,,,,,,
1535034542,SCADA-REALTIME01.OPS.LOCAL,Realtime.Synchronize,INFO,time sync complete,,,,,,,SCADA-REALTIME02.OPS.LOCAL,,,,,,,,,,,
1535034543,SCADA-REALTIME01.OPS.LOCAL,Realtime.AlarmMgmt,INFO,acknowledge alarms,,,,,,,,4,,,,,,,,,,
1535034545,SCADA-REALTIME01.OPS.LOCAL,Realtime.Update,INFO,point updates,,,,,,,,,1256,,,,,,,,,
1535034550,SCADA-REALTIME01.OPS.LOCAL,Realtime.AlarmMgmt,INFO,acknowledge alarms,,,,,,,,7,,,,,,,,,,
1535034550,SCADA-REALTIME01.OPS.LOCAL,DataRep.State,INFO,current state,,,,,,FAILED,,,,,,,,,,,,
1535034550,SCADA-REALTIME01.OPS.LOCAL,Realtime.PubSub,ERROR,connection configuration error,,,,,,,,,,,ETEX-CONN01,Unkown device IP: 172.18.23.1233,,,,,,
1535034551,SCADA-REALTIME02.OPS.LOCAL,DataRep.State,INFO,current state,,,,,,STANDBY,,,,,,,,,,,,
1535034555,SCADA-REALTIME01.OPS.LOCAL,Realtime.Replication,INFO,replication to realtime,,,,,,,,,,1313,,,,,,,,
1535034556,SCADA-REALTIME01.OPS.LOCAL,Historical.State,INFO,current state,,,,,,HOT,,,,,,,,,,,,
1535034557,SCADA-REALTIME02.OPS.LOCAL,Historical.State,INFO,current state,,,,,,STANDBY,,,,,,,,,,,,
1535034562,SCADA-REALTIME01.OPS.LOCAL,Realtime.CalcEngine,INFO,point calculation error,,,,,,,,,,,OUTPRES-RTU12,Configuration error - missing point in formula - INPRES-RTS11,,,,,,
1535034567,SCADA-REALTIME01.OPS.LOCAL,Realtime.Replication,INFO,replication to realtime,,,,,,,,,,950,,,,,,,,
1535034572,SCADA-REALTIME01.OPS.LOCAL,Realtime.Replication,INFO,replication to realtime,,,,,,,,,,198,,,,,,,,
