_time,table,point_count,total
1533124800,analog,13053,20000
1533124800,rate,1526,10000
1533124800,discrete,19033,25000
1533211200,analog,13169,20000
1533211200,rate,1548,10000
1533211200,discrete,19015,25000
1533297600,analog,13263,20000
1533297600,rate,1538,10000
1533297600,discrete,19037,25000
1533384000,analog,13372,20000
1533384000,rate,1535,10000
1533384000,discrete,19026,25000
1533470400,analog,14066,20000
1533470400,rate,1565,10000
1533470400,discrete,19022,25000
1533556800,analog,14271,20000
1533556800,rate,1568,10000
1533556800,discrete,19008,25000
1533643200,analog,14271,20000
1533643200,rate,1541,10000
1533643200,discrete,19046,25000
1533729600,analog,14301,20000
1533729600,rate,1561,10000
1533729600,discrete,19033,25000
1533816000,analog,14512,20000
1533816000,rate,1526,10000
1533816000,discrete,19000,25000
1533902400,analog,14529,20000
1533902400,rate,1565,10000
1533902400,discrete,19005,25000
1533988800,analog,14612,20000
1533988800,rate,1521,10000
1533988800,discrete,19011,25000
1534075200,analog,14903,20000
1534075200,rate,1579,10000
1534075200,discrete,19003,25000
1534161600,analog,14750,20000
1534161600,rate,1555,10000
1534161600,discrete,19006,25000
1534248000,analog,14745,20000
1534248000,rate,1533,10000
1534248000,discrete,19016,25000
1534334400,analog,14912,20000
1534334400,rate,1527,10000
1534334400,discrete,19020,25000
1534420800,analog,14912,20000
1534420800,rate,1543,10000
1534420800,discrete,19020,25000
1534507200,analog,14912,20000
1534507200,rate,1582,10000
1534507200,discrete,19013,25000
1534593600,analog,15007,20000
1534593600,rate,1563,10000
1534593600,discrete,19008,25000
1534680000,analog,15111,20000
1534680000,rate,1566,10000
1534680000,discrete,19017,25000
1534766400,analog,15111,20000
1534766400,rate,1567,10000
1534766400,discrete,19000,25000
1534852800,analog,15115,20000
1534852800,rate,1545,10000
1534852800,discrete,19004,25000
1534939200,analog,15127,20000
1534939200,rate,1590,10000
1534939200,discrete,19002,25000
1535025600,analog,15695,20000
1535025600,rate,1566,10000
1535025600,discrete,19011,25000
1535112000,analog,15703,20000
1535112000,rate,1535,10000
1535112000,discrete,19020,25000
1535198400,analog,19012,20000
1535198400,rate,1546,10000
1535198400,discrete,19007,25000
1535284800,analog,19015,20000
1535284800,rate,1539,10000
1535284800,discrete,19000,25000
1535371200,analog,18956,20000
1535371200,rate,1520,10000
1535371200,discrete,19001,25000
1535457600,analog,18950,20000
1535457600,rate,1566,10000
1535457600,discrete,19013,25000
1535544000,analog,18945,20000
1535544000,rate,1530,10000
1535544000,discrete,19002,25000
1535630400,analog,18945,20000
1535630400,rate,1529,10000
1535630400,discrete,19003,25000
1535716800,analog,18945,20000
1535716800,rate,1523,10000
1535716800,discrete,19014,25000
