_time,idx,st,bytes
1775311200,main,syslog,232025874
1775311200,main,access_combined,16943773
1775311200,main,json,104465117
1775311200,security,WinEventLog:Security,86325536
1775311200,security,syslog,265997182
1775311200,security,pan:traffic,245073528
1775311200,network,cisco:ios,320504352
1775311200,network,juniper:junos,38622277
1775311200,network,netflow,155886215
1775311200,windows,WinEventLog:System,18619319
1775311200,windows,WinEventLog:Application,84724798
1775311200,windows,perfmon,185092883
1775311200,linux,syslog,17477688
1775311200,linux,linux:audit,77793508
1775311200,linux,linux_secure,235686668
1775311200,application,log4j,198950402
1775311200,application,json,85355831
1775311200,application,access_combined,214466505
1775314800,main,syslog,282746941
1775314800,main,access_combined,10147985
1775314800,main,json,281520921
1775314800,security,WinEventLog:Security,244963120
1775314800,security,syslog,123458221
1775314800,security,pan:traffic,60727622
1775314800,network,cisco:ios,332919810
1775314800,network,juniper:junos,122217002
1775314800,network,netflow,39429261
1775314800,windows,WinEventLog:System,40777275
1775314800,windows,WinEventLog:Application,295669811
1775314800,windows,perfmon,212909355
1775314800,linux,syslog,281965339
1775314800,linux,linux:audit,255688881
1775314800,linux,linux_secure,189993498
1775314800,application,log4j,338318846
1775314800,application,json,136455766
1775314800,application,access_combined,195361927
1775318400,main,syslog,277143053
1775318400,main,access_combined,208609364
1775318400,main,json,287640681
1775318400,security,WinEventLog:Security,195230654
1775318400,security,syslog,236574697
1775318400,security,pan:traffic,22493981
1775318400,network,cisco:ios,81664622
1775318400,network,juniper:junos,101647631
1775318400,network,netflow,33532819
1775318400,windows,WinEventLog:System,83254630
1775318400,windows,WinEventLog:Application,40425498
1775318400,windows,perfmon,97938176
1775318400,linux,syslog,214187571
1775318400,linux,linux:audit,126165603
1775318400,linux,linux_secure,127903860
1775318400,application,log4j,75687808
1775318400,application,json,94364750
1775318400,application,access_combined,311997290
1775322000,main,syslog,205952684
1775322000,main,access_combined,194019206
1775322000,main,json,59670014
1775322000,security,WinEventLog:Security,230826556
1775322000,security,syslog,57297036
1775322000,security,pan:traffic,123568830
1775322000,network,cisco:ios,310700248
1775322000,network,juniper:junos,203487847
1775322000,network,netflow,178013196
1775322000,windows,WinEventLog:System,217172837
1775322000,windows,WinEventLog:Application,265710448
1775322000,windows,perfmon,245204352
1775322000,linux,syslog,77433074
1775322000,linux,linux:audit,17021559
1775322000,linux,linux_secure,103936821
1775322000,application,log4j,89301653
1775322000,application,json,71891769
1775322000,application,access_combined,296402043
1775325600,main,syslog,256510864
1775325600,main,access_combined,96379704
1775325600,main,json,193526608
1775325600,security,WinEventLog:Security,119458746
1775325600,security,syslog,267395524
1775325600,security,pan:traffic,137482013
1775325600,network,cisco:ios,82182960
1775325600,network,juniper:junos,76979341
1775325600,network,netflow,166708203
1775325600,windows,WinEventLog:System,81573282
1775325600,windows,WinEventLog:Application,173327341
1775325600,windows,perfmon,262627506
1775325600,linux,syslog,120533131
1775325600,linux,linux:audit,69194507
1775325600,linux,linux_secure,291055004
1775325600,application,log4j,151928702
1775325600,application,json,32585938
