_time,svc_consumer,search_provenances,search_type,search_app,search_label,search_user,svc_usage,search_modes,search_head_names
1775829600,search,UI:Search,scheduled,search,disk_usage,bob,2.662,RT,sh02
1775829600,search,UI:Search,datamodel acceleration,search,idx_health,alice,2.5306,historical,sh02
1775829600,shared services,UI:Search,scheduled,splunk_monitoring_console,disk_usage,svc_report,2.9764,RT,sh01
1775829600,shared services,UI:Search,datamodel acceleration,splunk_monitoring_console,idx_health,diana,0.1589,historical,sh02
1775829600,data services,UI:Search,datamodel acceleration,insitzes_app_for_splunk_enterprise,disk_usage,alice,2.1232,historical,sh02
1775829600,data services,UI:Search,scheduled,insitzes_app_for_splunk_enterprise,disk_usage,diana,2.6188,RT,sh01
1775833200,search,UI:Search,ad-hoc,search,disk_usage,diana,1.6633,RT,sh01
1775833200,search,Splunk Scheduler,ad-hoc,search,top_users,charlie,2.1647,RT,sh02
1775833200,shared services,UI:Search,scheduled,splunk_monitoring_console,top_users,admin,1.9137,historical,sh02
1775833200,shared services,Splunk Scheduler,ad-hoc,search,disk_usage,bob,2.132,RT,sh01
1775833200,data services,UI:Search,scheduled,splunk_monitoring_console,disk_usage,admin,3.2352,RT,sh02
1775833200,data services,UI:Search,scheduled realtime,search,top_users,admin,0.659,historical,sh02
1775836800,search,Splunk Scheduler,scheduled,splunk_monitoring_console,idx_health,admin,1.1853,RT,sh02
1775836800,search,Splunk Scheduler,scheduled realtime,insitzes_app_for_splunk_enterprise,,svc_report,0.6425,historical,sh02
1775836800,shared services,Splunk Scheduler,scheduled,splunk_monitoring_console,disk_usage,svc_report,2.2902,RT,sh01
1775836800,shared services,Splunk Scheduler,scheduled,insitzes_app_for_splunk_enterprise,disk_usage,bob,1.3486,RT,sh01
1775836800,data services,Splunk Scheduler,ad-hoc,insitzes_app_for_splunk_enterprise,top_users,diana,3.1761,RT,sh02
1775836800,data services,UI:Search,scheduled realtime,splunk_monitoring_console,top_users,bob,1.4386,historical,sh02
1775840400,search,Splunk Scheduler,scheduled,splunk_monitoring_console,top_users,bob,3.1073,RT,sh01
1775840400,search,Splunk Scheduler,scheduled realtime,search,disk_usage,svc_report,2.7653,RT,sh02
1775840400,shared services,UI:Search,datamodel acceleration,splunk_monitoring_console,idx_health,svc_report,0.0226,historical,sh01
1775840400,shared services,Splunk Scheduler,scheduled,insitzes_app_for_splunk_enterprise,idx_health,diana,3.2665,RT,sh02
1775840400,data services,Splunk Scheduler,scheduled,insitzes_app_for_splunk_enterprise,,bob,3.4984,RT,sh01
1775840400,data services,UI:Search,ad-hoc,splunk_monitoring_console,top_users,charlie,1.2986,RT,sh01
1775844000,search,Splunk Scheduler,datamodel acceleration,search,top_users,svc_report,1.6183,historical,sh01
1775844000,search,Splunk Scheduler,datamodel acceleration,splunk_monitoring_console,disk_usage,diana,1.2658,historical,sh02
1775844000,shared services,Splunk Scheduler,scheduled,splunk_monitoring_console,idx_health,bob,2.3309,historical,sh01
1775844000,shared services,Splunk Scheduler,ad-hoc,search,top_users,diana,2.789,historical,sh02
1775844000,data services,Splunk Scheduler,ad-hoc,insitzes_app_for_splunk_enterprise,top_users,charlie,1.4546,historical,sh01
1775844000,data services,UI:Search,datamodel acceleration,search,,admin,1.2049,historical,sh02
1775847600,search,Splunk Scheduler,scheduled,search,,admin,1.7015,RT,sh02
1775847600,search,Splunk Scheduler,ad-hoc,insitzes_app_for_splunk_enterprise,disk_usage,bob,2.7168,historical,sh02
