ACTION,oracle_actionname,oracle_eventtype,oracle_eventclass
0,UNKNOWN,Unknown,Unknown
1,CREATE TABLE,Metadata Change,Metadata
2,INSERT,User action,Data
3,SELECT,User action,Data
4,CREATE CLUSTER,,
5,ALTER CLUSTER,,
6,UPDATE,User action,Data
7,DELETE,User action,Data
8,DROP CLUSTER,,
9,CREATE INDEX,Metadata Change,Metadata
10,DROP INDEX,Metadata Change,Metadata
11,ALTER INDEX,Metadata Change,Metadata
12,DROP TABLE,Metadata Change,Metadata
13,CREATE SEQUENCE,Metadata Change,Metadata
14,ALTER SEQUENCE,Metadata Change,Metadata
15,ALTER TABLE,Metadata Change,Metadata
16,DROP SEQUENCE,Metadata Change,Metadata
17,GRANT OBJECT,Administrative action,Object privilege
18,REVOKE OBJECT,Administrative action,Object privilege
19,CREATE SYNONYM,Metadata Change,Metadata
20,DROP SYNONYM,Metadata Change,Metadata
21,CREATE VIEW,Metadata Change,Metadata
22,DROP VIEW,Metadata Change,Metadata
23,VALIDATE INDEX,,
24,CREATE PROCEDURE,Metadata Change,Metadata
25,ALTER PROCEDURE,Metadata Change,Metadata
26,LOCK,,
27,NO-OP,,
28,RENAME,,
29,COMMENT,,
30,AUDIT OBJECT,,
31,NOAUDIT OBJECT,,
32,CREATE DATABASE LINK,,
33,DROP DATABASE LINK,,
34,CREATE DATABASE,,
35,ALTER DATABASE,,
36,CREATE ROLLBACK SEG,,
37,ALTER ROLLBACK SEG,,
38,DROP ROLLBACK SEG,,
39,CREATE TABLESPACE,Metadata Change,Metadata
40,ALTER TABLESPACE,Metadata Change,Metadata
41,DROP TABLESPACE,Metadata Change,Metadata
42,ALTER SESSION,,
43,ALTER USER, Administrative action,User
44,COMMIT,,
45,ROLLBACK,,
46,SAVEPOINT,,
47,PL/SQL EXECUTE,,
48,SET TRANSACTION,,
49,ALTER SYSTEM,,
50,EXPLAIN,,
51,CREATE USER, Administrative action,User
52,CREATE ROLE, Administrative action,Role
53,DROP USER, Administrative action,User
54,DROP ROLE, Administrative action,Role
55,SET ROLE, Administrative action,Role
56,CREATE SCHEMA,,
57,CREATE CONTROL FILE,,
59,CREATE TRIGGER,Metadata Change,Metadata
60,ALTER TRIGGER,Metadata Change,Metadata
61,DROP TRIGGER,Metadata Change,Metadata
62,ANALYZE TABLE,,
63,ANALYZE INDEX,,
64,ANALYZE CLUSTER,,
65,CREATE PROFILE, Administrative action,Profile
66,DROP PROFILE, Administrative action,Profile
67,ALTER PROFILE, Administrative action,Profile
68,DROP PROCEDURE,Metadata Change,Metadata
70,ALTER RESOURCE COST,,
71,CREATE MATERIALIZED VIEW LOG,,
72,ALTER MATERIALIZED VIEW LOG,,
73,DROP MATERIALIZED VIEW LOG,,
74,CREATE MATERIALIZED VIEW,,
75,ALTER MATERIALIZED VIEW,,
76,DROP MATERIALIZED VIEW,,
77,CREATE TYPE,,
78,DROP TYPE,,
79,ALTER ROLE, Administrative action,Role
80,ALTER TYPE,,
81,CREATE TYPE BODY,,
82,ALTER TYPE BODY,,
83,DROP TYPE BODY,,
84,DROP LIBRARY,,
85,TRUNCATE TABLE,,
86,TRUNCATE CLUSTER,,
91,CREATE FUNCTION,,
92,ALTER FUNCTION,,
93,DROP FUNCTION,,
94,CREATE PACKAGE,,
95,ALTER PACKAGE,,
96,DROP PACKAGE,,
97,CREATE PACKAGE BODY,,
98,ALTER PACKAGE BODY,,
99,DROP PACKAGE BODY,,
100,LOGON,Session info,User
101,LOGOFF,Session info,User
102,LOGOFF BY CLEANUP,Session info,User
103,SESSION REC,,
104,SYSTEM AUDIT,,
105,SYSTEM NOAUDIT,,
106,AUDIT DEFAULT,,
107,NOAUDIT DEFAULT,,
108,SYSTEM GRANT,Administrative action,System privilege
109,SYSTEM REVOKE,Administrative action,System privilege
110,CREATE PUBLIC SYNONYM,Metadata Change,Metadata
111,DROP PUBLIC SYNONYM,Metadata Change,Metadata
112,CREATE PUBLIC DATABASE LINK,,
113,DROP PUBLIC DATABASE LINK,,
114,GRANT ROLE,Administrative action,User/Role Privilege
115,REVOKE ROLE,Administrative action,User/Role Privilege
116,EXECUTE PROCEDURE,,
117,USER COMMENT,,
118,ENABLE TRIGGER,,
119,DISABLE TRIGGER,,
120,ENABLE ALL TRIGGERS,,
121,DISABLE ALL TRIGGERS,,
122,NETWORK ERROR,,
123,EXECUTE TYPE,,
128,FLASHBACK,,
129,CREATE SESSION,,
157,CREATE DIRECTORY,,
158,DROP DIRECTORY,,
159,CREATE LIBRARY,,
160,CREATE JAVA,,
161,ALTER JAVA,,
162,DROP JAVA,,
163,CREATE OPERATOR,,
164,CREATE INDEXTYPE,,
165,DROP INDEXTYPE,,
167,DROP OPERATOR,,
168,ASSOCIATE STATISTICS,,
169,DISASSOCIATE STATISTICS,,
170,CALL METHOD,,
171,CREATE SUMMARY,,
172,ALTER SUMMARY,,
173,DROP SUMMARY,,
174,CREATE DIMENSION,,
175,ALTER DIMENSION,,
176,DROP DIMENSION,,
177,CREATE CONTEXT,,
178,DROP CONTEXT,,
179,ALTER OUTLINE,,
180,CREATE OUTLINE,,
181,DROP OUTLINE,,
182,UPDATE INDEXES,,
183,ALTER OPERATOR,,
197,PURGE USER_RECYCLEBIN,,
198,PURGE DBA_RECYCLEBIN,,
199,PURGE TABLESAPCE,,
200,PURGE TABLE,,
201,PURGE INDEX,,
202,UNDROP OBJECT,,
204,FLASHBACK DATABASE,,
205,FLASHBACK TABLE,,
206,CREATE RESTORE POINT,,
207,DROP RESTORE POINT,,
208,PROXY AUTHENTICATION ONLY,,
209,DECLARE REWRITE EQUIVALENCE,,
210,ALTER REWRITE EQUIVALENCE,,
211,DROP REWRITE EQUIVALENCE,,
