_time,file_name,http_refer,http_user_agent,user,src,action,dest,url,file_hash,src_port,recipient,src_user
2016-09-07 14:29:32.059924,,,,,185.143.241.126,,62.141.54.153,,,,,
2016-09-07 14:29:32.112833,,,,,151.80.220.47,,151.80.220.47,,,,,
2016-09-07 14:29:32.167778,,,,,151.80.220.47,,62.141.54.153,,,,,
2016-09-07 14:29:32.221748,,,,,185.30.232.85,,62.141.54.153,,,,,
2016-09-07 14:29:32.275001,,,,,91.220.131.45,,185.31.160.190,,,,,
2016-09-07 14:29:32.325826,,,,,91.220.131.45,,185.46.8.214,,,,,
2016-09-07 14:29:32.379807,,,,,185.31.160.190,,185.46.8.214,,,,,
2016-09-07 14:29:32.434692,,,,,185.46.8.214,,185.30.232.85,,,,,
2016-09-07 14:29:32.488268,,,,,91.220.131.45,,185.31.160.190,,,,,
2016-09-07 14:29:32.542352,,,,,185.30.232.85,,62.141.54.153,,,,,
2016-09-07 14:29:32.597238,,,,,xyigqlfc.ru,,sabafon.info,,,,,
2016-09-07 14:29:32.648723,,,,,qkgpedwe.ru,,xyigqlfc.ru,,,,,
2016-09-07 14:29:32.702902,,,,,momoelmasry45.no-ip.biz,,enhicefv.ru,,,,,
2016-09-07 14:29:32.757302,,,,,xafmolog.ru,,xyigqlfc.ru,,,,,
2016-09-07 14:29:32.810904,,,,,xafmolog.ru,,xyigqlfc.ru,,,,,
2016-09-07 14:29:32.865885,,,,,xyigqlfc.ru,,icrcworld.com,,,,,
2016-09-07 14:29:32.919378,,,,,ybqojmpa.ru,,rsojnear.ru,,,,,
2016-09-07 14:29:32.973976,,,,,xafmolog.ru,,jhxrkeuh.ru,,,,,
2016-09-07 14:29:33.026812,,,,,ybqojmpa.ru,,abdousaoudi.no-ip.biz,,,,,
2016-09-07 14:29:33.080682,,,,,xafmolog.ru,,ghost007killyou.no-ip.biz,,,,,
2016-09-07 14:29:33.134474,,,,,,,,,,,pn1g3p@sigaint.org,pn1g3p@sigaint.org
2016-09-07 14:29:33.189369,,,,,,,,,,,pn1g3p@sigaint.org,pn1g3p@sigaint.org
2016-09-07 14:29:33.243149,,,,,,,,,,,pn1g3p@sigaint.org,pn1g3p@sigaint.org
2016-09-07 14:29:33.297009,,,,,,,,,,,pn1g3p@sigaint.org,pn1g3p@sigaint.org
2016-09-07 14:29:33.351840,,,,,,,,,,,pn1g3p@sigaint.org,pn1g3p@sigaint.org
2016-09-07 14:29:33.405710,,,,,,,,,,,pn1g3p@sigaint.org,pn1g3p@sigaint.org
2016-09-07 14:29:33.459479,,,,,,,,,,,pn1g3p@sigaint.org,pn1g3p@sigaint.org
2016-09-07 14:29:33.514369,,,,,,,,,,,pn1g3p@sigaint.org,pn1g3p@sigaint.org
2016-09-07 14:29:33.566194,,,,,,,,,,,pn1g3p@sigaint.org,pn1g3p@sigaint.org
2016-09-07 14:29:33.620197,,,,,,,,,,,pn1g3p@sigaint.org,pn1g3p@sigaint.org
2016-09-07 14:29:33.674094,,,,,,,,pn1g3p@sigaint.org,,,,
2016-09-07 14:29:33.726529,,,,,,,,pn1g3p@sigaint.org,,,,
2016-09-07 14:29:33.777892,,,,,,,,pn1g3p@sigaint.org,,,,
2016-09-07 14:29:33.831010,,,,,,,,pn1g3p@sigaint.org,,,,
2016-09-07 14:29:33.885916,,,,,,,,pn1g3p@sigaint.org,,,,
2016-09-07 14:29:33.940648,,,,,,,,pn1g3p@sigaint.org,,,,
2016-09-07 14:29:33.994675,,,,,,,,pn1g3p@sigaint.org,,,,
2016-09-07 14:29:34.046857,,,,,,,,pn1g3p@sigaint.org,,,,
2016-09-07 14:29:34.098996,,,,,,,,pn1g3p@sigaint.org,,,,
2016-09-07 14:29:34.152927,,,,,,,,pn1g3p@sigaint.org,,,,
2016-09-07 14:29:34.207132,,,,,,,62.141.54.153,,af70d46bcf04ff47e59e915db8426d0bfa2be339ccf219d6be90015ee50a3562,,,
2016-09-07 14:29:34.261983,,,,,,,185.143.241.126,,f77c527497487c40b8dd59e51ee61a8c0e9fb7ab,,,
2016-09-07 14:29:34.315479,,,,,,,62.141.54.153,,e554fb03ffe3df30d2f9e5f91300b101e314d774,,,
2016-09-07 14:29:34.370064,,,,,,,185.30.232.85,,ad14023903722b0ad98c7a48d4357c6ad4c59b16731546cf98b3b878d80c6e64,,,
2016-09-07 14:29:34.424608,,,,,,,151.80.220.47,,1b6e050c9f5fdcb04b247ef9db8fa2a6322118ed7b71c1545d39cb25a1e16131,,,
2016-09-07 14:29:34.478274,,,,,,,185.31.160.190,,1803a1d0eb2465ab12bad813542f602e53351a975f20c3da5fa669981f5bb8b3,,,
2016-09-07 14:29:34.532567,,,,,,,151.80.220.47,,e0d88a3af8c33bb7e2237d34ab4f8f0edc6c86697d966798c38d0709ecec56bb,,,
2016-09-07 14:29:34.587442,,,,,,,62.141.54.153,,b2fbef609cf6f73f0bda4cc74efe20f4,,,
2016-09-07 14:29:34.642375,,,,,,,185.30.232.85,,69402f4bd7718a3403f1caaaa387edc70b299f6aecc06de39e3a9ac28873a184,,,
2016-09-07 14:29:34.695434,,,,,,,151.80.220.47,,539ec5052f7cd6b69e5f740001a3dd2125c0debde0a1a0aafc6fcb452376a550,,,
