key,value
"cloud_ddaa_retention_days",365
"cloud_ddas_retention_days",91
"cloud_env","core pci"
"cloud_env_is_fedramp",No
"cloud_env_is_hipaa_pci",No
"cloud_provider",aws
"cloud_region",AMER
"cloud_zone","AMER-Ashburn, Virginia"
"customer_name","Customer_Name"
"customer_stack_name","Customer_Name"
"encryption_at_rest",yes
"license_core",50
"license_es",0
"license_itsi",0
"license_model",Workload
"license_pci",0
"opportunity_name","Customer_Name - Splunk Cloud Migration - 36mth"
"period_1_contract_duration",365
"period_1_contract_end_time","08/31/2023"
"period_1_contract_start_time","09/01/2022"
"period_1_ddaa_blocks",219
"period_1_ddas_blocks",55
"period_1_license_core",300
"period_1_license_es",50
"period_1_license_itsi",50
"period_1_license_pci",50
"period_2_contract_duration",366
"period_2_contract_end_time","08/31/2024"
"period_2_contract_start_time","09/01/2023"
"period_2_ddaa_blocks",365
"period_2_ddas_blocks",91
"period_2_license_core",500
"period_2_license_es",100
"period_2_license_itsi",100
"period_2_license_pci",100
"period_3_contract_duration",365
"period_3_contract_end_time","08/31/2025"
"period_3_contract_start_time","09/01/2024"
"period_3_ddaa_blocks",511
"period_3_ddas_blocks",127
"period_3_license_core",700
"period_3_license_es",200
"period_3_license_itsi",200
"period_3_license_pci",200
"ps_additional_tasks","Assigned Expert Subscription Services, Cloud Enterprise Security Implementation Success"
"ps_data_migration_required",no
"ps_emek_required",yes
"ps_env_consolidation",yes
"ps_env_network_constrains",yes
"ps_hybrid_search",yes
"ps_recommended_package","Engage Professional Services"
"ps_target_project_completion",TBD
"scma_app_version","5.0.12"
"search_count_daily_avg",null
"sva_arch_code",C3
"sva_indexing_category_code",C
"sva_search_category_code",3
"sva_topology_description","Distributed Clustered Deployment + SHC - Single Site"
"sva_topology_image","topology_single_site_cluster_shc.png"
term,3
"workload_factor","No results - check results!"
