technique_id,technique_name,tactic,description,severity
AML.T0051.000,Direct Prompt Injection,Execution,"Adversary crafts malicious input directly into an LLM prompt to override instructions or extract sensitive data",high
AML.T0051.001,Indirect Prompt Injection,Execution,"Adversary embeds malicious instructions in data the LLM will process (web pages, documents, emails)",high
AML.T0054,LLM Jailbreak,Defense Evasion,"Adversary uses crafted prompts to bypass LLM safety guardrails and content policies",high
AML.T0024,Exfiltration via ML Inference API,Exfiltration,"Adversary extracts sensitive data or model information through repeated inference API queries",critical
AML.T0020,Poison Training Data,Impact,"Adversary injects malicious samples into training datasets to corrupt model behavior",critical
AML.T0047,AI-Enabled Product/Service Abuse,Impact,"Adversary weaponizes AI capabilities to generate harmful content at scale or automate attacks",medium
AML.T0048,External Harms via AI Output,Impact,"AI system produces outputs causing harm to external parties due to adversarial manipulation",medium
AML.T0012,Valid Account Abuse on AI Platforms,Initial Access,"Adversary uses legitimate credentials to access AI platforms and extract models or data",high
AML.T0014,Discover AI Model Family,Reconnaissance,"Adversary probes system to identify model architecture, version, or family through response analysis",medium
AML.T0007,Discover AI Artifacts,Reconnaissance,"Adversary identifies ML artifacts (models, datasets, pipelines) stored in accessible locations",medium
